02261C1001, 43,1700,  1, 14,124,  3,  6,  0,  3, 43,1700,  1,  2,  0, 43,1800,  0,  9,  0, 43,1800,  0,  3,  0, 43,1800,  0,  8,  0, 23,1800,  0,  7,  0, 23,2000,  0,  4,  0, 23,1800,  0, 17,  0,
02261C1002, 43,1700,  1, 14, 93,  5,  8,  0, 13, 43,1800,  0,  7,  0, 43,1800,  0, 11,  0, 43,1800,  0,  2,  0, 23,2000,  0,  4,  0, 23,2200,  0,  9,  0, 23,1600,  0,  2,  0, 23,2100,  1,  2,  0,
02261C1003, 43,1700,  1, 14,108,  9, 12,  0,  9, 43,1800,  1,  8,  0, 23,1800,  1, 23,  0, 23,1900,  1, 11,  0, 23,1800,  1,  4,  0, 23,1700,  1,  9,  0, 23,1800,  1, 12,  0,  7,1900,  1,  3,  0,
02261C1004, 43,1700,  1, 14,107,  3, 14,  0,  8, 43,1700,  1,  8,  0, 43,1800,  1,  3,  0, 23,1700,  1,  3,  0, 23,1800,  1,  8,  0, 23,1800,  1, 10,  0, 23,1700,  1,  4,  0, 23,1800,  1,  9,  0,
02261C1005, 43,1700,  1, 14,109, 20, 13,  0,  5, 43,1700,  1,  3,  0, 23,1700,  1,  6,  0, 23,1800,  1,  5,  0, 23,1700,  1, 18,  0, 23,1700,  1, 36,  0, 23,1700,  1, 32,  0, 23,1800,  1,  5,  0,
02261C1006, 43,1700,  1, 14, 95,  5, 11,  0, 12, 43,1700,  1,  9,  0, 23,1700,  1,  8,  0, 23,1700,  1,  9,  0, 23,1400,  1,  3,  0, 23,1700,  1, 10,  0, 23,1400,  0,  6,  0, 23,1400,  0,  8,  0,
02261C1007, 43,1700,  1, 14,107,  4,  9,  0,  6, 43,1700,  1,  1,  0, 43,1700,  1,  7,  0, 43,1700,  1,  5,  0, 43,1800,  1,  1,  0, 43,1800,  1,  2,  0, 43,1700,  1,  8,  0, 43,1800,  1,  3,  0,
02261C1008, 43,1700,  1, 14,100,  5,  5,  0, 10, 43,1700,  1,  7,  0, 43,1700,  1,  8,  0, 43,1700,  1,  2,  0, 23,1700,  1,  8,  0, 23,1800,  1,  4,  0, 23,1400,  1,  2,  0, 23,1700,  1, 13,  0,
02261C1009, 43,1700,  1, 14,112,  2,  1,  0,  2, 23,1700,  1,  2,  0, 23,1700,  1, 12,  0,163,1800,  0,  5,  0,115,1600,  1,  7,  0, 23,1800,  1,  2,  0,131,1800,  1,  7,  0,163,1800,  1,  5,  0,
02261C1010, 43,1700,  1, 14,106,  2,  4,  0, 11, 43,1700,  1,  3,  0, 43,1600,  1,  3,  0, 43,1600,  1,  8,  0, 43,1800,  1,  3,  0, 43,1800,  1,  3,  0, 43,1900,  1,  3,  0, 43,1800,  1,  4,  0,
02261C1011, 43,1700,  1, 14,109,  2,  7,  0,  7, 43,1700,  1,  3,  0, 43,1700,  1,  4,  0, 43,1600,  1,  2,  0, 43,1600,  1, 15,  0, 43,1800,  1,  4,  0, 43,1800,  1,  5,  0, 43,1700,  1, 14,  0,
02261C1012, 43,1700,  1, 14,116, 11,  2,  0,  1, 23,1800,  1,  3,  0, 23,1800,  1,  3,  0, 23,1800,  1,  7,  0, 23,1800,  1,  4,  0,  7,1800,  1,  7,  0,  7,1600,  0,  2,  0, 15,1600,  0,  0,  0,
02261C1013, 43,1700,  1, 14, 89, 11, 10,  0, 14, 43,1300,  1,  2,  0, 43,1200,  1,  3,  0, 43,1400,  1,  9,  0, 43,1200,  1,  5,  0, 43,1400,  1,  3,  0, 43,1800,  1,  2,  0, 43,1600,  1,  7,  0,
02261C1014, 43,1700,  1, 14,117,  6,  3,  0,  4, 43,1800,  1,  3,  0, 43,1400,  1,  3,  0, 43,1400,  1, 10,  0, 43,1600,  1, 28,  0, 43,1800,  1,  3,  0, 23,1700,  1, 10,  0, 23,1400,  1, 10,  0,
