ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026072607020212,1,07252133,15,         55,   0.0,   3.3,   1.1,  44.0,   0.0,   0.0,   0.0,  44.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  44.0
2026072607020212,1,07252141,15,        153,   2.7,   5.5,   2.7,  15.3,  13.6,  61.2,  17.4,  30.6, 122.4,  30.6, 122.4,  24.4,   0.0,   0.0,  61.2
2026072607020212,1,07252149,15,        288,   4.7,   7.9,   3.0,  25.6,  16.4,  12.8,   5.7,  16.4,  25.6,  46.0, 115.2,  19.2,   0.0, 115.2,  25.6
2026072607020212,1,07252157,15,        422,   5.1,   9.1,   3.9,  22.5,  11.2,   7.5,   5.7,  19.8,  17.7,  67.5, 168.8,  12.5, 337.6, 168.8,  25.9
2026072607020212,1,07252206,15,        529,   5.2,   9.6,   3.7,  23.5,  11.4,   8.4,   5.6,  20.1,  20.1,  70.5,  84.6,  13.2,  84.6,  84.6,  23.5
2026072607020212,1,07252214,15,        627,   5.9,  10.0,   4.1,  27.8,  11.4,   9.6,   5.3,  16.1,  20.0,  27.8, 100.3,  12.2,  45.6, 100.3,  16.7
2026072607020212,1,07252222,15,        857,   3.4,  11.0,   5.3,  32.6,  13.1,  12.2,   6.4,  18.0,  20.1,  34.2, 114.2,  13.7,  22.1, 114.2,  13.9
2026072607020212,1,07252230,15,        979,   3.9,  11.6,   4.6,  31.3,  11.8,  11.5,   6.8,  15.9,  22.3,  35.6,  97.9,  13.0,  24.4,  97.9,  13.9
2026072607020212,1,07252239,15,       1139,   4.4,  13.0,   4.9,  33.7,  11.2,  13.0,   5.2,  16.8,  23.9,  37.9,  82.8,   9.6,  25.3, 101.2,  14.9
2026072607020212,1,07252247,15,       1324,   5.0,  14.5,   5.4,  27.8,  12.9,  10.2,   3.7,  18.2,  27.8,  40.7,  88.2,  11.2,  29.4, 117.6,  16.2
2026072607020212,1,07252255,15,       1585,   5.8,  17.1,   4.7,  32.5,  11.7,  12.1,   3.0,  21.1,  32.5,  45.2, 105.6,  11.8,  34.2, 140.8,  18.3
2026072607020212,1,07252303,15,       1905,   6.7,  18.3,   5.5,   5.1,  13.0,  14.6,   3.5,  25.4,  38.1,  50.8, 117.2,  13.0,  41.1, 169.3,  20.0
2026072607020212,1,07252312,15,       2001,   6.9,  16.6,   5.6,   5.3,  13.0,  13.6,   3.6,  24.6,  39.0,  48.5, 114.3,  13.5,  39.0, 160.0,  17.9
