ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026070502010808,1,07041935,8,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026070502010808,1,07041943,8,         71,   5.1,  11.3,  56.8,   0.0,  18.9,   2.8,  11.3,   2.1
2026070502010808,1,07041952,8,        289,   1.8,  17.7, 115.6,  16.5,  38.5,   6.8,  21.0,   2.6
2026070502010808,1,07042000,8,        368,   2.3,  15.4,  49.0,  14.0,  19.6,   7.1,  14.7,   2.4
2026070502010808,1,07042008,8,        483,   2.8,  13.8,  38.6,   4.4,  22.7,   7.7,  16.1,   2.8
2026070502010808,1,07042016,8,        540,   3.1,   8.3,  36.0,   4.6,  25.4,   7.8,  18.0,   2.8
2026070502010808,1,07042025,8,        750,   4.1,  10.0,  28.5,   5.2,  25.0,   9.8,  17.1,   2.0
2026070502010808,1,07042033,8,        835,   4.4,   9.6,  30.3,   5.1,  25.6,   8.2,  18.0,   2.0
2026070502010808,1,07042041,8,        955,   5.0,  10.3,  31.8,   5.3,  23.1,   8.3,  19.1,   1.9
2026070502010808,1,07042049,8,        989,   5.1,  10.1,  31.6,   5.3,  23.2,   7.7,  19.2,   1.9
2026070502010808,1,07042058,8,       1077,   5.3,  10.6,  30.7,   5.5,  21.5,   7.6,  20.0,   1.8
2026070502010808,1,07042106,8,       1272,   5.9,  11.6,  28.2,   4.8,  16.4,   7.7,  21.2,   1.9
2026070502010808,1,07042114,8,       1436,   5.7,  12.3,  28.7,   5.2,  16.6,   7.3,  19.8,   1.9
2026070502010808,1,07042122,8,       1545,   5.6,  11.6,  30.1,   5.3,  16.9,   7.3,  20.9,   1.9
2026070502010808,1,07042131,8,       1679,   6.0,  10.9,  29.8,   5.1,  17.6,   7.7,  18.1,   1.8
2026070502010808,1,07042139,8,       1828,   6.5,  10.4,  30.4,   4.9,  15.5,   6.2,  19.4,   2.0
2026070502010808,1,07042147,8,       1950,   6.5,  10.8,  31.2,   4.8,  16.4,   6.3,  17.5,   2.0
2026070502010808,1,07042155,8,       2222,   7.1,  11.9,  32.3,   3.3,  18.1,   6.8,  19.3,   2.2
2026070502010808,1,07042204,8,       2363,   7.3,  11.3,  32.0,   3.4,  18.5,   7.1,  19.6,   2.1
2026070502010808,1,07042212,8,       2425,   7.4,  11.4,  32.3,   3.4,  18.4,   7.0,  20.0,   2.1
2026070502010808,1,07042220,8,       2543,   7.2,  10.8,  33.3,   3.4,  18.3,   7.3,  19.1,   2.1
2026070502010808,1,07042228,8,       2614,   7.3,  10.6,  33.1,   3.4,  18.6,   7.3,  18.5,   2.1
2026070502010808,1,07042237,8,       2774,   7.4,  10.5,  29.2,   3.6,  14.9,   7.6,  18.8,   2.1
2026070502010808,1,07042245,8,       2898,   7.7,  10.6,  29.7,   3.6,  15.2,   7.8,  19.6,   2.1
2026070502010808,1,07042253,8,       3112,   7.3,   9.3,  30.7,   3.8,  16.0,   7.9,  20.9,   2.0
2026070502010808,1,07042301,8,       3282,   7.4,   9.6,  32.0,   3.4,  16.6,   8.3,  19.3,   2.1
2026070502010808,1,07042310,8,       3401,   7.6,   9.6,  32.7,   3.5,  16.0,   8.0,  19.1,   2.1
2026070502010808,1,07042318,8,       3584,   8.0,   9.9,  33.3,   3.5,  16.6,   8.0,  19.2,   2.0
2026070502010808,1,07042326,8,       3742,   7.5,  10.1,  33.6,   3.6,  16.3,   7.7,  18.5,   2.1
2026070502010808,1,07042334,8,       3930,   7.3,  10.3,  35.3,   3.6,  16.8,   7.2,  15.5,   2.1
2026070502010808,1,07042343,8,       4097,   7.4,  10.4,  34.8,   3.5,  16.4,   7.2,  14.0,   2.2
2026070502010808,1,07042351,8,       4181,   7.6,  10.4,  35.5,   3.6,  16.5,   7.0,  14.3,   2.2
2026070502010808,1,07042359,8,       4298,   7.7,   9.6,  34.3,   3.6,  16.3,   7.1,  14.3,   2.2
2026070502010808,1,07050007,8,       4365,   7.8,   9.7,  34.5,   3.6,  16.6,   7.0,  14.2,   2.2
2026070502010808,1,07050016,8,       4540,   8.1,   9.1,  35.2,   3.7,  14.9,   6.9,  13.4,   2.2
2026070502010808,1,07050024,8,       4632,   8.3,   9.2,  34.6,   3.7,  15.0,   7.0,  13.6,   2.2
2026070502010808,1,07050032,8,       4690,   8.3,   9.3,  34.7,   3.7,  14.4,   7.0,  13.6,   2.2
2026070502010808,1,07050040,8,       4785,   8.3,   9.4,  34.8,   3.7,  14.7,   7.2,  12.5,   2.2
2026070502010808,1,07050049,8,       4865,   8.1,   9.1,  34.4,   3.7,  14.7,   7.2,  12.6,   2.2
2026070502010808,1,07050057,8,       5219,   8.4,   7.9,  36.6,   3.3,  15.6,   7.5,  13.5,   2.4
2026070502010808,1,07050105,8,       5500,   8.8,   7.6,  38.5,   3.5,  16.5,   7.6,  14.2,   2.3
2026070502010808,1,07050113,8,       5550,   8.8,   7.6,  38.9,   3.4,  16.5,   7.5,  14.3,   2.3
2026070502010808,1,07050122,8,       5656,   9.0,   7.4,  39.3,   3.5,  16.5,   7.0,  14.5,   2.3
2026070502010808,1,07050130,8,       5690,   8.9,   7.4,  39.2,   3.5,  16.1,   7.1,  14.5,   2.3
2026070502010808,1,07050138,8,       5746,   9.0,   7.4,  39.6,   3.5,  15.1,   7.1,  14.7,   2.3
2026070502010808,1,07050146,8,       5774,   9.0,   7.4,  38.4,   3.5,  15.1,   7.1,  14.7,   2.3
2026070502010808,1,07050155,8,       5890,   9.2,   7.4,  38.6,   3.4,  15.1,   7.0,  15.0,   2.3
2026070502010808,1,07050203,8,       5929,   9.2,   7.4,  38.2,   3.4,  15.1,   7.0,  14.7,   2.4
2026070502010808,1,07050211,8,       5986,   9.2,   7.3,  36.0,   3.4,  15.1,   6.9,  14.6,   2.4
2026070502010808,1,07050219,8,       5995,   9.2,   7.3,  36.0,   3.4,  15.1,   6.9,  14.7,   2.4
2026070502010808,1,07050228,8,       6040,   9.2,   7.3,  36.3,   3.4,  15.2,   7.0,  14.5,   2.4
2026070502010808,1,07050236,8,       6095,   9.3,   7.3,  29.9,   3.5,  15.3,   6.9,  14.6,   2.4
2026070502010808,1,07050244,8,       6148,   9.4,   7.3,  30.1,   3.4,  15.3,   7.0,  14.6,   2.4
2026070502010808,1,07050253,8,       6191,   9.5,   7.3,  30.3,   3.4,  15.4,   7.0,  13.4,   2.4
2026070502010808,1,07050301,8,       6702,  10.2,   7.9,  32.8,   3.6,  15.6,   5.2,  14.5,   2.5
2026070502010808,1,07050309,8,       6751,  10.2,   7.7,  33.1,   3.6,  15.7,   5.3,  14.5,   2.5
2026070502010808,1,07050317,8,       6781,  10.2,   7.7,  32.8,   3.6,  15.6,   5.2,  14.5,   2.5
2026070502010808,1,07050326,8,       6791,  10.2,   7.7,  32.7,   3.6,  15.6,   5.2,  14.5,   2.5
2026070502010808,1,07050334,8,       6803,  10.2,   7.7,  32.7,   3.6,  15.6,   5.2,  14.4,   2.5
2026070502010808,1,07050342,8,       6827,  10.1,   7.7,  32.9,   3.6,  15.7,   5.2,  14.5,   2.5
