ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026062703020108,1,06261835,16,         12,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   9.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062703020108,1,06261843,16,         27,   0.0,   1.6,   0.0,   0.0,   0.0,   0.0,  21.6,  21.6,   0.0,  21.6,   2.7,  21.6,  10.8,   0.0,   0.0,   0.0
2026062703020108,1,06261851,16,         57,   6.5,   2.8,   0.0,  45.6,   0.0,  45.6,  45.6,  45.6,   0.0,   3.5,   5.0,  22.8,   9.1,   0.0,  45.6,   0.0
2026062703020108,1,06261859,16,         65,   7.4,   2.8,   0.0,  52.0,   0.0,  52.0,  52.0,  52.0,  26.0,   4.0,   5.2,  17.3,   7.4,   0.0,  52.0,   0.0
2026062703020108,1,06261908,16,        115,   5.4,   4.6,   0.0,  46.0,  92.0,  46.0,  46.0,  46.0,  23.0,   5.7,   3.0,  15.3,  11.5,  30.6,  46.0,   0.0
2026062703020108,1,06261916,16,        151,   4.6,   5.2,   0.0,  30.2, 120.8,  40.2,  40.2,  40.2,  20.1,   6.3,   4.0,   7.5,  13.4,  30.2,  40.2, 120.8
2026062703020108,1,06261924,16,        222,   6.3,   6.3, 177.6,  35.5, 177.6,  10.4,  35.5,  13.6,  14.8,   6.8,   5.3,   6.8,  11.8,  22.2,  59.2, 177.6
2026062703020108,1,06261932,16,        252,   7.2,   5.0, 100.8,  40.3,  18.3,  11.8,  40.3,  15.5,  15.5,   6.9,   6.1,   6.9,  13.4,  25.2,  67.2, 201.6
2026062703020108,1,06261941,16,        302,   7.3,   5.7,  80.5,  34.5,  20.1,  13.4,  21.9,  17.2,  14.2,   7.7,   5.7,   6.7,  15.1,  24.1,  48.3,  48.3
2026062703020108,1,06261949,16,        386,   8.3,   6.1, 102.9,  44.1,  23.7,  17.1,  23.7,  19.3,   4.4,   9.6,   6.5,   7.3,  17.1,  28.0,  61.7,  61.7
2026062703020108,1,06261957,16,        488,  10.2,   6.9, 130.1,  55.7,  26.0,  20.5,  11.1,  22.9,   4.7,  11.4,   4.4,   8.8,  17.7,  27.8,  48.8,  65.0
2026062703020108,1,06262006,16,        513,  10.8,   7.0, 102.6,  24.1,  25.6,  21.6,  11.7,  24.1,   5.0,  11.7,   4.6,   8.9,  14.1,  29.3,  45.6,  68.4
2026062703020108,1,06262014,16,        661,  13.5,   7.5, 132.2,  26.4,  14.6,  26.4,  10.7,  26.4,   5.6,  11.4,   3.9,   8.2,  15.1,  35.2,  52.8,  88.1
2026062703020108,1,06262022,16,        697,  13.9,   7.7, 139.4,  27.8,  15.4,  26.5,   9.4,  27.8,   5.9,  12.1,   3.6,   8.7,  15.0,  37.1,  55.7,  92.9
2026062703020108,1,06262030,16,        789,  13.7,   6.8, 126.2,  30.0,  15.7,  28.6,   8.7,  31.5,   5.8,  12.8,   3.9,   8.6,  14.3,  35.0,  57.3,  63.1
2026062703020108,1,06262039,16,        932,  16.2,   6.0,  74.5,  35.5,  15.8,  32.4,   5.6,  35.5,   6.4,  14.6,   4.4,   8.9,  15.5,  37.2,  67.7,  74.5
2026062703020108,1,06262047,16,       1009,  16.8,   6.2,  80.7,  33.6,  16.4,  33.6,   6.0,  36.6,   6.7,  15.8,   4.2,   9.4,  10.4,  35.0,  57.6,  73.3
2026062703020108,1,06262055,16,       1057,  17.2,   6.1,  84.5,  35.2,  16.2,  33.8,   6.0,  38.4,   6.3,  15.3,   4.4,   9.8,  10.5,  33.8,  60.4,  76.8
2026062703020108,1,06262103,16,       1230,  19.6,   6.6,  98.4,  39.3,  18.9,  39.3,   6.8,  42.7,   7.3,  16.9,   5.0,   8.8,   4.8,  35.1,  70.2,  89.4
2026062703020108,1,06262112,16,       1335,  17.8,   5.2,  50.8,  34.4,  20.5,  35.6,   7.3,  38.1,   7.9,  18.1,   5.4,   9.4,   5.1,  34.4,  76.2,  97.0
2026062703020108,1,06262120,16,       1544,  16.0,   5.7,  53.7,  38.6,  23.7,  35.2,   5.0,  41.1,   8.8,  19.9,   5.5,   9.6,   5.9,  25.2,  88.2,  88.2
2026062703020108,1,06262128,16,       1845,  18.2,   6.5,  59.0,  46.1,  22.7,  41.0,   6.0,  42.1,   9.5,  23.8,   6.0,  11.2,   6.9,   5.5,  92.2, 105.4
2026062703020108,1,06262136,16,       1993,  18.3,   6.3,  61.3,  37.9,  24.5,  41.9,   6.2,  33.9,   9.6,  22.7,   6.4,  11.3,   6.4,   5.6,  88.5, 113.8
2026062703020108,1,06262145,16,       2099,  18.8,   6.2,  55.9,  39.9,  23.9,  43.0,   6.5,  34.2,   9.7,  23.0,   6.6,  11.7,   5.5,   5.9,  88.3, 119.9
2026062703020108,1,06262153,16,       2314,  16.9,   6.6,  61.7,  42.0,  21.5,  37.7,   5.7,  36.2,  10.7,  25.3,   7.2,  12.6,   5.8,   5.2,  97.4, 132.2
2026062703020108,1,06262201,16,       2437,  16.2,   5.6,  64.9,  44.3,  20.3,  39.7,   5.9,  37.4,  11.2,  25.9,   7.5,  13.0,   6.1,   5.2, 102.6, 129.9
2026062703020108,1,06262209,16,       2502,  16.4,   5.6,  66.7,  44.4,  20.8,  40.8,   6.0,  33.9,  11.4,  25.9,   7.6,  12.9,   5.9,   5.3, 100.0, 125.1
2026062703020108,1,06262218,16,       2608,  15.9,   5.7,  65.2,  45.3,  19.6,  42.5,   6.1,  33.6,  11.7,  26.7,   7.0,  13.3,   5.8,   5.5,  99.3, 130.4
