ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026072604020207,1,07250659,14,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072604020207,1,07250705,14,        243,  11.4, 194.4,   1.9,  64.8,  64.8, 194.4,  12.1,   6.4,   8.1,  16.2,  48.6,  24.3,  17.6,  17.6
2026072604020207,1,07250710,14,        487,  10.2, 194.8,   3.6,  97.4,  38.9,  48.7,  19.4,   9.2,   2.9,   6.4,  19.4,  20.5,  32.4,  32.4
2026072604020207,1,07250716,14,       1012,  14.7, 404.8,   2.5,  89.9,  23.8,  53.9,  18.4,   6.8,   5.3,   8.0,  13.9,  18.8,  21.8,  27.9
2026072604020207,1,07250721,14,       1276,  11.8, 510.4,   3.0, 102.0,  29.1,  34.0,  21.7,   6.5,   4.4,   7.7,  17.3,  16.4,  24.8,  22.1
2026072604020207,1,07250727,14,       2120,  17.6, 565.3,   4.3,  94.2,  32.0,  41.3,  31.4,   2.1,   7.2,   9.8,  20.1,  21.2,  29.7,  34.6
2026072604020207,1,07250732,14,       2646,   5.8, 352.8,   5.2,  30.2,  32.5,  19.7,  34.7,   2.6,   8.6,   8.7,  24.6,  22.7,  34.1,  42.3
2026072604020207,1,07250738,14,       2968,   6.3, 237.4,   4.8,  29.3,  33.9,  18.4,  37.6,   2.8,   7.9,   9.3,  27.6,  23.7,  36.5,  21.3
2026072604020207,1,07250743,14,       3281,   6.7, 238.6,   5.1,  28.8,  36.4,  12.3,  35.9,   3.1,   7.6,  10.2,  29.1,  15.9,  40.3,  15.2
2026072604020207,1,07250749,14,       3469,   6.7, 252.2,   5.2,  24.3,  28.9,  11.2,  36.0,   3.2,   7.9,  10.6,  28.3,  15.5,  34.2,  16.0
2026072604020207,1,07250754,14,       3649,   7.0,  83.4,   5.2,  25.1,  28.9,  10.4,  32.4,   3.3,   8.0,  10.6,  27.8,  16.2,  33.9,  15.8
2026072604020207,1,07250800,14,       3734,   6.8,  85.3,   5.1,  25.5,  26.9,  10.6,  30.1,   3.4,   8.2,  10.2,  28.4,  16.5,  34.7,  16.1
2026072604020207,1,07250805,14,       4018,   6.0,  86.8,   5.4,  26.7,  27.9,  11.3,  29.2,   3.5,   8.7,  10.6,  28.9,  17.0,  36.1,  11.8
2026072604020207,1,07250811,14,       4124,   6.1,  78.5,   5.5,  26.3,  28.4,  11.2,  28.6,   3.6,   8.0,  10.9,  27.0,  17.1,  37.0,  11.9
2026072604020207,1,07250816,14,       4269,   6.0,  79.4,   5.4,  27.1,  29.4,  11.5,  29.4,   3.6,   8.1,  10.8,  27.3,  16.7,  37.9,  12.3
2026072604020207,1,07250822,14,       4992,   5.3,  75.3,   6.0,  28.7,  27.3,  12.2,  25.1,   4.1,   5.9,  10.7,  26.6,  18.2,  39.5,  13.9
2026072604020207,1,07250827,14,       5177,   5.5,  70.1,   5.9,  25.7,  24.8,  12.3,  25.7,   4.2,   6.0,  10.8,  23.8,  18.7,  36.0,  14.1
2026072604020207,1,07250833,14,       5576,   5.9,  75.6,   5.9,  27.7,  23.2,  13.2,  21.6,   4.3,   6.2,   8.9,  24.6,  19.3,  28.0,  14.7
