ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026062810020206,1,06271934,11,          2,   0.0,   0.0,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.6,   0.0
2026062810020206,1,06271943,11,         27,   1.9,   0.0,   7.2,   4.3,  10.8,  21.6,   0.0,  21.6,  21.6,   7.2,   0.0
2026062810020206,1,06271951,11,         98,   5.2,  19.6,   3.0,  11.2,  13.0,  26.1,  19.6,   8.7,  39.2,   4.1,  26.1
2026062810020206,1,06271959,11,        159,   6.3,  15.9,   3.1,   9.0,  11.5,  21.2,  21.2,   7.9,  14.1,   5.5,  25.4
2026062810020206,1,06272007,11,        298,   2.0,  29.8,   4.4,  11.3,  17.0,  34.0,  29.8,  11.9,  23.8,   7.0,  39.7
2026062810020206,1,06272016,11,        360,   2.3,  11.5,   4.7,  12.5,  18.0,  36.0,  16.9,  12.5,  26.1,   6.1,  36.0
2026062810020206,1,06272024,11,        447,   2.6,  12.3,   4.2,  11.5,  21.0,  39.7,  13.7,  11.9,  29.8,   5.5,  44.7
2026062810020206,1,06272032,11,        491,   2.7,  12.6,   4.0,  11.5,  21.8,  43.6,  14.0,  10.6,  26.1,   5.6,  43.6
2026062810020206,1,06272040,11,        647,   3.2,  11.5,   3.8,  12.6,  17.2,  47.0,   9.5,   9.9,  27.2,   5.4,  57.5
2026062810020206,1,06272049,11,        728,   3.4,  12.1,   4.2,  13.5,  17.1,  38.8,  10.0,   9.7,  23.2,   4.6,  44.8
2026062810020206,1,06272057,11,        825,   3.6,   9.8,   4.4,  15.0,  17.3,  44.0,   8.5,   9.0,  18.8,   5.0,  47.1
2026062810020206,1,06272105,11,        915,   3.7,   9.7,   4.4,  14.9,  14.3,  48.8,   9.3,   9.3,  18.3,   4.8,  48.8
2026062810020206,1,06272113,11,       1000,   3.7,   9.6,   4.5,  16.3,  15.0,  50.0,   8.5,   9.4,  19.5,   4.5,  47.0
2026062810020206,1,06272122,11,       1070,   3.6,   9.4,   4.6,  17.4,  15.5,  53.5,   8.7,   8.3,  20.3,   4.7,  45.0
2026062810020206,1,06272130,11,       1199,   3.7,  10.0,   4.4,  18.8,  15.4,  53.2,   9.0,   8.5,  21.3,   4.3,  45.6
2026062810020206,1,06272138,11,       1295,   3.7,  10.4,   4.5,  14.1,  16.1,  54.5,   9.1,   9.0,  22.5,   4.3,  45.0
2026062810020206,1,06272146,11,       1386,   3.6,  10.7,   4.7,  12.4,  14.0,  58.3,   9.6,   9.0,  23.1,   4.4,  48.2
2026062810020206,1,06272155,11,       1469,   3.8,  10.4,   4.8,  12.6,  14.5,  53.4,   8.4,   9.2,  18.3,   4.6,  48.9
2026062810020206,1,06272203,11,       1576,   3.9,  10.7,   4.4,  12.8,  15.5,  48.4,   9.0,   9.6,  17.0,   4.5,  52.5
2026062810020206,1,06272211,11,       1828,   2.7,  12.4,   4.9,  13.1,  17.2,  54.1,  10.4,  10.9,  19.2,   5.0,  60.9
2026062810020206,1,06272219,11,       1877,   2.8,  12.2,   4.7,  12.8,  17.4,  55.6,  10.5,  11.0,  19.5,   5.1,  60.0
2026062810020206,1,06272228,11,       2002,   2.9,  12.8,   4.1,  11.7,  18.4,  53.3,  11.1,  11.0,  20.5,   5.2,  61.6
2026062810020206,1,06272236,11,       2107,   3.0,  10.9,   4.2,  11.8,  19.1,  56.1,  10.5,  11.0,  19.8,   5.3,  64.8
2026062810020206,1,06272244,11,       2137,   3.0,  11.0,   4.2,  11.5,  19.4,  50.2,  10.6,  10.9,  20.1,   5.3,  65.7
2026062810020206,1,06272252,11,       2263,   3.0,  10.0,   4.2,  11.9,  18.2,  48.9,  11.1,  11.3,  18.8,   5.5,  64.6
2026062810020206,1,06272301,11,       2458,   3.0,  10.7,   3.9,  12.4,  19.2,  53.1,  11.8,  12.0,  20.2,   5.2,  70.2
2026062810020206,1,06272309,11,       2599,   2.9,  11.1,   4.0,  12.7,  19.9,  50.7,  12.0,  12.3,  20.5,   5.1,  71.6
2026062810020206,1,06272317,11,       2648,   2.9,  11.0,   4.0,  12.9,  20.3,  51.6,  12.3,  12.5,  20.9,   4.8,  70.6
2026062810020206,1,06272325,11,       2717,   2.9,  11.1,   4.0,  13.1,  20.7,  47.2,  11.8,  12.8,  21.1,   4.7,  72.4
2026062810020206,1,06272334,11,       2774,   2.9,  10.8,   4.0,  13.3,  20.9,  48.2,  11.9,  12.5,  21.3,   4.7,  73.9
2026062810020206,1,06272342,11,       2841,   2.9,  10.1,   4.1,  13.2,  21.2,  49.4,  12.0,  12.3,  19.9,   4.8,  73.3
2026062810020206,1,06272350,11,       2879,   3.0,  10.1,   4.1,  13.1,  20.7,  49.0,  12.2,  12.4,  20.0,   4.8,  74.2
2026062810020206,1,06272358,11,       3006,   3.0,  10.6,   3.9,  12.3,  21.0,  51.1,  12.4,  12.9,  20.2,   4.7,  77.5
2026062810020206,1,06280007,11,       3033,   3.0,  10.5,   3.9,  12.3,  21.0,  49.5,  12.3,  12.7,  20.2,   4.7,  78.2
2026062810020206,1,06280015,11,       3091,   3.0,  10.7,   3.8,  12.4,  21.5,  50.4,  12.4,  13.0,  20.1,   4.8,  79.7
2026062810020206,1,06280023,11,       3133,   3.0,  10.6,   3.8,  12.5,  21.6,  51.1,  12.5,  12.8,  18.9,   4.8,  80.8
2026062810020206,1,06280031,11,       3225,   3.1,  10.7,   3.8,  12.9,  21.5,  50.5,  12.8,  12.7,  17.9,   4.8,  71.6
2026062810020206,1,06280040,11,       3300,   3.0,  10.4,   3.8,  13.2,  22.0,  51.7,  12.5,  12.9,  18.3,   4.9,  73.3
2026062810020206,1,06280048,11,       3357,   3.0,  10.3,   3.8,  13.2,  22.1,  52.6,  12.4,  12.7,  18.5,   4.9,  74.6
2026062810020206,1,06280056,11,       3606,   2.9,  11.0,   4.1,  13.1,  23.2,  56.5,  13.1,  13.1,  19.8,   4.3,  80.1
2026062810020206,1,06280104,11,       3680,   2.9,  11.2,   4.1,  12.8,  21.8,  57.7,  13.2,  12.8,  20.3,   4.3,  81.7
2026062810020206,1,06280113,11,       3700,   2.9,  11.2,   4.1,  12.8,  21.9,  55.8,  13.2,  12.7,  20.2,   4.3,  82.2
2026062810020206,1,06280121,11,       3771,   3.0,  11.1,   4.1,  12.6,  22.3,  56.9,  13.4,  12.3,  20.3,   4.3,  83.8
2026062810020206,1,06280129,11,       3832,   3.0,  11.3,   4.2,  12.3,  20.9,  56.7,  13.5,  11.9,  20.7,   4.3,  82.8
2026062810020206,1,06280137,11,       3871,   3.0,  11.3,   4.1,  12.4,  21.0,  57.3,  13.7,  12.0,  20.9,   4.3,  83.6
2026062810020206,1,06280146,11,       3908,   3.0,  11.3,   4.1,  12.0,  20.3,  57.8,  13.7,  12.1,  20.9,   4.3,  84.4
2026062810020206,1,06280154,11,       3991,   3.0,  11.5,   4.1,  12.2,  20.5,  57.0,  13.4,  12.1,  20.5,   4.3,  65.1
2026062810020206,1,06280202,11,       4042,   3.1,  11.5,   4.1,  12.3,  20.7,  56.7,  13.4,  12.2,  19.3,   4.3,  63.4
2026062810020206,1,06280210,11,       4170,   3.1,  11.6,   4.1,  12.3,  21.3,  58.5,  13.5,  11.7,  18.2,   4.3,  62.9
2026062810020206,1,06280219,11,       4197,   3.1,  11.4,   4.1,  12.3,  21.5,  57.8,  13.4,  11.8,  18.3,   4.3,  63.3
2026062810020206,1,06280227,11,       4228,   3.1,  11.5,   4.1,  12.2,  21.6,  58.3,  13.4,  11.7,  18.4,   4.3,  62.6
2026062810020206,1,06280235,11,       4251,   3.1,  11.5,   4.1,  11.8,  21.6,  58.6,  13.5,  11.7,  18.5,   4.3,  62.9
2026062810020206,1,06280243,11,       4278,   3.1,  11.5,   4.1,  11.8,  21.5,  59.0,  13.5,  11.5,  18.6,   4.3,  63.3
2026062810020206,1,06280252,11,       4288,   3.1,  11.5,   4.1,  11.7,  21.5,  59.1,  13.5,  11.5,  18.6,   4.3,  63.5
2026062810020206,1,06280300,11,       4343,   3.1,  11.5,   4.1,  10.8,  21.5,  58.8,  13.6,  11.6,  18.7,   4.4,  63.1
2026062810020206,1,06280308,11,       4377,   3.2,  11.6,   4.0,  10.8,  21.6,  58.3,  13.7,  11.7,  18.8,   4.4,  62.5
2026062810020206,1,06280316,11,       4405,   3.2,  11.5,   4.0,  10.7,  21.7,  57.7,  13.6,  11.6,  18.9,   4.4,  61.8
2026062810020206,1,06280325,11,       4423,   3.2,  11.6,   4.0,  10.7,  21.8,  57.0,  13.7,  11.6,  18.9,   4.4,  62.0
2026062810020206,1,06280333,11,       4445,   3.2,  11.6,   4.0,  10.8,  21.9,  57.3,  13.7,  11.6,  18.9,   4.3,  62.3
2026062810020206,1,06280341,11,       4450,   3.2,  11.5,   4.0,  10.8,  21.9,  57.4,  13.7,  11.6,  18.9,   4.3,  62.4
2026062810020206,1,06280349,11,       4476,   3.2,  11.6,   4.0,  10.8,  22.1,  56.8,  13.8,  11.7,  18.4,   4.3,  62.8
2026062810020206,1,06280358,11,       4506,   3.2,  11.6,   4.0,  10.6,  22.2,  57.2,  13.8,  11.7,  18.4,   4.3,  58.1
2026062810020206,1,06280406,11,       4528,   3.2,  11.6,   4.0,  10.6,  22.2,  55.7,  13.9,  11.7,  18.5,   4.3,  56.6
2026062810020206,1,06280414,11,       4586,   3.3,  11.7,   4.1,   9.5,  22.5,  56.4,  13.9,  11.7,  18.8,   4.4,  57.3
2026062810020206,1,06280422,11,       4671,   3.2,  11.9,   3.9,   9.6,  22.9,  55.7,  14.1,  11.9,  19.1,   4.5,  58.3
2026062810020206,1,06280431,11,       4701,   3.2,  11.9,   3.9,   9.6,  23.0,  55.3,  14.1,  12.0,  19.2,   4.5,  58.7
2026062810020206,1,06280439,11,       4745,   3.2,  11.8,   3.9,   9.6,  22.8,  55.0,  14.1,  12.0,  19.2,   4.5,  58.4
