ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071802011108,1,07171840,12,          5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   4.0,   0.0,   0.0,   0.0,   1.1
2026071802011108,1,07171848,12,         28,  22.4,   0.0,   0.0,  22.4,   1.7,   0.0,  11.2,  22.4,   5.6,   0.0,  11.2,   5.6
2026071802011108,1,07171856,12,         70,  56.0,   5.6,   0.0,  56.0,   2.3,  11.2,  28.0,  56.0,   9.3,   4.0,  28.0,  14.0
2026071802011108,1,07171904,12,         90,  24.0,   4.5,   0.0,  36.0,   2.8,   4.8,  36.0,  72.0,  12.0,   5.1,  36.0,  18.0
2026071802011108,1,07171913,12,        101,  26.9,   5.0,   0.0,  40.4,   3.1,   5.3,  40.4,  80.8,  13.4,   5.7,  40.4,   5.7
2026071802011108,1,07171925,12,        199,  26.5,   6.3,   0.0,  53.0,   2.0,   6.6,  53.0,  13.2,  15.9,   9.9,  79.6,   7.5
2026071802011108,1,07171933,12,        232,  23.2,   7.1,   0.0,  23.2,   2.3,   7.7,  46.4,  15.4,  16.8,   7.7,  92.8,   5.4
2026071802011108,1,07171941,12,        302,  21.9,   8.6, 241.6,  24.1,   2.3,   5.8,  15.1,  20.1,  12.7,   9.6, 120.8,   6.9
2026071802011108,1,07171949,12,        591,  36.3,  15.2,  94.5,  33.7,   1.5,   8.0,  26.2,  39.4,  22.5,  18.1, 236.4,   5.4
2026071802011108,1,07171958,12,        646,  36.9,  16.6, 103.3,  34.4,   1.6,   7.9,  28.7,  43.0,  20.6,   8.7, 172.2,   5.6
2026071802011108,1,07172006,12,        728,  41.6,  18.7,  72.8,  29.1,   1.6,   7.3,  30.6,  44.8,  22.4,   9.7, 194.1,   6.2
2026071802011108,1,07172014,12,        801,  37.6,  15.6,  71.2,  25.6,   1.7,   7.8,  29.1,  40.0,  24.6,   8.4, 128.1,   6.0
2026071802011108,1,07172022,12,        833,  39.2,  15.1,  60.5,  26.6,   1.7,   7.7,  28.9,  39.2,  22.9,   8.5, 133.2,   6.2
2026071802011108,1,07172031,12,       1235,  49.4,  17.9,  76.0,  24.0,   1.3,  10.7,  38.0,  58.1,  30.8,  11.6, 141.1,   9.0
2026071802011108,1,07172039,12,       1388,  41.1,  14.8,  85.4,  25.2,   1.2,  11.8,  42.7,  65.3,  34.7,  12.9, 158.6,   9.9
2026071802011108,1,07172047,12,       2483,  70.9,  21.8, 104.5,  39.7,   1.1,  20.4,  73.5, 116.8,  53.6,  20.2, 110.3,  14.6
2026071802011108,1,07172055,12,       3327,  91.7,  28.6, 133.0,  53.2,   1.1,  26.6,  95.0, 156.5,  68.2,  25.5, 147.8,  19.5
2026071802011108,1,07172104,12,       3417,  52.5,  28.4, 136.6,  47.9,   1.1,  25.5,  91.1, 151.8,  62.1,  22.0, 143.8,  18.7
2026071802011108,1,07172112,12,       3650,  35.6,  30.1, 146.0,  51.2,   1.1,  16.8,  94.1, 153.6,  62.1,  23.1, 146.0,  17.9
2026071802011108,1,07172120,12,       3772,  34.6,  29.2, 137.1,  38.1,   1.1,  17.2,  77.3, 143.6,  51.1,  22.8, 137.1,  16.4
2026071802011108,1,07172128,12,       3822,  31.5,  29.6, 138.9,  38.7,   1.1,  17.2,  78.4, 145.6,  47.0,  22.4, 132.9,  14.6
2026071802011108,1,07172137,12,       4316,  17.2,  32.8, 138.1,  29.2,   1.1,  18.0,  82.2, 138.1,  38.3,  23.0, 143.8,  15.8
2026071802011108,1,07172145,12,       4348,  17.3,  33.1, 115.9,  29.2,   1.1,  18.1,  77.2, 139.1,  38.6,  22.0, 139.1,  15.6
2026071802011108,1,07172153,12,       4456,  16.5,  30.9, 111.4,  28.7,   1.1,  17.0,  74.2, 142.5,  36.0,  21.2, 137.1,  15.6
2026071802011108,1,07172201,12,       4524,  16.8,  31.4, 113.1,  27.2,   1.1,  15.8,  72.3, 120.6,  34.1,  20.1, 129.2,  15.1
2026071802011108,1,07172210,12,       4637,  16.7,  31.4, 109.1,  26.1,   1.1,  15.2,  74.1, 112.4,  26.8,  20.0, 132.4,  15.3
2026071802011108,1,07172218,12,       4795,  16.9,  31.9,  98.3,  24.9,   1.1,  15.4,  72.3, 109.6,  27.4,  19.9, 127.8,  15.4
2026071802011108,1,07172226,12,       5175,  15.1,  31.8,  69.0,  20.7,   1.2,  13.6,  66.7, 115.0,  28.9,  16.6, 138.0,  15.7
2026071802011108,1,07172235,12,       5236,  14.9,  32.2,  69.8,  19.8,   1.2,  13.6,  64.4, 113.2,  28.6,  16.4, 135.1,  14.8
2026071802011108,1,07172243,12,       5457,  14.2,  33.3,  62.3,  19.0,   1.2,  13.6,  63.2, 114.8,  29.6,  15.9, 140.8,  14.8
2026071802011108,1,07172251,12,       6795,  17.6,  38.5,  77.6,  21.7,   1.1,  16.4,  76.5, 143.0,  36.4,  18.2, 175.3,  17.8
2026071802011108,1,07172259,12,       6873,  17.6,  37.6,  76.3,  18.8,   1.1,  16.5,  73.3, 140.9,  35.9,  18.3, 177.3,  17.8
2026071802011108,1,07172308,12,       7119,  18.1,  39.0,  76.9,  19.1,   1.1,  16.5,  75.9, 146.0,  36.2,  17.9, 183.7,  18.0
2026071802011108,1,07172316,12,       7223,  18.4,  39.0,  76.0,  19.0,   1.1,  16.6,  74.0, 125.6,  35.6,  16.7, 186.4,  16.7
2026071802011108,1,07172324,12,       7312,  18.3,  38.9,  74.0,  17.8,   1.1,  16.5,  74.0, 121.8,  35.6,  16.3, 177.2,  16.4
2026071802011108,1,07172332,12,       7362,  18.2,  37.9,  72.7,  17.7,   1.1,  16.5,  72.7, 122.7,  35.2,  16.0, 173.2,  16.1
2026071802011108,1,07172341,12,       7399,  17.8,  38.1,  71.3,  17.7,   1.1,  16.5,  72.1, 123.3,  35.4,  15.9, 169.1,  15.7
