ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026062803020202,1,06271933,15,          1,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062803020202,1,06271941,15,         24,   0.0,   0.0,  19.2,   0.0,   3.2,   9.6,   0.0,  19.2,   9.6,   3.8,  19.2,   4.8,   9.6,   0.0,   0.0
2026062803020202,1,06271949,15,        196,  10.4,  31.3,  52.2,  26.1,   5.6,   8.7,  12.0,  31.3,  14.2,  17.4,  26.1,   2.4,  26.1, 156.8,  22.4
2026062803020202,1,06271957,15,        303,  15.1,  30.3,  80.8,  26.9,   7.1,   5.6,  17.3,  24.2,  14.2,  22.0,  34.6,   2.1,  26.9,  80.8,  30.3
2026062803020202,1,06272006,15,        390,  15.6,  28.3, 104.0,  22.2,   6.1,   7.2,  19.5,  28.3,  17.3,  24.0,  26.0,   2.3,  10.4,  78.0,  31.2
2026062803020202,1,06272014,15,        478,  16.6,  21.2,  76.4,  25.4,   6.5,   8.6,  23.9,  34.7,  20.1,  29.4,  22.4,   2.3,   7.4,  38.2,  31.8
2026062803020202,1,06272022,15,        605,  15.1,  22.0,  60.5,  30.2,   6.1,   9.8,  19.3,  32.2,  22.0,  26.8,  25.4,   2.4,   6.2,  37.2,  32.2
2026062803020202,1,06272030,15,        719,  17.4,  17.9,  47.9,  33.8,   6.1,  11.0,  22.1,  35.9,  20.5,  28.7,  27.3,   2.2,   6.6,  41.0,  35.9
2026062803020202,1,06272039,15,        874,  18.8,  15.8,  58.2,  31.7,   5.6,  12.4,  24.1,  36.8,  23.3,  31.7,  17.0,   2.2,   7.8,  43.7,  34.9
2026062803020202,1,06272047,15,       1000,  17.3,  16.3,  66.6,  29.6,   6.0,  14.0,  25.0,  42.1,  26.6,  34.7,  14.0,   2.2,   7.2,  47.0,  30.7
2026062803020202,1,06272055,15,       1094,  16.8,  17.1,  62.5,  32.4,   5.7,  15.0,  26.5,  43.7,  23.6,  38.0,  13.2,   2.2,   7.1,  48.6,  30.1
2026062803020202,1,06272103,15,       1178,  16.5,  16.8,  67.3,  26.9,   5.9,  13.0,  28.5,  47.1,  24.8,  40.9,  13.0,   2.2,   7.3,  47.1,  29.4
2026062803020202,1,06272112,15,       1454,  16.1,  19.3,  77.5,  29.0,   5.9,  13.3,  29.8,  58.1,  27.6,  48.4,  13.6,   2.0,   7.5,  55.3,  33.2
2026062803020202,1,06272120,15,       1638,  17.9,  21.4,  81.9,  32.7,   6.2,  14.4,  31.9,  59.5,  29.7,  50.4,  14.2,   2.1,   6.0,  29.1,  33.6
2026062803020202,1,06272128,15,       2106,  20.0,  19.8,  99.1,  37.4,   6.6,  16.2,  39.1,  76.5,  35.8,  43.2,  16.2,   1.7,   7.5,  35.1,  41.0
2026062803020202,1,06272136,15,       2295,  19.1,  18.9, 108.0,  28.6,   7.1,  14.6,  39.0,  79.8,  38.2,  36.7,  17.3,   1.7,   7.6,  36.7,  44.7
2026062803020202,1,06272145,15,       2570,  20.5,  20.9,  93.4,  30.2,   5.9,  16.3,  41.9,  89.3,  37.3,  41.1,  17.5,   1.7,   7.8,  34.8,  46.7
2026062803020202,1,06272153,15,       2756,  20.9,  21.6, 100.2,  32.4,   6.1,  16.7,  27.9,  95.8,  39.3,  40.0,  18.8,   1.7,   8.3,  23.2,  44.0
2026062803020202,1,06272201,15,       3040,  21.9,  21.1, 110.5,  34.2,   6.2,  17.4,  26.1, 105.7,  41.9,  42.6,  19.4,   1.7,   7.8,  24.8,  47.6
2026062803020202,1,06272209,15,       3276,  12.3,  20.8, 119.1,  36.4,   6.6,  17.5,  27.8, 113.9,  44.4,  45.1,  18.8,   1.8,   7.7,  26.2,  48.5
2026062803020202,1,06272218,15,       3654,  13.4,  18.1, 112.4,  37.9,   6.9,  18.9,  29.8, 116.9,  48.7,  47.9,  20.4,   1.7,   8.4,  27.3,  47.1
2026062803020202,1,06272226,15,       3915,  13.7,  17.8, 104.4,  39.1,   7.0,  17.4,  31.3, 125.2,  50.5,  47.4,  19.6,   1.7,   8.2,  28.7,  48.1
2026062803020202,1,06272234,15,       4475,  15.1,  20.1, 115.4,  41.6,   6.9,  19.3,  35.4, 143.2,  50.4,  49.7,  12.7,   1.6,   9.3,  30.5,  46.4
2026062803020202,1,06272242,15,       4634,  15.5,  20.8, 115.8,  42.6,   6.8,  19.5,  35.3, 142.5,  52.2,  50.0,  11.2,   1.7,   9.1,  31.4,  47.5
2026062803020202,1,06272251,15,       4748,  15.6,  20.7, 102.6,  39.9,   6.8,  19.8,  34.8, 140.6,  45.2,  50.6,  11.1,   1.7,   9.2,  31.1,  43.1
2026062803020202,1,06272259,15,       4925,  16.1,  20.1,  91.6,  37.5,   6.7,  20.5,  30.7, 135.8,  46.3,  44.7,  11.3,   1.7,   8.6,  32.0,  44.2
