ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026062002010309,1,06191844,12,         38,  10.1,  10.1,  30.4,   0.0,  15.2,   7.6,   1.5,   0.0,  30.4,  30.4,  15.2,  30.4
2026062002010309,1,06191852,12,         48,   9.6,  12.8,  38.4,   0.0,  19.2,   6.4,   1.4,   0.0,  19.2,  38.4,  19.2,  38.4
2026062002010309,1,06191901,12,         86,  17.2,   3.4,  68.8,  68.8,  34.4,   9.8,   2.1,   0.0,  17.2,  34.4,   5.7,  68.8
2026062002010309,1,06191909,12,        125,  25.0,   2.7, 100.0,  50.0,  50.0,  11.1,   1.9,   0.0,  25.0,  50.0,   8.3, 100.0
2026062002010309,1,06191917,12,        154,  30.8,   2.8,  61.6,  41.0,  41.0,  12.3,   2.2,   0.0,   7.2,  61.6,   9.4, 123.2
2026062002010309,1,06191925,12,        233,   2.4,   4.2,  93.2,  46.6,  46.6,  18.6,   3.2,   0.0,   9.8,  93.2,  14.3, 186.4
2026062002010309,1,06191934,12,        278,   2.7,   5.0,  37.0,  55.6,   8.5,  17.1,   3.5, 222.4,   8.8, 111.2,  15.8, 222.4
2026062002010309,1,06191942,12,        325,   3.0,   5.7,  43.3,  18.5,   9.6,  17.3,   3.3,  23.6,   9.2, 130.0,  18.5, 260.0
2026062002010309,1,06191950,12,        355,   3.3,   5.5,  47.3,  16.7,  10.5,  11.3,   3.5,  23.6,  10.1, 142.0,  14.9, 284.0
2026062002010309,1,06191958,12,        378,   3.5,   5.4,  43.2,  17.7,  11.2,  10.4,   3.2,  25.2,  10.0, 151.2,  15.1, 302.4
2026062002010309,1,06192007,12,        435,   3.5,   5.7,  43.5,  19.3,  12.8,   8.4,   3.6,  26.7,   7.1, 174.0,  15.1, 348.0
2026062002010309,1,06192015,12,        483,   3.6,   6.3,  48.3,  21.4,  14.3,   8.7,   3.4,  27.6,   5.9, 193.2,  15.4, 386.4
2026062002010309,1,06192023,12,        631,   4.5,   6.0,  63.1,  28.0,  18.0,   7.3,   3.6,  36.0,   3.8, 252.4,  19.4, 100.9
2026062002010309,1,06192031,12,        664,   4.8,   5.1,  66.4,  29.5,  18.9,   7.1,   3.7,  35.4,   4.0, 265.6,  18.3,  88.5
2026062002010309,1,06192040,12,        746,   5.1,   5.1,  74.6,  33.1,  13.8,   6.7,   4.2,  37.3,   3.7, 298.4,  17.5,  99.4
2026062002010309,1,06192048,12,        806,   5.4,   5.2,  71.6,  20.1,  14.6,   6.5,   4.3,  40.3,   3.8, 322.4,  16.5, 107.4
2026062002010309,1,06192056,12,       1421,   8.2,   8.3,  75.7,  31.5,  25.8,   9.9,   2.0,  63.1,   3.8, 189.4,  27.7, 113.6
2026062002010309,1,06192104,12,       1575,   8.9,   8.8,  70.0,  34.0,   8.4,   9.7,   2.2,  57.2,   4.2, 157.5,  28.6,  96.9
2026062002010309,1,06192113,12,       1841,  10.2,   5.7,  77.5,  37.7,   5.3,  10.9,   2.5,  64.0,   4.8, 163.6,  32.7, 105.2
2026062002010309,1,06192121,12,       2061,   6.3,   5.2,  82.4,  35.8,   5.7,  12.0,   2.8,  65.9,   5.2, 164.8,  32.9, 109.9
2026062002010309,1,06192129,12,       2185,   6.7,   5.2,  87.4,  38.0,   6.1,  10.4,   2.9,  51.4,   4.7, 174.8,  34.2, 116.5
2026062002010309,1,06192138,12,       2258,   6.9,   5.2,  86.0,  38.4,   6.3,   9.9,   3.0,  53.1,   4.4, 164.2,  32.8, 112.9
2026062002010309,1,06192146,12,       2402,   7.1,   5.0,  91.5,  37.6,   6.5,   9.3,   3.0,  53.3,   4.4, 160.1,  34.3, 120.1
2026062002010309,1,06192154,12,       2487,   7.3,   4.7,  94.7,  38.2,   6.8,   9.0,   3.0,  48.5,   4.5, 153.0,  34.9, 117.0
2026062002010309,1,06192202,12,       2608,   7.6,   4.5,  99.3,  33.6,   7.1,   8.3,   3.0,  44.3,   4.7, 160.4,  34.7, 122.7
2026062002010309,1,06192211,12,       2693,   7.8,   4.5, 102.5,  34.1,   7.2,   8.2,   3.1,  45.8,   4.5, 107.7,  34.1,  97.9
2026062002010309,1,06192219,12,       2809,   7.6,   4.5, 107.0,  32.5,   7.5,   8.0,   3.0,  45.8,   4.7, 107.0,  35.1, 102.1
2026062002010309,1,06192227,12,       3399,   9.2,   5.0, 129.4,  38.8,   3.3,   9.4,   3.6,  48.5,   5.6, 129.4,  42.4, 123.6
