ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026070503020401,1,07041930,15,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0
2026070503020401,1,07041935,15,        138, 110.4,  55.2,   0.0, 110.4,  22.0,  10.0,  55.2, 110.4, 110.4,   1.1,  55.2,   0.0, 110.4, 110.4,  55.2
2026070503020401,1,07041941,15,        333,   2.6,  38.0,  17.7,  88.8,  26.6,  17.7,  66.6,  66.6, 266.4,   2.4,  17.7,  38.0,  12.1,  66.6,  20.4
2026070503020401,1,07041946,15,        464,   3.5,  24.7,  13.2,  74.2,  17.6,  14.2,  33.7,  41.2,  74.2,   2.9,  20.6,  37.1,   7.2,  26.5,  18.5
2026070503020401,1,07041951,15,        597,   4.3,  23.8,  15.4,  95.5,  12.9,  14.4,  39.8,  47.7,  68.2,   3.7,  25.1,  43.4,   8.3,  19.9,   5.1
2026070503020401,1,07041956,15,        851,   5.2,  25.2,  18.4,  97.2,   6.8,  19.4,  52.3,  48.6,  68.0,   5.1,  27.2,  48.6,   3.9,  18.9,   6.7
2026070503020401,1,07042002,15,        968,   5.9,  24.2,  18.4,  96.8,   6.1,  16.1,  51.6,  43.0,  55.3,   5.7,  27.6,  45.5,   4.1,  12.4,   7.3
2026070503020401,1,07042007,15,       1064,   6.3,  24.3,  19.3, 106.4,   5.4,  16.6,  56.7,  42.5,  56.7,   5.6,  30.4,  31.5,   4.3,  13.0,   7.0
2026070503020401,1,07042012,15,       1182,   6.8,  22.5,  19.7, 105.0,   5.8,  17.1,  55.6,  45.0,  55.6,   4.8,  29.5,  33.7,   4.3,  13.7,   7.1
2026070503020401,1,07042017,15,       1505,   8.2,  24.0,  23.1,  86.0,   6.0,  19.7,  52.3,  44.5,  16.4,   5.7,  31.6,  36.4,   5.2,  15.6,   4.4
2026070503020401,1,07042023,15,       1653,   8.8,  22.0,  24.0,  73.4,   5.9,  21.3,  55.1,  44.0,  16.5,   6.1,  33.0,  36.7,   4.7,  14.3,   4.4
2026070503020401,1,07042028,15,       1948,   9.5,  21.0,  21.0,  51.9,   6.0,  20.2,  42.1,  34.6,  16.2,   6.0,  30.5,  31.8,   5.1,  13.9,   4.8
2026070503020401,1,07042033,15,       2073,   9.8,  22.4,  21.2,  53.4,   5.7,  21.2,  44.8,  36.8,  17.0,   6.3,  32.5,  30.7,   4.7,  13.1,   5.0
2026070503020401,1,07042038,15,       2251,  10.5,  20.4,  21.1,  51.4,   5.8,  22.2,  47.3,  37.5,  17.6,   5.3,  34.6,  32.1,   4.9,  12.7,   5.2
2026070503020401,1,07042044,15,       2501,  11.3,  19.8,  22.2,  57.1,   4.6,  20.6,  47.6,  40.8,  19.4,   5.7,  36.3,  33.9,   4.9,  13.8,   5.4
2026070503020401,1,07042049,15,       2649,  11.7,  19.8,  19.0,  52.9,   4.7,  21.1,  49.2,  40.7,  16.9,   5.9,  36.5,  32.1,   4.8,  14.4,   5.4
2026070503020401,1,07042054,15,       2788,  12.1,  14.7,  19.3,  53.1,   4.9,  21.6,  50.6,  40.5,  16.8,   6.0,  35.4,  27.8,   4.9,  14.3,   5.6
2026070503020401,1,07042059,15,       2961,  12.7,  14.9,  19.1,  52.6,   5.0,  22.1,  49.3,  38.2,  17.6,   6.2,  35.8,  24.1,   4.9,  12.9,   5.6
