ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026062710020111,1,06261840,15,         67,   0.0,   5.3,   0.0,  53.6,   0.0,   0.0,   0.0,  53.6,   0.0,   0.0,  26.8,  53.6,  53.6,   0.0,   1.1
2026062710020111,1,06261848,15,        115,  92.0,   7.0,  92.0,   4.8,  46.0,  30.6,  46.0,  30.6,  30.6,  92.0,  23.0,  30.6,  46.0,  92.0,   1.6
2026062710020111,1,06261857,15,        224, 179.2,   6.1, 179.2,   4.1,  17.9,  35.8,  25.6,  29.8,  35.8, 179.2,  35.8,  11.2,   8.9, 179.2,   2.4
2026062710020111,1,06261905,15,        775, 620.0,   6.2, 620.0,   4.9,  51.6,  88.5,  88.5,  77.5,   2.6, 103.3,  13.1,  11.0,   9.2, 155.0,   6.1
2026062710020111,1,06261913,15,        811, 648.8,   6.2, 216.2,   5.0,  49.9,  81.1,  64.8,  72.0,   2.7,  92.6,  12.2,  10.8,   9.5, 129.7,   6.0
2026062710020111,1,06261921,15,        929, 185.8,   6.5, 148.6,   5.7,  35.3,  67.5,  30.9,  67.5,   2.8,  35.3,  12.1,  11.6,   8.8,  74.3,   6.6
2026062710020111,1,06261930,15,        968, 154.8,   6.6, 129.0,   5.9,  32.2,  64.5,  28.6,  64.5,   2.9,  24.2,  12.1,  10.7,   9.0,  77.4,   6.9
2026062710020111,1,06261938,15,       1220, 162.6,   8.0,  97.6,   7.1,  36.1,  69.7,  25.6,  16.5,   2.9,  24.4,  11.2,  10.1,   8.7,  88.7,   7.7
2026062710020111,1,06261946,15,       1409,  70.4,   9.0, 102.4,   8.1,  40.2,  43.3,  27.4,  18.4,   3.3,  24.5,   8.1,   6.9,   8.6,  66.3,   8.6
2026062710020111,1,06261954,15,       1639,  46.8,   7.7, 100.8,   8.5,  15.6,  31.2,  29.1,  20.4,   3.7,  25.7,   8.9,   7.5,   9.1,  45.2,   9.0
2026062710020111,1,06262003,15,       1808,  51.6,   8.3, 111.2,   9.4,  15.5,  33.6,  29.5,  22.2,   3.1,  28.3,   8.1,   8.0,   9.3,  49.8,   9.9
2026062710020111,1,06262011,15,       2047,  56.4,   9.2, 109.1,   7.2,  17.0,  37.2,  32.1,  20.9,   3.2,  30.3,   8.5,   8.5,   9.5,  56.4,   8.4
2026062710020111,1,06262019,15,       2232,  57.6,   6.7, 119.0,   7.4,  17.6,  38.8,  32.4,  22.6,   3.5,  31.3,   9.1,   9.2,   8.7,  57.6,   8.6
2026062710020111,1,06262028,15,       2560,  62.0,   6.6, 120.4,   8.1,  17.9,  28.0,  33.5,  21.7,   3.9,  29.6,   9.5,   9.2,   9.3,  58.5,   6.2
2026062710020111,1,06262036,15,       2974,  72.0,   6.6,  13.9,   7.2,  20.8,  29.0,  38.3,  24.0,   4.4,  32.5,  10.6,  10.2,   8.1,  62.6,   7.0
2026062710020111,1,06262044,15,       3284,  64.0,   6.6,  15.1,   7.7,  20.5,  22.8,  38.0,  20.6,   4.8,  30.9,  10.9,  10.4,   7.1,  61.0,   7.0
2026062710020111,1,06262052,15,       3486,  58.1,   6.3,  15.9,   7.9,  18.1,  23.8,  34.4,  19.9,   4.9,  31.3,  11.2,  10.0,   7.2,  55.7,   7.4
