ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071902011210,1,07181932,14,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0
2026071902011210,1,07181940,14,         64,  51.2,   0.0,  51.2,  51.2,  51.2,   0.0,   0.0,   0.0,  10.2,   0.0,  17.0,   1.1,   0.0,   0.0
2026071902011210,1,07181949,14,        227,  13.9,  45.4,  25.9,  90.8,  90.8, 181.6,   9.0, 181.6,   4.6,   0.0,  45.4,   1.4, 181.6,  25.9
2026071902011210,1,07181957,14,        298,  13.2,  47.6,  26.4,   9.1,  29.8,  79.4,  11.9,  79.4,   4.9, 238.4,  59.6,   1.6, 119.2,  34.0
2026071902011210,1,07182005,14,        402,  10.0,  32.1,  32.1,  11.0,  35.7,  18.9,  11.0,  35.7,   5.7, 321.6,  53.6,   2.1, 107.2,   7.4
2026071902011210,1,07182013,14,        658,  13.8,  40.4,  35.0,  15.4,  47.8,  27.7,  17.5,  52.6,   6.9, 526.4,  87.7,   2.0, 175.4,   3.6
2026071902011210,1,07182022,14,        830,   8.5,  44.2,  31.6,  17.9,  33.2,  23.7,   9.3,  31.6,   7.3, 664.0,  73.7,   2.3, 132.8,   4.5
2026071902011210,1,07182030,14,        899,   8.5,  44.9,  32.6,  19.4,  19.4,  24.8,   9.9,  34.2,   6.3, 359.6,  65.3,   2.4, 143.8,   4.7
2026071902011210,1,07182038,14,       1046,   6.6,  39.8,  30.9,  17.0,  22.6,  26.9,   9.9,  39.8,   6.2, 167.3,  59.7,   2.5, 139.4,   5.2
2026071902011210,1,07182046,14,       1196,   7.3,  43.4,  30.8,  19.1,  25.1,  28.9,  10.9,  45.5,   6.5, 191.3,  63.7,   2.7, 159.4,   3.6
2026071902011210,1,07182055,14,       1385,   5.6,  48.1,  34.6,  20.1,  22.6,  33.5,  11.9,  50.3,   6.6, 110.8,  39.5,   2.7, 158.2,   4.2
2026071902011210,1,07182103,14,       1495,   5.7,  46.0,  35.1,  21.7,  23.0,  35.1,  11.1,  35.1,   5.3, 108.7,  35.1,   2.9, 149.5,   4.5
2026071902011210,1,07182111,14,       1894,   6.6,  58.2,  24.8,  26.5,  16.2,  39.8,  13.6,  25.6,   4.2, 116.5,  40.9,   2.9, 137.7,   5.2
