ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026071102010909,1,07101836,10,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071102010909,1,07101844,10,         27,   5.4,   0.0,   0.0,   0.0,  21.6,   1.1,  21.6,   0.0,   0.0,  21.6
2026071102010909,1,07101852,10,         35,   3.1,  28.0,   0.0,   0.0,  14.0,   1.4,  14.0,   0.0,   0.0,  28.0
2026071102010909,1,07101901,10,         64,   2.4,  51.2,   0.0,   0.0,  25.6,   1.7,  25.6,  17.0,  51.2,  12.8
2026071102010909,1,07101909,10,         77,   2.9,  61.6,   0.0,   0.0,  30.8,   1.9,  15.4,   4.7,  61.6,  15.4
2026071102010909,1,07101917,10,         94,   3.5,  37.6,   0.0,   0.0,  25.0,   2.3,  15.0,   5.7,   6.2,  12.5
2026071102010909,1,07101925,10,        102,   3.2,  40.8,   0.0,   0.0,  27.2,   2.5,  16.3,   4.8,   6.8,  13.6
2026071102010909,1,07101934,10,        143,   4.0,  57.2,  38.1, 114.4,  22.8,   3.3,   5.4,   6.0,   8.8,   6.7
2026071102010909,1,07101942,10,        184,   2.9,  49.0,  49.0, 147.2,  14.7,   3.3,   6.4,   7.7,  10.5,   8.6
2026071102010909,1,07101950,10,        245,   2.3,  65.3,  49.0,  28.0,  15.0,   3.5,   8.1,   9.8,  12.2,  10.8
2026071102010909,1,07101958,10,        386,   1.5,  77.2,  61.7,  38.6,  19.3,   5.4,  11.8,   9.0,  17.1,  14.7
2026071102010909,1,07102010,10,        668,   1.7,  76.3,  89.0,  53.4,  31.4,   8.6,   3.6,  12.7,  23.2,  13.0
2026071102010909,1,07102019,10,        739,   1.6,  73.9,  98.5,  53.7,  32.8,   9.3,   3.8,  13.4,  21.8,  14.0
2026071102010909,1,07102027,10,        791,   1.7,  79.1,  48.6,  48.6,  35.1,   8.2,   3.7,  13.7,  19.1,  14.0
2026071102010909,1,07102035,10,        810,   1.7,  81.0,  46.2,  38.1,  36.0,   8.3,   3.7,  13.7,  18.5,  14.4
2026071102010909,1,07102043,10,        870,   1.8,  63.2,  43.5,  33.1,  34.8,   8.3,   3.8,  11.7,  13.9,  14.8
2026071102010909,1,07102052,10,        887,   1.8,  64.5,  44.3,  28.3,  33.7,   8.3,   3.8,  11.6,  13.9,  15.0
2026071102010909,1,07102100,10,        933,   1.8,  67.8,  43.9,  28.7,  31.1,   8.5,   4.0,  11.1,  13.0,  15.2
2026071102010909,1,07102108,10,       1014,   1.9,  67.6,  47.7,   9.8,  30.0,   8.5,   4.3,  12.1,  13.2,  16.2
2026071102010909,1,07102116,10,       1104,   2.0,  73.6,  13.1,   9.9,  24.5,   8.3,   4.7,  12.9,  14.0,  16.6
2026071102010909,1,07102125,10,       1162,   2.1,  71.5,  13.6,  10.3,  25.1,   8.1,   4.5,  12.5,  13.4,  16.3
2026071102010909,1,07102133,10,       1251,   2.2,  50.0,  13.5,  10.5,  20.4,   7.6,   4.6,  12.9,  12.5,  16.4
2026071102010909,1,07102141,10,       1310,   2.2,  52.4,  11.7,  11.0,  19.0,   7.9,   4.5,  13.4,  12.7,  16.6
2026071102010909,1,07102149,10,       1565,   2.5,  62.6,  12.9,   9.2,  19.5,   5.7,   5.3,   9.7,  12.5,  15.8
2026071102010909,1,07102158,10,       1591,   2.5,  63.6,  12.9,   9.4,  19.2,   5.7,   5.4,   9.5,  12.6,  15.3
2026071102010909,1,07102206,10,       1660,   2.6,  66.4,  13.5,   9.4,  17.0,   5.8,   5.2,   9.4,  12.0,  15.0
2026071102010909,1,07102214,10,       1729,   2.7,  65.8,  11.5,   9.2,  17.2,   6.0,   5.3,   9.5,  11.3,  14.5
2026071102010909,1,07102222,10,       1824,   2.7,  58.3,  11.6,   9.2,  16.9,   6.1,   5.5,   9.8,  10.9,  13.1
2026071102010909,1,07102231,10,       1894,   2.6,  58.2,  12.0,   9.5,  17.4,   6.2,   5.6,  10.1,  11.0,  12.4
2026071102010909,1,07102239,10,       2086,   2.7,  59.6,  12.9,   7.5,  16.0,   6.6,   5.9,  10.4,  10.9,  11.5
2026071102010909,1,07102247,10,       2111,   2.7,  60.3,  12.9,   7.6,  15.9,   6.6,   5.9,  10.1,  10.6,  11.4
2026071102010909,1,07102255,10,       2222,   2.6,  57.3,  13.5,   8.0,  16.1,   6.7,   5.8,  10.6,  10.9,  10.9
2026071102010909,1,07102304,10,       2406,   2.4,  58.3,  14.3,   8.6,  15.5,   7.1,   6.2,  11.5,   9.7,  11.7
2026071102010909,1,07102312,10,       2475,   2.4,  52.1,  14.6,   8.4,  15.9,   7.0,   6.4,  11.7,   9.8,  12.0
2026071102010909,1,07102320,10,       2550,   2.3,  53.6,  15.1,   8.6,  13.7,   7.1,   6.5,  12.1,   9.8,  11.7
2026071102010909,1,07102328,10,       2681,   2.2,  56.4,  15.6,   9.0,  13.9,   7.4,   6.7,  12.6,  10.0,  11.5
2026071102010909,1,07102337,10,       2754,   2.3,  57.9,  15.9,   7.7,  14.1,   7.7,   6.8,  12.8,  10.2,  11.2
2026071102010909,1,07102345,10,       2893,   2.3,  59.3,  16.6,   8.0,  14.5,   7.0,   7.2,  13.3,  10.2,   9.2
2026071102010909,1,07102353,10,       2923,   2.4,  58.4,  16.8,   8.0,  14.1,   6.8,   7.2,  13.4,  10.3,   9.1
2026071102010909,1,07110006,10,       2961,   2.4,  59.2,  17.0,   8.1,  13.6,   6.9,   7.3,  12.8,  10.1,   9.2
2026071102010909,1,07110014,10,       3005,   2.4,  60.1,  17.2,   8.2,  13.8,   6.8,   7.4,  12.9,  10.0,   9.3
2026071102010909,1,07110022,10,       3050,   2.4,  56.7,  17.5,   8.3,  13.9,   6.7,   7.4,  13.0,  10.2,   8.7
2026071102010909,1,07110031,10,       3108,   2.4,  56.5,  17.7,   8.4,  14.1,   6.8,   7.2,  13.2,  10.3,   7.9
2026071102010909,1,07110039,10,       3261,   2.5,  57.9,  18.3,   8.6,  14.6,   7.1,   5.7,  13.8,  10.7,   7.8
2026071102010909,1,07110047,10,       3420,   2.6,  59.4,  18.4,   7.5,  14.9,   7.2,   6.0,  13.8,  10.1,   7.9
2026071102010909,1,07110055,10,       3501,   2.6,  59.5,  18.7,   7.2,  14.9,   7.2,   6.1,  14.1,   9.5,   8.0
2026071102010909,1,07110104,10,       3560,   2.6,  60.5,  18.7,   7.3,  15.2,   7.1,   6.1,  14.3,   9.6,   7.5
2026071102010909,1,07110112,10,       3648,   2.7,  62.0,  19.2,   6.8,  13.4,   7.3,   6.3,  14.7,   9.7,   7.6
2026071102010909,1,07110120,10,       3674,   2.7,  62.5,  19.3,   6.8,  13.2,   7.2,   6.3,  14.8,   9.8,   7.6
2026071102010909,1,07110128,10,       3723,   2.6,  63.3,  19.4,   6.9,  13.4,   7.3,   6.4,  14.9,   9.8,   7.5
2026071102010909,1,07110137,10,       3768,   2.6,  64.1,  19.5,   7.0,  13.5,   7.2,   6.4,  15.1,  10.0,   7.5
2026071102010909,1,07110145,10,       3792,   2.6,  64.5,  19.5,   7.0,  13.6,   7.2,   6.4,  14.9,   9.9,   7.6
2026071102010909,1,07110153,10,       3855,   2.6,  64.2,  19.6,   7.1,  13.6,   6.9,   6.5,  15.1,   9.8,   7.6
2026071102010909,1,07110201,10,       3890,   2.6,  64.8,  19.8,   7.1,  13.7,   6.9,   6.4,  15.1,   9.9,   7.7
2026071102010909,1,07110210,10,       3938,   2.6,  65.6,  19.3,   7.2,  13.8,   6.9,   6.5,  15.3,   9.9,   7.8
2026071102010909,1,07110218,10,       3961,   2.6,  66.0,  19.4,   7.3,  13.8,   6.8,   6.5,  15.0,   9.8,   7.8
2026071102010909,1,07110226,10,       4002,   2.5,  66.7,  19.6,   7.3,  14.0,   6.9,   6.6,  15.2,   9.6,   7.9
2026071102010909,1,07110234,10,       4105,   2.5,  67.0,  20.1,   7.5,  14.3,   7.0,   6.7,  15.4,   8.9,   8.1
2026071102010909,1,07110243,10,       4128,   2.5,  64.7,  20.1,   7.5,  14.2,   7.0,   6.6,  15.4,   8.9,   7.9
2026071102010909,1,07110251,10,       4141,   2.5,  64.9,  20.0,   7.5,  14.3,   7.0,   6.7,  15.4,   8.8,   7.9
2026071102010909,1,07110259,10,       4314,   2.5,  67.6,  20.7,   6.4,  14.8,   7.2,   7.0,  15.9,   9.1,   8.2
2026071102010909,1,07110307,10,       4559,   2.3,  71.5,  21.9,   6.7,  15.7,   7.6,   7.3,  16.8,   9.6,   8.1
2026071102010909,1,07110316,10,       4584,   2.3,  71.9,  21.9,   6.7,  15.4,   7.6,   7.3,  16.8,   9.6,   8.2
2026071102010909,1,07110324,10,       4593,   2.3,  72.0,  22.0,   6.7,  15.4,   7.6,   7.3,  16.9,   9.6,   8.2
2026071102010909,1,07110332,10,       4632,   2.3,  72.6,  22.1,   6.6,  15.5,   7.5,   7.2,  17.0,   9.6,   8.2
2026071102010909,1,07110340,10,       4637,   2.3,  72.7,  22.2,   6.6,  15.5,   7.5,   7.2,  17.0,   9.6,   8.2
2026071102010909,1,07110349,10,       4724,   2.3,  74.1,  22.6,   6.3,  15.5,   7.2,   7.3,  17.1,   9.7,   8.3
2026071102010909,1,07110357,10,       4731,   2.3,  74.2,  22.6,   6.3,  15.5,   7.2,   7.3,  17.1,   9.7,   8.4
2026071102010909,1,07110405,10,       4769,   2.4,  74.8,  21.8,   6.4,  15.6,   6.9,   7.4,  17.1,   9.8,   8.4
