ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026062702010510,1,06261832,11,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010510,1,06261840,11,          2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026062702010510,1,06261849,11,         22,   0.0,  17.6,   4.4,   8.8,   0.0,   2.9,   8.8,  17.6,   8.8,   8.8,   8.8
2026062702010510,1,06261857,11,         34,  27.2,   6.8,   6.8,   9.0,   0.0,   4.5,   3.8,  27.2,   6.8,  13.6,  13.6
2026062702010510,1,06261905,11,         54,  43.2,   5.4,  10.8,  10.8,  43.2,   6.1,   6.1,   3.6,   8.6,  14.4,  21.6
2026062702010510,1,06261913,11,         78,  15.6,   6.2,  12.4,   8.9,  62.4,   6.9,   6.9,   5.2,   6.2,   6.9,  31.2
2026062702010510,1,06261922,11,        111,  12.6,   8.0,   8.8,   7.4,  44.4,   9.8,   9.8,   7.4,   8.8,   3.2,  44.4
2026062702010510,1,06261930,11,        125,  12.5,   7.1,   6.2,   8.3,  50.0,  11.1,  10.0,   7.6,   9.0,   3.5,  50.0
2026062702010510,1,06261938,11,        186,   9.3,   4.8,   8.7,  10.6,  37.2,  12.4,   9.9,   7.0,   5.9,   5.1,  74.4
2026062702010510,1,06261946,11,        208,   9.7,   5.2,   9.2,   9.7,  41.6,   6.1,  11.0,   7.5,   6.6,   5.7,  83.2
2026062702010510,1,06261955,11,        346,  10.6,   8.1,   3.5,   8.1,  34.6,   6.7,  11.0,  11.5,   8.6,   6.7,  92.2
2026062702010510,1,06262003,11,        362,   9.9,   8.2,   3.4,   8.2,  32.1,   6.8,  11.5,  12.0,   9.0,   6.5,  96.5
2026062702010510,1,06262011,11,        454,   8.2,  10.3,   4.1,   8.2,  30.2,   6.6,  13.9,   5.5,  11.3,   7.8,  51.8
2026062702010510,1,06262019,11,        489,   8.6,  10.5,   4.1,   7.6,  30.0,   6.4,  15.0,   5.6,  10.8,   7.9,  48.9
2026062702010510,1,06262028,11,        636,   9.7,  10.1,   5.3,   7.7,  31.8,   7.9,  16.9,   5.5,   4.8,   9.0,  46.2
2026062702010510,1,06262036,11,       1048,  14.4,  15.2,   8.4,   5.3,   9.2,  12.8,  27.0,   4.9,   4.6,  14.9,   9.7
2026062702010510,1,06262044,11,       1282,  16.5,  16.2,  10.3,   5.9,  10.6,  13.8,  31.0,   3.5,   4.4,  15.0,  11.3
2026062702010510,1,06262052,11,       1400,  15.3,  15.7,   8.5,   6.4,  11.5,  14.5,  30.2,   3.7,   3.9,  16.0,  12.3
2026062702010510,1,06262101,11,       1495,  10.2,  16.1,   8.4,   6.4,  11.9,  15.1,  29.1,   4.0,   4.1,  16.3,  11.8
2026062702010510,1,06262109,11,       1543,  10.2,  15.8,   8.1,   6.3,  12.3,  14.6,  30.1,   4.0,   4.2,  16.4,  11.9
2026062702010510,1,06262117,11,       1626,  10.6,  16.4,   6.8,   5.9,  12.7,  14.6,  29.5,   4.2,   4.3,  16.4,  12.5
2026062702010510,1,06262125,11,       1723,  11.0,  17.4,   6.5,   5.9,  13.3,  15.1,  24.6,   4.4,   4.5,  17.4,  10.2
2026062702010510,1,06262134,11,       1801,  10.5,  18.0,   6.4,   6.1,  13.7,  14.7,  23.6,   4.6,   4.2,  18.0,  10.7
2026062702010510,1,06262142,11,       1866,  10.2,  16.2,   6.2,   6.1,  14.0,  15.0,  23.6,   4.8,   4.3,  16.7,  10.9
2026062702010510,1,06262150,11,       1943,   9.4,  16.8,   5.6,   6.2,  14.6,  15.2,  21.0,   4.9,   4.5,  17.4,  11.4
2026062702010510,1,06262158,11,       2054,  10.0,  17.4,   5.9,   5.9,  15.3,  15.8,  21.6,   4.9,   4.1,  18.2,  12.0
2026062702010510,1,06262207,11,       2141,  10.0,  16.0,   6.1,   6.0,  15.8,  16.3,  20.3,   5.0,   4.0,  18.4,  11.8
2026062702010510,1,06262215,11,       2228,   7.6,  16.3,   6.2,   6.0,  16.5,  15.9,  21.2,   5.2,   4.2,  18.7,  12.2
