ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘
2026071202011006,1,07111935,16,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011006,1,07111943,16,        106,  21.2,   8.4,   4.0,  84.8,   9.4,   3.6,  21.2,  42.4,  28.2,  42.4,   0.0,  84.8,  14.1,   4.2,   0.0,   0.0
2026071202011006,1,07111951,16,        242,  17.6,  13.8,   6.9,  96.8,   4.2,   7.7,  48.4,  19.3,  64.5,  64.5,  64.5,  32.2,  13.8,   2.7,  96.8, 193.6
2026071202011006,1,07111959,16,        332,  15.6,  16.6,   6.3,  88.5,   4.0,   9.8,  44.2,  22.1,  44.2,  15.6,  66.4,  33.2,  17.7,   3.0,  88.5, 132.8
2026071202011006,1,07112008,16,        559,  13.9,   6.2,   9.1,  63.8,   3.7,  14.4,  26.3,   8.9,  49.6,  23.5, 111.8,  40.6,  27.9,   3.8, 149.0, 149.0
2026071202011006,1,07112016,16,        613,  11.1,   6.7,   8.9,  70.0,   3.7,  15.8,  28.8,   9.8,  44.5,  25.8,  98.0,  32.6,  28.8,   3.8,  98.0, 122.6
2026071202011006,1,07112024,16,        847,  14.1,   6.7,  11.2,  96.8,   2.9,  19.3,  32.2,   7.4,  61.6,  32.2,  67.7,  33.8,  33.8,   4.3, 112.9,  84.7
2026071202011006,1,07112032,16,       1021,  14.5,   7.0,   9.9, 116.6,   2.9,  22.6,  35.5,   6.6,  62.8,  34.0,  68.0,  40.8,  37.1,   4.1,  90.7,  81.6
2026071202011006,1,07112041,16,       1313,  13.2,   6.1,  12.3, 150.0,   3.2,  15.2,  28.3,   8.5,  75.0,  42.0,  65.6,  35.0,  45.6,   3.6, 105.0,  80.8
2026071202011006,1,07112049,16,       1394,  13.9,   5.7,  11.7, 159.3,   3.1,  16.1,  28.5,   8.9,  79.6,  39.8,  69.7,  30.1,  48.4,   3.7, 111.5,  85.7
2026071202011006,1,07112057,16,       1723,  16.4,   5.9,  13.6, 137.8,   3.7,  18.6,  33.6,   8.0,  81.0,  44.4,  72.5,  34.4,  34.4,   2.9, 114.8,  86.1
2026071202011006,1,07112105,16,       1949,  16.9,   6.6,  13.6, 119.9,   3.9,  20.7,  37.1,   8.9,  86.6,  48.7,  82.0,  27.8,  38.0,   2.5, 129.9,  97.4
2026071202011006,1,07112114,16,       2067,  16.3,   7.0,  13.8, 118.1,   3.7,  22.0,  34.4,   9.2,  91.8,  45.9,  68.9,  25.8,  38.4,   2.5, 127.2,  91.8
2026071202011006,1,07112122,16,       2157,  16.2,   7.4,  14.2, 115.0,   3.5,  22.4,  35.2,   9.5,  95.8,  43.1,  66.3,  26.5,  39.2,   2.6, 123.2,  90.8
2026071202011006,1,07112130,16,       2357,  14.1,   7.4,  15.2,  81.9,   3.6,  24.1,  32.5,  10.2, 104.7,  40.9,  69.8,  16.9,  41.9,   2.6, 117.8,  85.7
2026071202011006,1,07112138,16,       2515,  11.6,   6.6,  16.2,  71.8,   3.8,  25.4,  34.1,  10.7, 100.6,  34.1,  67.0,  17.3,  39.4,   2.7, 118.3,  91.4
2026071202011006,1,07112147,16,       2927,  13.4,   5.5,  18.7,  83.6,   4.2,  29.6,  39.0,   7.9, 117.0,  39.6,  78.0,  18.1,  45.0,   2.7, 137.7,  80.7
2026071202011006,1,07112155,16,       3010,  13.7,   5.6,  19.1,  83.0,   4.1,  30.1,  38.8,   8.0, 114.6,  40.1,  72.9,  17.5,  43.7,   2.7, 133.7,  83.0
