ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026070403020301,1,07031835,8,        246, 196.8,   0.0,   1.1,  98.4,   4.9,   0.0,   0.0, 196.8
2026070403020301,1,07031841,8,        253, 202.4,  67.4,   1.1, 101.2,   5.0,   0.0,   0.0,  67.4
2026070403020301,1,07031846,8,        264, 211.2,  52.8,   1.1,  70.4,   5.2, 105.6,   0.0,  52.8
2026070403020301,1,07031851,8,        272, 217.6,  43.5,   1.1,  72.5,   5.0, 108.8, 217.6,  36.2
2026070403020301,1,07031856,8,        287, 229.6,  28.7,   1.1,  76.5,   5.3, 114.8,  32.8,  32.8
2026070403020301,1,07031902,8,        322,  36.8,  28.6,   1.1,  36.8,   4.6,  42.9,  28.6,  25.7
2026070403020301,1,07031907,8,        332,  37.9,  26.5,   1.2,  29.5,   4.6,  33.2,  22.1,  26.5
2026070403020301,1,07031912,8,        371,  24.7,  26.9,   1.2,  22.8,   4.9,  21.2,  19.7,  24.7
2026070403020301,1,07031917,8,        392,  22.4,  28.5,   1.3,  22.4,   4.7,  22.4,  19.6,  19.6
2026070403020301,1,07031923,8,        466,  23.3,  31.0,   1.4,  14.9,   3.6,  26.6,  21.9,  16.2
2026070403020301,1,07031928,8,        586,  24.6,  39.0,   1.8,  12.6,   2.2,  33.4,  27.5,  19.5
2026070403020301,1,07031933,8,       1041,  32.0,  69.4,   1.4,   5.1,   4.0,  59.4,  48.9,  33.3
2026070403020301,1,07031938,8,       1060,  29.2,  70.6,   1.4,   4.9,   4.0,  60.5,  49.8,  32.6
2026070403020301,1,07031944,8,       1087,  28.9,  66.8,   1.4,   4.9,   4.1,  34.7,  51.1,  27.1
2026070403020301,1,07031949,8,       1164,  31.0,  71.6,   1.4,   4.9,   4.2,  37.2,  54.7,  27.3
2026070403020301,1,07031954,8,       1262,  28.0,  77.6,   1.5,   5.0,   3.8,  37.3,  59.3,  24.6
2026070403020301,1,07031959,8,       1322,  25.1,  55.6,   1.5,   5.0,   4.0,  39.1,  58.7,  18.2
2026070403020301,1,07032005,8,       1436,  23.4,  52.2,   1.5,   5.2,   4.2,  38.2,  49.9,  15.1
