ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘
2026071802011105,1,07171830,14,          5,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011105,1,07171838,14,          6,   0.0,   0.0,   0.0,   0.0,   1.1,   0.0,   0.0,   0.0,   4.8,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011105,1,07171846,14,         24,  19.2,   0.0,   9.6,  19.2,   3.8,  19.2,   0.0,  19.2,  19.2,  19.2,   2.1,   0.0,   0.0,   9.6
2026071802011105,1,07171855,14,         37,  29.6,   9.8,   9.8,  29.6,   5.9,   7.4,   0.0,  14.8,  14.8,  14.8,   3.2,  14.8,  29.6,  14.8
2026071802011105,1,07171903,14,         88,  35.2,  17.6,  14.0,  35.2,  11.7,  17.6,   0.0,  10.0,  14.0,  35.2,   5.0,   5.8,  23.4,   3.2
2026071802011105,1,07171911,14,        152,  60.8,  24.3,  24.3,  60.8,  17.3,  24.3, 121.6,  17.3,   8.1,   2.3,   8.6,  10.1,  40.5,   5.5
2026071802011105,1,07171919,14,        226,  36.1,  36.1,   3.7,  60.2,  16.4,  30.1,  90.4,  25.8,  11.3,   3.3,  12.0,   9.5,  36.1,   6.0
2026071802011105,1,07171928,14,        243,  27.7,  38.8,   3.7,  48.6,  17.6,  24.3,  97.2,  24.3,   9.7,   3.6,  12.9,  10.2,  27.7,   6.2
2026071802011105,1,07171936,14,        321,  28.5,  42.8,   4.0,  36.6,  12.2,  19.7,  64.2,  28.5,  11.6,   4.5,   9.5,  12.8,  28.5,   4.6
2026071802011105,1,07171944,14,        402,  22.9,  35.7,   4.3,  32.1,  11.4,  16.9,  64.3,  21.4,   5.8,   5.6,  11.9,  14.6,  35.7,   5.5
2026071802011105,1,07171952,14,        449,  16.3,  29.9,   4.4,  32.6,  12.3,  17.1,  71.8,  23.9,   6.3,   6.3,   7.6,  15.6,  39.9,   5.9
