ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026072604020212,1,07252132,15,          5,   0.0,   4.0,   0.0,   4.0,   0.0,   0.0,   0.0,   0.0,   0.0,   4.0,   4.0,   0.0,   0.0,   0.0,   4.0
2026072604020212,1,07252141,15,        162,  10.8,  10.8,  32.4,  43.2,  43.2,  21.6,   6.8,  43.2,  64.8,  43.2,  16.2,  14.4,   4.3,   3.0,  21.6
2026072604020212,1,07252149,15,        396,   6.7,   5.0,  79.2, 105.6, 105.6,  22.6,   6.3,  24.3,  63.3, 105.6,  13.2,  13.7,   5.5,   4.4,  21.1
2026072604020212,1,07252157,15,        575,   9.2,   6.9, 115.0, 115.0,  76.6,  17.0,   3.7,  30.6,  65.7, 153.3,   7.5,  17.0,   6.1,   5.3,  21.9
2026072604020212,1,07252205,15,       1318,  13.6,   1.7, 117.1, 263.6, 117.1,  30.1,   6.5,  52.7,  52.7, 263.6,  13.8,  27.7,   8.5,  10.1,  30.1
2026072604020212,1,07252214,15,       1417,  13.8,   1.8,  80.9, 161.9,  87.2,  29.0,   6.5,  36.5,  49.2, 226.7,  13.4,  26.9,   8.5,   9.0,  29.8
2026072604020212,1,07252222,15,       1566,  14.7,   1.9,  83.5, 178.9,  78.3,  30.5,   5.7,  29.1,  41.7, 178.9,  13.9,  25.5,   7.6,   9.5,  28.4
2026072604020212,1,07252230,15,       1683,  15.4,   2.1,  84.1, 168.3,  79.2,  29.9,   6.1,  30.6,  40.8, 168.3,   9.9,  26.9,   7.0,   9.9,  25.4
2026072604020212,1,07252238,15,       1863,  13.8,   2.2,  78.4,  70.9,  82.8,  31.0,   5.9,  31.0,  42.5, 149.0,  10.1,  22.9,   7.3,   8.1,  27.0
2026072604020212,1,07252247,15,       1960,  12.0,   2.3,  62.7,  71.2,  82.5,  30.7,   5.7,  32.0,  44.8, 142.5,  10.1,  23.4,   7.2,   8.4,  27.0
2026072604020212,1,07252255,15,       2045,  12.0,   2.4,  58.4,  65.4,  77.9,  30.2,   5.4,  32.0,  44.2, 125.8,  10.3,  24.4,   7.2,   8.6,  26.8
2026072604020212,1,07252303,15,       2132,  11.7,   2.4,  56.8,  65.6,  77.5,  30.4,   5.4,  32.8,  44.8, 121.8,  10.2,  20.3,   6.9,   8.9,  27.5
2026072604020212,1,07252311,15,       2232,  11.8,   2.5,  54.1,  63.7,  81.1,  26.6,   5.2,  33.6,  46.9, 119.0,  10.1,  21.2,   6.5,   9.3,  26.2
2026072604020212,1,07252320,15,       2287,  10.6,   2.6,  53.8,  63.0,  79.5,  26.5,   5.3,  33.2,  48.1, 107.6,  10.1,  20.5,   6.6,   9.4,  26.5
2026072604020212,1,07252328,15,       2472,  10.8,   2.7,  54.9,  45.9,  61.8,  26.0,   5.4,  33.5,  41.2,  98.8,   9.4,  19.0,   6.5,   9.5,  24.1
2026072604020212,1,07252336,15,       2514,  10.8,   2.8,  55.8,  45.7,  50.2,  26.1,   5.4,  34.0,  41.9,  95.7,   9.2,  17.6,   6.6,   9.7,  24.5
2026072604020212,1,07252344,15,       2682,  11.5,   2.8,  57.9,  47.6,  52.3,  26.8,   5.7,  31.5,  42.9,  97.5,   9.6,  18.6,   6.1,   8.6,  20.6
2026072604020212,1,07252353,15,       2783,  11.2,   2.9,  60.1,  49.4,  51.7,  27.8,   5.7,  32.7,  43.6, 101.2,   9.8,  18.4,   5.6,   8.9,  21.0
2026072604020212,1,07260005,15,       3072,  11.9,   2.8,  66.4,  54.6,  55.8,  30.3,   6.0,  35.6,  45.5, 111.7,   7.2,  19.8,   5.9,   9.6,  22.5
2026072604020212,1,07260013,15,       3101,  12.0,   2.8,  67.0,  53.9,  56.3,  29.8,   6.0,  35.4,  45.9, 112.7,   7.0,  19.2,   6.0,   9.7,  22.7
2026072604020212,1,07260021,15,       3207,  12.2,   2.9,  69.3,  45.8,  52.3,  30.1,   6.0,  32.0,  46.6, 116.6,   7.1,  19.7,   6.0,   8.7,  23.1
2026072604020212,1,07260030,15,       3288,  12.3,   2.9,  69.2,  46.1,  52.6,  30.5,   6.0,  32.4,  46.9, 114.3,   7.0,  20.2,   6.0,   8.7,  23.6
2026072604020212,1,07260038,15,       3403,  12.3,   2.9,  66.4,  46.9,  51.3,  31.2,   5.9,  33.6,  48.6, 104.7,   7.1,  20.3,   5.9,   8.8,  23.6
2026072604020212,1,07260046,15,       3440,  12.4,   2.9,  64.0,  47.4,  51.9,  31.2,   5.9,  33.5,  47.4,  98.2,   7.1,  20.5,   5.9,   8.9,  21.6
2026072604020212,1,07260054,15,       3613,  12.3,   3.0,  62.8,  49.8,  50.7,  31.7,   6.1,  35.2,  49.8,  99.6,   7.4,  21.0,   5.9,   7.0,  22.4
2026072604020212,1,07260103,15,       3638,  11.9,   3.0,  63.2,  50.1,  51.0,  31.9,   6.1,  35.4,  50.1, 100.3,   7.5,  21.0,   6.0,   7.0,  22.0
2026072604020212,1,07260111,15,       3728,  12.0,   3.1,  53.2,  51.4,  50.5,  32.0,   6.1,  35.5,  51.4, 102.8,   7.6,  21.4,   6.0,   6.4,  22.2
2026072604020212,1,07260119,15,       3820,  12.2,   3.2,  39.6,  52.6,  51.7,  32.8,   6.3,  36.3,  52.6, 105.3,   7.8,  17.8,   6.0,   6.4,  22.6
2026072604020212,1,07260127,15,       3889,  12.1,   3.2,  39.8,  53.6,  51.8,  33.0,   6.3,  37.0,  53.6, 100.3,   7.4,  18.1,   6.0,   6.5,  21.3
2026072604020212,1,07260136,15,       3912,  12.1,   3.2,  40.1,  53.0,  50.4,  33.2,   6.3,  37.2,  53.9, 100.9,   7.5,  18.3,   6.0,   6.4,  21.2
2026072604020212,1,07260144,15,       3940,  12.0,   3.2,  39.8,  53.4,  49.2,  33.5,   6.3,  37.5,  54.3, 101.6,   7.5,  18.3,   6.0,   6.5,  20.4
