ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘
2026062702010505,1,06261834,8,          2,   1.6,   0.0,   1.6,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010505,1,06261843,8,         18,   7.2,   7.2,   7.2,  14.4,   3.6,   2.8,  14.4,  14.4
2026062702010505,1,06261851,8,         44,   2.2,   5.8,  17.6,  17.6,   7.0,   3.9,  11.7,  35.2
2026062702010505,1,06261859,8,         62,   2.9,   4.9,  24.8,  16.5,   3.3,   5.5,  12.4,  24.8
2026062702010505,1,06261907,8,        158,   1.8,   5.0,  42.1,  31.6,   6.0,   6.6,   9.0,  31.6
2026062702010505,1,06261916,8,        174,   1.9,   3.8,  46.4,  27.8,   6.6,   6.9,   9.9,  27.8
2026062702010505,1,06261924,8,        300,   3.0,   5.7,  80.0,  34.2,   1.8,  11.4,  15.0,  48.0
2026062702010505,1,06261932,8,        354,   3.4,   5.9,  20.2,  35.4,   1.9,  13.4,  15.7,  16.6
2026062702010505,1,06261940,8,        525,   2.1,   6.0,  24.7,  30.0,   2.8,  12.3,  15.0,  18.2
2026062702010505,1,06261949,8,        590,   2.1,   5.9,  26.2,  31.4,   2.9,  13.4,  15.2,  18.8
2026062702010505,1,06261957,8,        693,   2.3,   6.3,  27.7,  36.9,   3.0,  12.3,   6.6,  21.3
2026062702010505,1,06262005,8,        710,   2.4,   6.1,  25.8,  29.8,   3.0,  12.0,   6.7,  20.2
2026062702010505,1,06262013,8,        787,   2.4,   6.3,  19.6,  27.3,   3.3,  11.2,   6.6,  17.9
2026062702010505,1,06262022,8,       1053,   1.7,   7.3,  26.3,  36.6,   4.3,  14.2,   8.5,  22.1
2026062702010505,1,06262030,8,       1338,   1.6,   8.7,  32.4,  39.6,   5.0,  16.9,   6.1,  27.4
2026062702010505,1,06262038,8,       1777,   1.3,  11.3,  41.8,  50.7,   6.3,  21.5,   8.0,  33.8
2026062702010505,1,06262046,8,       1850,   1.3,  10.9,  43.5,  51.0,   5.8,  21.4,   7.4,  35.2
2026062702010505,1,06262055,8,       2003,   1.4,  11.3,  45.7,  51.6,   5.6,  22.5,   5.2,  37.2
2026062702010505,1,06262103,8,       2212,   1.4,  11.5,  46.5,  49.1,   5.4,  21.5,   5.6,  34.0
2026062702010505,1,06262111,8,       2362,   1.5,  12.1,  47.2,  46.0,   4.3,  20.1,   5.9,  32.5
2026062702010505,1,06262119,8,       2507,   1.5,  12.0,  45.5,  45.5,   4.1,  18.7,   6.1,  25.7
2026062702010505,1,06262128,8,       2598,   1.6,  12.1,  44.2,  47.2,   4.0,  19.0,   5.8,  25.6
2026062702010505,1,06262136,8,       2844,   1.6,  11.4,  36.1,  43.7,   3.9,  19.1,   5.9,  22.5
2026062702010505,1,06262144,8,       2963,   1.6,  11.8,  36.4,  43.8,   4.0,  18.6,   6.0,  21.1
2026062702010505,1,06262152,8,       3093,   1.7,  10.5,  34.3,  39.9,   4.0,  17.5,   5.9,  20.9
2026062702010505,1,06262201,8,       3139,   1.7,  10.5,  30.6,  40.5,   4.0,  17.8,   5.9,  20.9
2026062702010505,1,06262209,8,       3291,   1.6,  10.4,  30.2,  41.7,   4.2,  17.7,   6.1,  18.4
