ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘
2026070402010707,1,07031843,10,          3,   0.0,   0.0,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0,   1.2,   0.0
2026070402010707,1,07031852,10,        322,   0.0, 257.6,   1.0, 257.6, 128.8,   0.0,  36.8,   0.0, 128.8, 128.8
2026070402010707,1,07031900,10,        340,  24.7, 272.0,   1.1, 272.0, 136.0, 272.0,  30.2, 272.0,  54.4, 136.0
2026070402010707,1,07031908,10,        364,  26.4, 291.2,   1.1, 145.6,  97.0, 291.2,  15.3, 291.2,  41.6,  26.4
2026070402010707,1,07031916,10,        381,  25.4, 152.4,   1.1, 152.4, 101.6,  50.8,  13.8, 304.8,  27.7,  25.4
2026070402010707,1,07031925,10,        397,  26.4, 158.8,   1.1,  79.4,  79.4,  52.9,  12.2, 317.6,  26.4,  22.6
2026070402010707,1,07031933,10,        427,  28.4, 170.8,   1.1,  85.4,  85.4,  56.9,  10.6, 341.6,  14.8,  13.6
2026070402010707,1,07031941,10,        457,  22.8, 182.8,   1.1,  91.4,  36.5,  52.2,  10.1, 365.6,  14.0,  13.5
2026070402010707,1,07031949,10,        495,  22.0,  49.5,   1.1,  79.2,  36.0,  26.4,  10.4, 198.0,  15.2,  11.6
2026070402010707,1,07031958,10,        620,  18.3,  45.0,   1.1,  62.0,  41.3,  33.0,  10.1, 165.3,  13.0,  12.0
2026070402010707,1,07032006,10,        640,  18.2,  46.5,   1.1,  64.0,  36.5,  32.0,  10.2, 128.0,  13.4,  11.9
2026070402010707,1,07032014,10,        778,  22.2,  51.8,   1.3,  69.1,  22.2,  23.9,   5.5,  24.8,  16.3,  12.4
2026070402010707,1,07032022,10,        822,  22.6,  54.8,   1.4,  43.8,  16.8,  25.2,   5.7,  26.3,  16.8,  11.1
