ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026072604020208,1,07252131,15,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026072604020208,1,07252139,15,        179,  35.8,  28.6,  71.6,  10.2,   2.7,  14.3,  11.9, 143.2,  17.9,  13.0,   8.9,  47.7,  35.8,   4.0,  71.6
2026072604020208,1,07252147,15,        584,   5.9,  33.3,  46.7,   6.0,   6.6,  13.3,   5.2,  93.4,  18.6,  25.9,   8.0,  51.9,  16.6,   7.1, 155.7
2026072604020208,1,07252156,15,        956,   9.1,  38.2,  63.7,   9.6,   9.6,  19.1,   4.2,  13.1,   5.5,  22.4,   8.8,  42.4,  17.7,  10.4,  54.6
2026072604020208,1,07252204,15,       1413,  10.3,  25.6,  75.3,  13.2,  13.7,  17.1,   3.4,  16.3,   6.4,  22.1,   8.6,  25.6,  19.1,   8.0,  59.4
2026072604020208,1,07252212,15,       1684,  11.5,  21.3,  51.8,  15.4,  15.4,  15.1,   3.8,  18.9,   7.2,   7.1,   9.1,  29.9,  21.3,   9.6,  56.1
2026072604020208,1,07252220,15,       2023,  12.6,  19.0,  50.5,  17.9,  11.1,   9.5,   4.1,  22.1,   7.7,   8.2,   8.7,  32.3,  16.8,  11.0,  57.8
2026072604020208,1,07252229,15,       2179,  12.6,  17.9,  37.0,  18.7,  11.1,   9.6,   4.1,  22.9,   8.1,   8.5,   9.2,  32.8,  16.1,  11.0,  41.5
2026072604020208,1,07252237,15,       2496,  12.0,  17.2,  33.2,  20.8,  12.1,   8.2,   4.3,  24.6,   8.4,   9.6,   8.2,  29.3,  14.2,  12.3,  36.9
2026072604020208,1,07252245,15,       2670,  12.2,  17.6,  24.5,  16.8,  12.0,   7.9,   4.5,  25.7,   9.0,  10.2,   8.4,  23.7,  14.0,  12.8,  38.8
2026072604020208,1,07252253,15,       2800,  11.1,  17.9,  24.6,  17.0,  11.8,   8.1,   4.6,  25.4,   8.9,  10.7,   8.2,  23.3,  14.5,  13.2,  31.5
2026072604020208,1,07252302,15,       2979,   9.9,  17.5,  25.6,  18.1,  11.6,   7.4,   4.7,  26.4,   9.2,  11.2,   7.9,  24.8,  14.8,  14.0,  32.6
2026072604020208,1,07252310,15,       3225,  10.3,  12.1,  27.1,  17.7,  12.0,   7.8,   4.8,  28.0,   9.5,  12.1,   8.3,  25.8,  14.7,  14.5,  23.2
2026072604020208,1,07252318,15,       3391,  10.3,  12.4,  26.8,  17.9,  12.2,   7.9,   4.9,  27.9,   9.3,  12.3,   8.3,  25.3,  13.9,  13.9,  23.7
2026072604020208,1,07252326,15,       3831,  10.0,  13.8,  24.7,  19.5,  13.2,   8.8,   5.1,  29.1,   9.4,  13.6,   7.2,  26.1,  10.0,  12.8,  26.1
2026072604020208,1,07252335,15,       3997,  10.4,  13.2,  22.3,  20.3,  12.9,   8.4,   5.2,  29.8,   9.0,  14.2,   7.5,  27.3,   9.5,  13.3,  27.0
