ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘
2026072601010212,1,07252133,9,          3,   0.0,   1.2,   0.0,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0
2026072601010212,1,07252141,9,        223,   1.5,  35.6,  59.4,   4.1,  29.7,  59.4,   5.2,  16.2,  44.6
2026072601010212,1,07252149,9,        365,   1.7,  24.3,  73.0,   5.9,  11.6,  24.3,   7.4,   6.6,  20.8
2026072601010212,1,07252158,9,        463,   2.0,  20.5,  52.9,   5.2,   8.0,  14.8,   7.8,   6.8,  20.5
2026072601010212,1,07252206,9,        570,   1.8,  22.8,  38.0,   6.1,   9.7,  17.5,   8.1,   7.0,  17.5
2026072601010212,1,07252214,9,        657,   1.9,  18.7,  40.4,   6.9,  10.1,  18.1,   6.1,   7.5,  16.9
2026072601010212,1,07252222,9,        745,   2.0,  20.5,  42.5,   7.6,   8.8,  19.2,   6.0,   6.2,  13.5
2026072601010212,1,07252231,9,        787,   2.1,  17.0,  44.9,   7.9,   9.3,  17.4,   6.4,   5.9,  11.6
2026072601010212,1,07252239,9,        938,   2.3,  18.3,  46.9,   8.3,  10.8,  15.6,   7.2,   4.8,   7.6
2026072601010212,1,07252247,9,       1002,   2.4,  19.5,  50.1,   8.8,  11.6,  13.5,   6.9,   4.7,   7.3
2026072601010212,1,07252255,9,       1116,   2.4,  21.2,  44.6,   9.3,  11.4,  14.4,   7.4,   4.6,   6.5
2026072601010212,1,07252304,9,       1162,   2.4,  17.2,  44.2,   9.7,  10.4,  14.7,   7.6,   4.6,   6.7
2026072601010212,1,07252312,9,       1231,   2.5,  15.1,  42.8,  10.1,  10.7,  15.1,   7.0,   4.6,   6.6
2026072601010212,1,07252320,9,       1285,   2.6,  15.5,  44.6,  10.4,  11.0,  15.1,   7.1,   4.2,   6.5
2026072601010212,1,07252328,9,       1489,   2.7,  17.5,  42.5,   5.9,  12.5,  17.5,   7.8,   4.3,   6.7
2026072601010212,1,07252337,9,       1651,   2.8,  19.1,  42.6,   6.5,   8.8,  19.1,   7.5,   4.5,   6.6
2026072601010212,1,07252345,9,       1760,   2.7,  17.3,  45.4,   6.7,   9.2,  16.1,   7.9,   4.5,   6.8
2026072601010212,1,07252353,9,       1792,   2.8,  17.4,  43.4,   6.8,   9.3,  16.4,   7.9,   4.3,   6.7
2026072601010212,1,07260005,9,       1860,   2.8,  17.5,  43.7,   7.0,   9.4,  16.7,   7.1,   4.3,   6.7
2026072601010212,1,07260014,9,       1944,   2.7,  17.4,  45.7,   7.3,   9.5,  17.4,   7.0,   4.4,   6.7
2026072601010212,1,07260022,9,       2036,   2.9,  18.0,  45.2,   7.6,   9.4,  18.0,   7.0,   3.9,   7.0
2026072601010212,1,07260030,9,       2081,   2.9,  18.0,  46.2,   7.7,   9.4,  18.2,   7.1,   3.9,   6.9
2026072601010212,1,07260038,9,       2147,   2.9,  18.6,  45.2,   6.5,   9.5,  18.8,   7.2,   4.0,   7.1
2026072601010212,1,07260047,9,       2190,   2.9,  18.4,  46.1,   6.5,   9.6,  19.2,   7.2,   4.0,   6.9
2026072601010212,1,07260055,9,       2333,   3.0,  19.4,  49.1,   5.0,  10.1,  20.5,   7.6,   4.3,   7.2
2026072601010212,1,07260103,9,       2368,   3.0,  17.5,  49.8,   5.1,  10.2,  20.5,   7.7,   4.2,   7.3
2026072601010212,1,07260111,9,       2414,   2.9,  17.5,  50.8,   5.2,  10.3,  20.9,   7.8,   4.2,   7.2
2026072601010212,1,07260120,9,       2500,   2.8,  18.0,  51.2,   5.3,  10.6,  20.4,   7.8,   4.3,   7.3
2026072601010212,1,07260128,9,       2554,   2.9,  16.7,  51.0,   5.3,  10.7,  20.6,   7.6,   4.2,   7.4
2026072601010212,1,07260136,9,       2616,   2.8,  16.8,  51.0,   5.4,  11.0,  20.5,   7.3,   4.3,   7.5
2026072601010212,1,07260144,9,       2654,   2.8,  16.5,  51.7,   5.4,  10.8,  20.4,   7.4,   4.3,   7.4
2026072601010212,1,07260153,9,       2689,   2.8,  14.5,  52.4,   5.5,  10.7,  20.6,   7.4,   4.3,   7.5
2026072601010212,1,07260201,9,       2696,   2.8,  14.4,  52.6,   5.5,  10.7,  20.5,   7.4,   4.3,   7.5
2026072601010212,1,07260209,9,       2751,   2.9,  14.7,  47.8,   5.6,  10.8,  20.7,   7.6,   4.1,   7.5
2026072601010212,1,07260217,9,       2776,   2.9,  14.9,  48.2,   5.7,  10.9,  20.9,   7.6,   4.1,   7.5
2026072601010212,1,07260226,9,       2790,   2.9,  14.8,  47.4,   5.7,  10.9,  21.0,   7.7,   4.1,   7.4
2026072601010212,1,07260234,9,       2817,   2.9,  14.0,  45.9,   5.8,  11.0,  20.3,   7.6,   4.1,   7.5
2026072601010212,1,07260242,9,       2843,   2.9,  14.1,  45.4,   5.8,  10.9,  19.9,   7.6,   4.1,   7.5
2026072601010212,1,07260250,9,       2904,   2.9,  13.9,  46.4,   5.9,  11.2,  19.6,   7.4,   3.9,   7.7
2026072601010212,1,07260259,9,       2962,   3.0,  11.4,  47.3,   6.1,  11.3,  19.9,   7.2,   4.0,   7.8
2026072601010212,1,07260307,9,       2997,   2.9,  11.1,  47.9,   6.1,  11.2,  19.6,   7.3,   4.1,   7.9
2026072601010212,1,07260315,9,       3040,   2.9,  11.3,  48.6,   6.2,  11.4,  19.7,   7.4,   4.1,   8.0
2026072601010212,1,07260323,9,       3046,   2.9,  11.2,  48.7,   6.2,  11.4,  19.8,   7.4,   4.1,   7.9
2026072601010212,1,07260332,9,       3085,   2.9,  11.3,  46.5,   6.3,  11.5,  20.0,   7.5,   4.0,   8.0
2026072601010212,1,07260340,9,       3109,   2.9,  11.3,  46.9,   6.1,  11.5,  20.2,   7.4,   4.0,   8.1
2026072601010212,1,07260348,9,       3145,   2.9,  11.4,  47.4,   6.2,  11.5,  20.4,   7.5,   3.9,   8.0
2026072601010212,1,07260356,9,       3152,   2.9,  11.5,  46.6,   6.2,  11.5,  20.3,   7.5,   3.9,   8.0
2026072601010212,1,07260405,9,       3193,   3.0,  11.5,  46.4,   6.3,  11.6,  20.1,   7.1,   3.9,   8.1
2026072601010212,1,07260413,9,       3214,   3.0,  11.4,  45.9,   6.3,  11.7,  20.2,   7.0,   3.9,   8.1
2026072601010212,1,07260421,9,       3250,   3.0,  11.6,  46.4,   6.0,  11.6,  20.4,   7.1,   3.9,   8.1
