ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071802011112,1,07171833,12,          1,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011112,1,07171841,12,         14,   0.0,   0.0,   0.0,  11.2,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0,   5.6,   0.0
2026071802011112,1,07171849,12,         40,   2.6,  16.0,   0.0,  10.6,   2.6,   6.4,  32.0,  32.0,   0.0,   0.0,  10.6,  32.0
2026071802011112,1,07171858,12,         71,   4.7,  28.4,  28.4,  14.2,   3.3,  11.3,   5.1,  56.8,  28.4,   5.1,  18.9,  56.8
2026071802011112,1,07171906,12,        292,   1.1,  46.7,  46.7,  58.4,  10.1,  15.5,  21.2, 233.6, 116.8,  21.2,  77.8, 233.6
2026071802011112,1,07171914,12,        307,   1.1,  49.1,  40.9,  61.4,   9.8,  16.3,  11.6, 245.6, 122.8,  22.3,  61.4, 122.8
2026071802011112,1,07171922,12,        317,   1.1,  50.7,  42.2,  36.2,  10.1,  15.8,  12.0, 253.6, 126.8,  23.0,  50.7,  63.4
2026071802011112,1,07171931,12,        348,   1.1,  55.6,  46.4,  23.2,  11.1,  15.4,  12.1, 278.4,  92.8,  23.2,  55.6,  55.6
2026071802011112,1,07171939,12,        396,   1.2,  52.8,  35.2,  21.1,   9.0,  14.4,  12.6, 158.4,  52.8,  17.6,  39.6,  63.3
2026071802011112,1,07171947,12,        438,   1.3,  38.9,  38.9,  21.9,   9.7,   7.7,  11.6, 175.2,  43.8,  19.4,  43.8,  58.4
2026071802011112,1,07171955,12,        469,   1.4,  34.1,  41.6,  22.0,   9.3,   6.5,  12.5,  93.8,  46.9,  17.8,  46.9,  41.6
2026071802011112,1,07172004,12,        547,   1.4,  36.4,  31.2,  23.0,  10.1,   7.0,   9.5,  87.5,  54.7,  20.8,  48.6,  43.7
2026071802011112,1,07172012,12,        635,   1.6,  42.3,  36.2,  25.4,  10.5,   7.5,   5.2,  56.4,  63.5,  18.8,  22.0,  46.1
2026071802011112,1,07172020,12,        774,   2.0,  51.6,  41.2,  26.9,  11.2,   3.4,   6.2,  68.8,  77.4,  22.9,  19.3,  56.2
2026071802011112,1,07172028,12,        845,   2.1,  42.2,  33.8,  25.0,  11.6,   3.6,   6.4,  33.8,  67.6,  24.1,  18.2,  42.2
2026071802011112,1,07172037,12,        905,   2.2,  32.9,  31.4,  26.8,  10.6,   3.4,   6.7,  34.4,  72.4,  21.2,  17.2,  40.2
