ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026071202011001,1,07111930,12,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071202011001,1,07111935,12,         44,  35.2,  35.2,   0.0,  17.6,   0.0,   3.2,  11.7,  35.2,   0.0,  35.2,   1.5,  35.2
2026071202011001,1,07111940,12,        137,  54.8,  12.1,   0.0,  15.6,  27.4,   1.8,  15.6,  54.8,  10.9,  13.7,   4.7,  15.6
2026071202011001,1,07111946,12,        275,  18.3,  22.0,  22.0,   5.0,  44.0,   2.1,  27.5, 110.0,  11.0,  22.0,   6.6,  11.0
2026071202011001,1,07111951,12,        408,  23.3,  27.2,  25.1,   6.5,  65.2,   1.6,  36.2,  40.8,  15.5,  32.6,   8.8,  13.0
2026071202011001,1,07111956,12,        541,  17.3,  30.9,  30.9,   5.4,  54.1,   1.7,  27.0,  54.1,  18.8,  19.6,   9.2,  10.3
2026071202011001,1,07112001,12,        636,  18.8,  33.9,  29.9,   5.8,  63.6,   1.6,  25.4,  56.5,  19.5,  20.3,   9.4,  11.8
2026071202011001,1,07112007,12,        728,  20.0,  34.2,  29.1,   5.5,  48.5,   1.7,  20.0,  58.2,  20.8,  18.2,   8.3,  11.8
2026071202011001,1,07112012,12,        878,  23.4,  39.0,  35.1,   5.8,  54.0,   1.7,  18.9,  70.2,  14.0,  18.9,   9.8,  10.6
2026071202011001,1,07112017,12,       1882,  47.0,  75.2,  68.4,  11.3, 107.5,   1.1,  29.5, 150.5,  28.4,  32.0,  20.9,  21.8
2026071202011001,1,07112022,12,       2009,  48.7,  73.0,  73.0,   8.9,  84.5,   1.1,  30.9, 133.9,  30.3,  21.7,  22.0,  21.1
2026071202011001,1,07112028,12,       2158,  49.3,  71.9,  78.4,   8.3,  78.4,   1.2,  15.6, 123.3,  31.3,  21.5,  23.0,  18.7
2026071202011001,1,07112033,12,       2784,  57.1,  92.8,  89.0,  10.1,  89.0,   1.4,  17.5, 148.4,  38.4,  27.4,  28.9,   3.7
2026071202011001,1,07112038,12,       2893,  56.4,  96.4,  89.0,   9.5,  85.7,   1.4,  16.8, 128.5,  39.9,  28.2,  30.0,   3.8
2026071202011001,1,07112043,12,       3041,  59.3, 101.3,  93.5,   9.0,  78.4,   1.4,  16.7, 101.3,  41.9,  27.9,  27.9,   3.9
2026071202011001,1,07112049,12,       3261,  44.9,  62.1, 100.3,   9.1,  70.5,   1.5,  16.7, 108.7,  36.7,  13.8,  26.6,   4.2
2026071202011001,1,07112054,12,       3535,  47.9,  64.2, 104.7,   6.6,  64.2,   1.6,  16.7, 113.1,  39.2,  14.6,  28.0,   4.3
2026071202011001,1,07112059,12,       3772,  39.1,  64.2, 100.5,   6.5,  65.6,   1.6,  15.0, 120.7,  41.3,  14.7,  29.5,   4.5
2026071202011001,1,07112104,12,       4034,  37.9,  67.2, 100.8,   6.6,  44.2,   1.6,  15.5, 111.2,  44.2,  15.7,  31.6,   4.2
2026071202011001,1,07112110,12,       4249,  32.0,  66.6,  99.9,   6.4,  41.9,   1.6,  15.8, 103.0,  43.5,  16.2,  33.0,   4.2
2026071202011001,1,07112115,12,       4410,  32.9,  69.1, 100.8,   5.8,  42.0,   1.7,  14.7, 103.7,  45.2,  16.8,  33.9,   4.3
2026071202011001,1,07112120,12,       4557,  33.4,  68.7,  86.8,   5.9,  42.8,   1.7,  13.7,  93.4,  43.9,  16.4,  33.4,   4.4
2026071202011001,1,07112125,12,       4774,  34.4,  69.4,  86.8,   5.8,  44.4,   1.7,  11.8,  95.4,  46.0,  17.1,  34.7,   4.6
2026071202011001,1,07112131,12,       5202,  33.5,  71.7,  94.5,   5.2,  43.8,   1.7,  10.7, 104.0,  50.1,  18.5,  37.1,   4.9
2026071202011001,1,07112136,12,       5407,  32.0,  63.6,  96.1,   5.1,  39.6,   1.7,  10.4, 105.5,  52.1,  18.8,  34.0,   5.0
