ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘
2026062710020108,1,06261835,9,          1,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062710020108,1,06261843,9,          2,   0.0,   0.0,   1.6,   0.0,   0.0,   0.0,   1.6,   0.0,   0.0
2026062710020108,1,06261851,9,         14,   0.0,   5.6,   2.8,   2.8,   0.0,   0.0,  11.2,   0.0,   3.7
2026062710020108,1,06261900,9,         26,   0.0,  10.4,   4.1,   2.9,   0.0,  20.8,  20.8,   0.0,   2.0
2026062710020108,1,06261908,9,         38,   0.0,  10.1,   4.3,   3.3,  30.4,  15.2,  30.4,   7.6,   2.7
2026062710020108,1,06261916,9,         67,   0.0,  10.7,   5.9,   2.6,  10.7,  13.4,  53.6,  13.4,   2.8
2026062710020108,1,06261924,9,        105,  42.0,   4.0,   7.6,   4.2,  12.0,  16.8,  42.0,  21.0,   2.5
2026062710020108,1,06261933,9,        119,  47.6,   4.1,   5.6,   4.7,  13.6,  15.8,  31.7,  19.0,   2.6
2026062710020108,1,06261941,9,        174,  34.8,   5.8,   3.5,   4.8,   6.9,  23.2,  34.8,  19.8,   3.3
2026062710020108,1,06261949,9,        237,  11.8,   7.5,   4.3,   4.0,   9.0,   8.6,  37.9,  15.8,   4.2
2026062710020108,1,06261957,9,        765,  29.1,   1.1,  12.7,  11.3,  27.8,  26.6,  76.5,  38.2,  12.7
2026062710020108,1,06262006,9,        833,  26.6,   1.1,  12.5,  12.3,  26.6,  28.9,  83.3,  39.2,  12.5
2026062710020108,1,06262014,9,       1007,  30.9,   1.3,  10.6,  14.3,  10.7,  32.2, 100.7,  29.8,   7.5
2026062710020108,1,06262022,9,       1041,  32.0,   1.3,   9.1,  14.6,  10.9,  32.0,  83.2,  21.9,   7.5
2026062710020108,1,06262031,9,       1135,  32.4,   1.4,   9.6,   7.9,  11.2,  29.2,  50.4,  21.1,   7.9
2026062710020108,1,06262039,9,       1305,  37.2,   1.7,  10.5,   8.9,  12.5,   5.7,  58.0,  21.3,   9.0
2026062710020108,1,06262047,9,       1356,  38.7,   1.7,  10.2,   9.1,  12.6,   5.9,  57.0,  22.1,   7.2
2026062710020108,1,06262055,9,       1429,  39.4,   1.8,   9.3,   8.8,  11.6,   5.8,  51.9,  21.9,   7.5
2026062710020108,1,06262104,9,       1485,  34.9,   1.8,   8.5,   9.2,  11.4,   6.0,  49.5,  21.6,   6.8
2026062710020108,1,06262112,9,       1756,  37.9,   1.5,   9.9,  10.4,  13.3,   7.1,  54.0,  25.5,   7.8
2026062710020108,1,06262120,9,       1807,  32.8,   1.6,   9.9,  10.4,  13.5,   7.0,  55.6,  22.9,   7.9
2026062710020108,1,06262128,9,       1882,  33.4,   1.6,   9.5,  10.8,  12.4,   7.3,  53.7,  21.8,   6.8
2026062710020108,1,06262137,9,       2055,  29.3,   1.8,   9.2,  11.4,  12.3,   7.9,  56.6,   9.0,   7.1
2026062710020108,1,06262145,9,       2100,  30.0,   1.8,   9.1,  11.5,  12.4,   7.8,  57.9,   8.4,   6.9
2026062710020108,1,06262153,9,       2222,  26.9,   1.9,   7.3,  12.1,  11.6,   8.2,  59.2,   8.5,   6.7
2026062710020108,1,06262201,9,       2324,  24.4,   2.0,   6.8,  12.5,  12.0,   8.2,  61.9,   7.3,   6.9
2026062710020108,1,06262210,9,       2387,  23.8,   2.1,   6.3,  12.9,  12.0,   8.4,  61.6,   7.0,   7.0
2026062710020108,1,06262218,9,       2424,  23.6,   2.1,   6.3,  12.0,  12.1,   8.5,  53.8,   7.1,   7.0
2026062710020108,1,06262226,9,       2472,  23.5,   2.1,   6.3,  12.2,  11.8,   8.2,  54.9,   6.7,   7.1
2026062710020108,1,06262234,9,       2581,  23.4,   2.1,   6.5,  12.2,  11.9,   8.5,  55.8,   6.5,   7.1
2026062710020108,1,06262243,9,       2800,  22.6,   2.1,   5.6,  13.0,  12.7,   9.1,  60.5,   6.8,   7.6
2026062710020108,1,06262251,9,       2902,  23.2,   2.1,   5.6,  13.3,  12.9,   9.4,  26.6,   6.6,   7.8
2026062710020108,1,06262259,9,       2939,  22.6,   2.2,   5.5,  13.5,  13.0,   9.5,  24.7,   6.6,   7.8
2026062710020108,1,06262307,9,       2973,  20.6,   2.2,   5.5,  13.6,  13.2,   9.6,  25.0,   6.4,   7.8
2026062710020108,1,06262316,9,       3069,  20.8,   2.3,   5.3,  13.9,  13.4,   9.9,  25.8,   5.8,   7.8
2026062710020108,1,06262324,9,       3088,  20.4,   2.3,   5.3,  13.8,  13.4,   9.8,  25.7,   5.9,   7.8
2026062710020108,1,06262332,9,       3179,  20.6,   2.3,   5.2,  12.6,  13.8,  10.0,  26.4,   5.9,   7.2
2026062710020108,1,06262340,9,       3236,  20.0,   2.4,   5.3,  12.8,  13.9,  10.1,  26.9,   5.7,   7.0
2026062710020108,1,06262349,9,       3294,  19.8,   2.4,   5.3,  12.9,  13.9,  10.2,  27.1,   5.7,   7.1
2026062710020108,1,06262357,9,       3328,  19.8,   2.4,   5.0,  13.1,  14.0,  10.3,  27.4,   5.7,   7.1
2026062710020108,1,06270005,9,       3406,  19.7,   2.4,   5.0,  13.2,  13.5,  10.5,  28.0,   5.8,   7.0
2026062710020108,1,06270013,9,       3433,  17.7,   2.4,   5.1,  13.2,  13.6,  10.6,  28.3,   5.8,   7.0
2026062710020108,1,06270022,9,       3523,  15.6,   2.4,   5.0,  13.1,  13.6,  10.8,  28.7,   5.9,   6.9
2026062710020108,1,06270030,9,       3550,  15.4,   2.5,   5.0,  13.0,  13.5,  10.8,  28.9,   5.9,   6.9
2026062710020108,1,06270038,9,       3568,  15.2,   2.5,   5.1,  13.0,  13.5,  10.8,  29.1,   5.9,   6.8
2026062710020108,1,06270046,9,       3579,  15.2,   2.5,   5.0,  13.0,  13.5,  10.8,  28.9,   5.9,   6.8
2026062710020108,1,06270055,9,       3733,  11.9,   2.6,   5.3,  13.3,  13.3,  11.1,  20.0,   6.1,   6.9
2026062710020108,1,06270103,9,       3768,  11.9,   2.6,   5.2,  13.5,  13.5,  11.2,  20.0,   6.0,   6.9
2026062710020108,1,06270111,9,       3858,  12.2,   2.6,   5.2,  13.4,  13.2,  11.5,  20.4,   6.0,   6.2
2026062710020108,1,06270119,9,       3896,  12.3,   2.7,   5.2,  13.5,  13.3,  11.6,  20.5,   5.8,   6.2
2026062710020108,1,06270128,9,       3965,  11.6,   2.7,   5.2,  13.7,  13.4,  11.1,  20.8,   5.8,   6.2
2026062710020108,1,06270136,9,       3994,  11.7,   2.7,   5.3,  13.8,  13.5,  11.0,  21.0,   5.7,   6.2
2026062710020108,1,06270144,9,       4014,  11.6,   2.7,   5.3,  13.8,  13.5,  11.1,  21.1,   5.6,   6.2
2026062710020108,1,06270152,9,       4064,  11.3,   2.8,   5.3,  14.0,  13.7,  11.2,  21.2,   5.3,   6.3
2026062710020108,1,06270201,9,       4082,  11.4,   2.8,   5.3,  14.0,  13.7,  11.2,  21.3,   5.3,   6.3
2026062710020108,1,06270209,9,       4104,  11.3,   2.8,   5.3,  13.9,  13.7,  11.2,  21.4,   5.3,   6.4
2026062710020108,1,06270217,9,       4117,  11.3,   2.8,   5.2,  14.0,  13.8,  11.2,  21.5,   5.3,   6.4
2026062710020108,1,06270225,9,       4127,  11.3,   2.8,   5.2,  13.9,  13.7,  11.2,  21.1,   5.3,   6.4
2026062710020108,1,06270234,9,       4156,  11.4,   2.8,   5.3,  13.9,  13.6,  10.7,  21.3,   5.3,   6.4
2026062710020108,1,06270242,9,       4369,  11.9,   3.0,   4.2,  14.5,  14.2,  11.2,  22.1,   5.6,   6.7
2026062710020108,1,06270250,9,       4386,  11.9,   3.0,   4.1,  14.6,  14.3,  11.2,  21.9,   5.6,   6.7
2026062710020108,1,06270258,9,       4407,  12.0,   3.0,   4.1,  13.8,  14.3,  11.3,  22.0,   5.6,   6.7
2026062710020108,1,06270307,9,       4438,  12.0,   3.0,   4.2,  13.9,  14.4,  11.3,  22.1,   5.5,   6.8
2026062710020108,1,06270315,9,       4472,  12.1,   3.0,   4.2,  12.5,  14.6,  11.4,  22.3,   5.5,   6.8
2026062710020108,1,06270323,9,       4499,  12.2,   3.1,   4.1,  12.6,  14.6,  11.4,  22.4,   5.5,   6.8
2026062710020108,1,06270331,9,       4526,  12.3,   3.1,   4.1,  12.5,  14.6,  11.5,  22.6,   5.5,   6.8
2026062710020108,1,06270340,9,       4540,  12.3,   3.1,   4.1,  12.5,  14.4,  11.5,  22.7,   5.5,   6.7
2026062710020108,1,06270348,9,       4574,  12.3,   3.1,   4.1,  12.6,  14.5,  11.6,  22.8,   5.4,   6.7
2026062710020108,1,06270356,9,       4580,  12.3,   3.1,   4.1,  12.6,  14.5,  11.6,  22.9,   5.4,   6.7
2026062710020108,1,06270404,9,       4590,  12.3,   3.1,   4.1,  12.6,  14.5,  11.6,  22.8,   5.4,   6.8
2026062710020108,1,06270413,9,       4598,  12.3,   3.1,   4.1,  12.6,  14.2,  11.6,  22.8,   5.4,   6.7
2026062710020108,1,06270421,9,       4621,  12.3,   3.1,   4.1,  12.6,  13.7,  11.6,  22.8,   5.4,   6.8
2026062710020108,1,06270429,9,       4634,  12.3,   3.1,   4.1,  12.4,  13.7,  11.6,  22.4,   5.4,   6.8
2026062710020108,1,06270437,9,       4657,  12.4,   3.1,   4.1,  12.4,  13.7,  11.6,  22.4,   5.4,   6.8
2026062710020108,1,06270446,9,       4741,  12.5,   3.2,   4.1,  12.6,  13.9,  11.7,  22.8,   5.3,   6.4
2026062710020108,1,06270454,9,       4748,  12.4,   3.2,   4.1,  12.6,  13.9,  11.6,  22.8,   5.3,   6.4
2026062710020108,1,06270502,9,       4763,  12.4,   3.2,   4.1,  12.7,  13.6,  11.6,  22.9,   5.3,   6.4
