ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘
2026062702010509,1,06261836,9,         15,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062702010509,1,06261844,9,         18,   0.0,   0.0,   0.0,   1.1,   0.0,   0.0,  14.4,  14.4,  14.4
2026062702010509,1,06261852,9,         73,   0.0,  58.4,   1.6,   2.7,   0.0,   9.7,  29.2,  14.6,  14.6
2026062702010509,1,06261901,9,         98,  78.4,  78.4,   2.2,   3.7,   0.0,   2.8,  39.2,  13.0,  19.6
2026062702010509,1,06261909,9,        244, 195.2,  65.0,   3.0,   1.6,  97.6,   4.6,  97.6,  27.8,  39.0
2026062702010509,1,06261917,9,        251, 200.8,  66.9,   3.0,   1.7,  66.9,   4.5,  50.2,  22.3,  40.1
2026062702010509,1,06261925,9,        272,  54.4,  54.4,   3.1,   1.8,  72.5,   4.6,  21.7,  21.7,  36.2
2026062702010509,1,06261934,9,        287,  32.8,  28.7,   3.1,   1.8,  76.5,   4.8,  22.9,  19.1,  38.2
2026062702010509,1,06261942,9,        352,  18.7,  25.6,   3.3,   2.0,  56.3,   5.2,  20.1,  13.4,  28.1
2026062702010509,1,06261950,9,        387,  19.3,  25.8,   3.2,   2.1,  51.6,   5.6,  19.3,  10.6,  28.1
2026062702010509,1,06261958,9,        465,  21.8,  26.5,   3.4,   2.1,  46.5,   6.0,  11.6,  10.0,  26.5
2026062702010509,1,06262007,9,        543,  19.7,  31.0,   3.9,   1.9,  39.4,   6.7,  12.0,   9.8,  21.7
2026062702010509,1,06262015,9,        576,  14.4,  32.9,   4.1,   1.9,  35.4,   7.2,  11.8,   9.4,  21.9
2026062702010509,1,06262023,9,        613,  15.3,  32.6,   4.1,   2.0,  32.6,   7.4,  11.1,   8.9,  21.3
2026062702010509,1,06262031,9,        679,  15.9,  23.6,   4.3,   2.1,  22.6,   7.7,   9.7,   7.4,  20.8
2026062702010509,1,06262040,9,        768,  16.1,  23.6,   4.2,   2.2,  25.6,   8.4,   9.9,   6.4,  19.8
2026062702010509,1,06262048,9,        783,  15.2,  23.2,   4.3,   2.2,  25.0,   8.5,   9.6,   6.2,  20.2
2026062702010509,1,06262056,9,        837,  12.8,  23.9,   4.5,   2.4,  18.6,   7.8,   8.8,   6.4,  21.6
2026062702010509,1,06262104,9,        856,  13.1,  22.8,   4.5,   2.4,  19.0,   7.9,   8.6,   6.2,  20.7
2026062702010509,1,06262113,9,        968,  12.9,  24.2,   3.6,   2.6,  20.9,   8.7,   7.4,   6.9,  22.1
2026062702010509,1,06262121,9,       1062,  13.9,  26.5,   3.8,   2.8,  22.9,   8.0,   5.1,   7.4,  24.2
2026062702010509,1,06262129,9,       1150,  13.7,  21.9,   4.0,   2.6,  23.5,   8.5,   5.5,   7.8,  24.2
2026062702010509,1,06262137,9,       1334,  15.4,  25.4,   4.6,   2.6,  26.6,   9.9,   6.0,   4.6,  26.6
2026062702010509,1,06262146,9,       1431,  12.4,  22.8,   4.8,   2.7,  28.6,  10.3,   5.8,   4.5,  27.2
2026062702010509,1,06262154,9,       1488,  12.8,  22.8,   4.7,   2.8,  29.0,  10.3,   5.5,   4.6,  26.4
2026062702010509,1,06262202,9,       1638,  13.3,  24.7,   5.0,   2.6,  31.2,  10.8,   5.4,   4.8,  21.8
2026062702010509,1,06262210,9,       1688,  13.6,  25.0,   4.9,   2.7,  32.1,  11.1,   5.3,   4.7,  22.5
2026062702010509,1,06262219,9,       1742,  13.9,  25.3,   4.9,   2.7,  33.1,  11.3,   4.9,   4.7,  22.1
2026062702010509,1,06262227,9,       1847,  13.8,  26.8,   4.8,   2.8,  35.1,  10.6,   4.4,   5.0,  23.4
2026062702010509,1,06262235,9,       1947,  14.4,  25.9,   5.0,   2.9,  31.1,   9.0,   4.4,   5.0,  22.9
2026062702010509,1,06262243,9,       1989,  14.4,  25.6,   4.9,   3.0,  30.6,   9.0,   4.5,   5.1,  19.8
2026062702010509,1,06262252,9,       2067,  14.7,  25.4,   5.0,   3.0,  30.6,   8.8,   4.5,   4.8,  20.6
2026062702010509,1,06262300,9,       2107,  14.9,  25.9,   4.8,   3.0,  31.2,   8.9,   4.4,   4.9,  21.0
2026062702010509,1,06262308,9,       2221,  14.3,  26.9,   4.9,   3.2,  32.9,   7.5,   4.6,   4.8,  21.4
