ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026071103020501,1,07101831,11,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071103020501,1,07101836,11,         51,  10.2,   0.0,  40.8,   0.0,   0.0,  20.4,  40.8,   0.0,   1.9,   2.0,  20.4
2026071103020501,1,07101841,11,         85,  13.6,  68.0,   6.8,  68.0,  68.0,  22.6,  34.0,   0.0,   2.3,   2.7,   8.5
2026071103020501,1,07101847,11,        137,   7.3,  54.8,   4.9, 109.6,  15.6,  36.5,  36.5,   0.0,   3.7,   3.0,   5.7
2026071103020501,1,07101852,11,        141,   7.5,  56.4,   5.1, 112.8,  16.1,  37.6,  37.6,   0.0,   3.4,   3.1,   5.9
2026071103020501,1,07101857,11,        160,   8.5,  42.6,   5.1, 128.0,  16.0,   9.8,  21.3,   0.0,   3.8,   3.4,   6.7
2026071103020501,1,07101902,11,        270,   4.3,  72.0,   3.3, 216.0,  24.0,   4.6,  27.0,   0.0,   6.5,   5.8,  11.3
2026071103020501,1,07101908,11,        335,   5.3,  20.6,   3.8, 268.0,  14.1,   5.5,   8.6,  24.3,   8.1,   6.8,  12.7
2026071103020501,1,07101913,11,        356,   5.4,  17.8,   3.9, 142.4,  12.9,   5.4,   8.6,  25.8,   8.3,   7.1,  13.5
2026071103020501,1,07101918,11,        375,   5.5,  18.7,   3.9,  60.0,  13.6,   5.4,   8.5,  17.6,   8.8,   7.5,  14.2
2026071103020501,1,07101923,11,        403,   4.9,  20.1,   4.2,  64.4,  14.0,   5.8,   6.4,  18.9,   9.2,   8.0,  15.3
2026071103020501,1,07101929,11,        414,   4.6,  20.7,   4.2,  55.2,  14.4,   5.9,   6.4,  19.4,   9.4,   8.2,  15.7
2026071103020501,1,07101934,11,        435,   4.6,  21.7,   4.1,  58.0,  15.1,   6.0,   6.4,  20.4,   9.9,   7.4,  16.5
2026071103020501,1,07101939,11,        483,   5.0,  22.7,   4.1,  64.4,  16.1,   5.6,   5.6,  21.4,   9.6,   7.8,  16.8
2026071103020501,1,07101944,11,        517,   5.2,  15.9,   4.3,  51.7,  16.5,   5.6,   5.6,  20.6,   9.8,   8.2,  16.5
2026071103020501,1,07101950,11,        664,   6.5,  16.6,   2.5,  26.5,  17.7,   7.1,   6.9,  24.1,  12.3,  10.2,  20.4
2026071103020501,1,07101955,11,        727,   7.0,  12.3,   2.3,  29.0,  18.7,   7.8,   7.1,  25.2,  13.2,  11.1,  21.5
2026071103020501,1,07102000,11,        873,   8.3,  14.5,   2.6,  33.2,  15.5,   9.4,   8.1,   9.4,  15.8,   6.7,  25.8
2026071103020501,1,07102005,11,       1280,   5.5,  19.3,   1.9,  48.7,  22.2,  13.6,  10.4,  13.8,  19.3,   9.3,  28.4
2026071103020501,1,07102011,11,       1328,   5.6,  18.9,   2.0,  42.4,  21.6,  12.2,   9.6,  13.9,  19.6,   9.1,  28.7
2026071103020501,1,07102016,11,       1347,   5.7,  19.2,   2.0,  41.4,  21.9,  11.9,   9.5,  13.3,  19.9,   9.0,  27.6
2026071103020501,1,07102021,11,       1401,   5.8,  19.6,   2.0,  41.5,  22.4,  10.1,   9.7,  13.6,  15.1,   9.3,  28.0
2026071103020501,1,07102026,11,       1458,   6.1,  20.1,   2.1,  41.6,  22.8,  10.0,   8.4,  13.8,  15.1,   8.7,  29.1
2026071103020501,1,07102032,11,       1632,   6.7,  18.1,   2.3,  46.6,  24.6,   7.7,   6.4,  15.1,  15.3,   9.1,  31.8
2026071103020501,1,07102037,11,       1729,   7.0,  18.4,   2.3,  46.1,  21.2,   7.9,   5.7,  14.5,  15.8,   9.5,  33.7
2026071103020501,1,07102042,11,       1790,   7.1,  18.5,   2.3,  46.1,  22.0,   8.0,   5.7,  14.7,  16.0,   9.6,  34.9
2026071103020501,1,07102047,11,       1949,   7.6,  16.7,   2.1,  47.2,  23.6,   8.6,   5.9,  15.5,  17.3,  10.3,  37.1
2026071103020501,1,07102053,11,       1974,   7.7,  16.8,   2.1,  47.8,  23.5,   8.6,   5.7,  15.1,  17.3,  10.4,  37.6
2026071103020501,1,07102058,11,       2069,   8.0,  13.6,   2.1,  47.2,  22.0,   8.8,   5.9,  15.7,  18.1,  10.9,  39.4
2026071103020501,1,07102103,11,       2155,   8.2,  14.0,   2.1,  49.2,  22.3,   9.2,   5.7,  16.2,  18.3,  10.5,  33.1
2026071103020501,1,07102108,11,       2251,   8.4,  14.4,   2.0,  46.1,  20.2,   9.4,   5.8,  16.8,  18.5,  10.7,  34.6
2026071103020501,1,07102114,11,       2306,   8.3,  14.5,   2.1,  47.3,  20.4,   9.6,   5.8,  15.3,  18.2,  10.6,  33.5
2026071103020501,1,07102119,11,       2377,   8.4,  12.8,   2.1,  47.5,  18.6,   9.8,   5.8,  14.8,  18.6,  10.8,  33.3
2026071103020501,1,07102124,11,       2421,   8.4,  12.9,   2.1,  47.2,  18.9,  10.0,   5.4,  15.1,  18.9,  11.0,  33.9
2026071103020501,1,07102129,11,       2498,   8.5,  13.2,   2.2,  43.4,  18.8,  10.0,   5.0,  14.8,  19.0,  11.2,  35.0
2026071103020501,1,07102135,11,       2625,   8.6,  12.0,   2.3,  43.7,  19.8,  10.3,   5.1,  11.2,  19.2,  11.2,  36.2
2026071103020501,1,07102140,11,       3158,  10.0,  13.5,   1.8,  52.6,  22.7,  12.3,   6.0,  13.5,  22.1,  13.4,  43.5
2026071103020501,1,07102145,11,       3238,  10.0,  13.7,   1.8,  52.8,  22.9,  11.4,   5.8,  13.6,  21.9,  13.4,  42.4
2026071103020501,1,07102150,11,       3307,  10.2,  13.4,   1.8,  53.9,  21.1,  11.4,   5.7,  13.9,  20.6,  13.7,  42.6
2026071103020501,1,07102156,11,       3382,  10.3,  13.7,   1.9,  53.0,  21.3,  10.9,   5.6,  13.5,  20.8,  13.4,  37.0
2026071103020501,1,07102201,11,       3840,  11.4,  14.3,   2.1,  56.8,  23.8,   6.8,   4.5,  15.2,  23.0,  15.1,  41.5
2026071103020501,1,07102206,11,       3942,  11.5,  13.4,   2.1,  57.3,  22.5,   6.8,   4.5,  15.3,  23.1,  15.5,  41.4
2026071103020501,1,07102211,11,       3991,  11.2,  13.4,   2.1,  58.0,  22.8,   6.9,   4.5,  15.4,  23.1,  15.7,  41.4
2026071103020501,1,07102217,11,       4126,  11.4,  11.3,   2.1,  53.2,  23.2,   7.1,   4.6,  15.8,  22.9,  16.1,  30.2
2026071103020501,1,07102222,11,       4234,  11.2,  11.5,   2.2,  54.6,  23.3,   7.3,   4.6,  15.9,  22.4,  15.7,  25.0
2026071103020501,1,07102227,11,       4374,  11.3,  10.8,   2.2,  56.4,  22.2,   7.1,   4.6,  15.6,  21.8,  16.1,  25.9
2026071103020501,1,07102232,11,       4557,  11.6,  10.4,   2.1,  58.8,  21.4,   7.3,   4.7,  16.2,  22.7,  16.2,  27.0
2026071103020501,1,07102238,11,       4762,  12.0,  10.3,   2.1,  61.4,  22.4,   7.3,   4.7,  15.4,  23.5,  16.7,  28.0
2026071103020501,1,07102243,11,       4922,  12.3,  10.5,   2.2,  60.5,  22.5,   7.1,   4.5,  15.6,  22.8,  16.4,  26.6
2026071103020501,1,07102248,11,       4987,  12.2,  10.3,   2.2,  61.3,  22.4,   7.2,   4.5,  15.6,  22.9,  16.0,  26.9
2026071103020501,1,07102253,11,       5080,  12.1,  10.5,   2.2,  62.5,  21.8,   7.1,   4.4,  15.5,  22.7,  16.1,  26.3
2026071103020501,1,07102259,11,       5142,  12.2,  10.6,   2.2,  63.2,  21.8,   7.1,   4.5,  15.7,  22.2,  16.3,  26.7
2026071103020501,1,07102304,11,       5214,  12.1,  10.6,   2.2,  61.3,  20.8,   7.2,   4.5,  15.6,  21.1,  16.5,  26.5
2026071103020501,1,07102309,11,       5244,  12.2,  10.6,   2.2,  61.6,  20.6,   7.2,   4.5,  15.5,  21.0,  16.6,  26.7
2026071103020501,1,07102314,11,       5308,  12.3,  10.3,   2.2,  60.6,  19.7,   7.2,   4.5,  15.7,  21.1,  16.7,  26.0
2026071103020501,1,07102320,11,       5453,  12.6,  10.3,   2.2,  62.3,  19.7,   7.4,   4.5,  16.0,  20.7,  17.1,  26.2
2026071103020501,1,07102325,11,       5513,  12.6,  10.3,   2.2,  61.2,  19.9,   7.3,   4.5,  15.5,  20.6,  17.1,  26.2
2026071103020501,1,07102330,11,       5639,  12.8,  10.5,   2.2,  62.6,  20.2,   7.1,   4.5,  14.9,  20.8,  17.1,  26.8
2026071103020501,1,07102335,11,       5808,  12.9,  10.3,   2.3,  61.9,  20.7,   7.3,   4.6,  15.1,  14.4,  17.4,  27.3
2026071103020501,1,07102341,11,       5909,  12.7,  10.2,   2.3,  61.3,  20.8,   7.3,   4.6,  15.2,  14.3,  17.7,  27.6
2026071103020501,1,07102346,11,       5955,  12.8,  10.2,   2.3,  60.3,  20.8,   7.3,   4.6,  15.4,  13.8,  17.8,  26.0
2026071103020501,1,07102351,11,       5993,  12.8,  10.2,   2.3,  60.6,  20.8,   7.2,   4.7,  15.4,  13.8,  17.7,  24.5
2026071103020501,1,07102356,11,       6016,  12.8,  10.3,   2.3,  57.2,  20.5,   7.2,   4.7,  15.4,  13.8,  17.7,  24.5
2026071103020501,1,07102357,11,       6016,  12.8,  10.3,   2.3,  57.2,  20.5,   7.2,   4.7,  15.4,  13.8,  17.7,  24.5
2026071103020501,1,07102358,11,       6017,  12.8,  10.3,   2.3,  57.3,  20.5,   7.2,   4.7,  15.4,  13.8,  17.7,  24.5
2026071103020501,1,07102359,11,       6032,  12.8,  10.3,   2.3,  57.4,  20.6,   7.3,   4.7,  15.4,  13.8,  17.8,  23.4
2026071103020501,1,07102359,11,       6040,  12.8,  10.3,   2.3,  56.1,  20.5,   7.2,   4.7,  15.4,  13.8,  17.8,  23.2
2026071103020501,1,07110005,11,       6068,  12.9,  10.3,   2.3,  55.7,  20.4,   7.3,   4.7,  15.4,  13.9,  17.7,  23.1
2026071103020501,1,07110010,11,       6212,  13.0,  10.6,   2.3,  57.1,  20.9,   7.4,   4.8,  15.7,  11.0,  18.1,  23.6
2026071103020501,1,07110015,11,       6291,  13.0,  10.7,   2.3,  54.1,  20.7,   7.5,   4.8,  15.6,  11.1,  18.1,  23.1
2026071103020501,1,07110020,11,       6532,  13.5,  11.1,   2.3,  50.7,  20.9,   7.6,   5.0,  16.1,  10.2,  18.1,  21.5
2026071103020501,1,07110026,11,       6650,  13.7,  10.6,   2.3,  51.6,  20.0,   7.7,   4.9,  16.4,  10.3,  18.2,  21.9
2026071103020501,1,07110031,11,       6697,  13.7,  10.7,   2.3,  51.5,  19.8,   7.7,   4.9,  16.5,  10.1,  18.2,  22.0
2026071103020501,1,07110036,11,       6752,  13.6,  10.7,   2.3,  51.4,  19.8,   7.7,   4.9,  16.6,  10.1,  17.7,  22.2
2026071103020501,1,07110041,11,       6812,  13.7,  10.7,   2.3,  50.9,  19.7,   7.7,   4.9,  16.5,  10.1,  17.6,  22.2
2026071103020501,1,07110047,11,       6844,  13.7,  10.8,   2.3,  49.7,  19.6,   7.7,   4.9,  16.5,  10.2,  17.6,  22.3
