ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘
2026071103020505,1,07101834,11,          6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0
2026071103020505,1,07101842,11,         41,   0.0,   0.0,   0.0,   0.0,   0.0,  10.9,   0.0,   0.0,   0.0,   1.1,   4.1
2026071103020505,1,07101850,11,         93,  37.2,   0.0,   0.0,   0.0,  74.4,  24.8,  74.4,   0.0,   2.4,   1.5,   8.2
2026071103020505,1,07101859,11,        191,  11.7,   0.0,   0.0,   0.0,  76.4,  50.9,  76.4,   0.0,   4.7,   3.1,   1.6
2026071103020505,1,07101907,11,        225,  12.0,  90.0,  45.0,   0.0,  60.0,  45.0,  45.0, 180.0,   4.1,   3.7,   1.7
2026071103020505,1,07101915,11,        268,   7.1,   8.9,  42.8, 214.4,  71.4,  42.8,  53.6,  71.4,   4.8,   4.4,   2.1
2026071103020505,1,07101923,11,        303,   5.1,   8.9,  48.4, 242.4,  17.3,  48.4,  60.6,  80.8,   5.2,   4.9,   2.3
2026071103020505,1,07101932,11,        328,   4.5,   9.3,  37.4, 131.2,  13.1,  52.4,  65.6,  87.4,   5.7,   5.2,   2.4
2026071103020505,1,07101940,11,        403,   3.8,   7.6,  46.0,  24.8,  15.3,  26.8,  32.2,  53.7,   6.7,   5.9,   3.0
2026071103020505,1,07101948,11,        439,   3.8,   8.1,  43.9,  19.5,  15.2,  19.5,  31.9,  50.1,   7.1,   5.7,   3.2
2026071103020505,1,07101956,11,        478,   3.5,   8.1,  42.4,  17.3,  14.7,  19.1,  31.8,  47.8,   7.3,   6.1,   3.4
2026071103020505,1,07102005,11,        496,   3.3,   8.4,  39.6,  17.2,  15.2,  19.8,  26.4,  44.0,   7.6,   6.2,   3.5
2026071103020505,1,07102013,11,        636,   2.2,  10.6,  46.2,  14.9,  18.8,  23.1,  33.9,  42.4,   9.4,   7.7,   4.3
2026071103020505,1,07102021,11,        667,   2.1,  10.4,  48.5,  13.6,  17.7,  24.2,  35.5,  38.1,   9.8,   7.8,   4.5
2026071103020505,1,07102029,11,        722,   2.2,  11.1,  44.4,  12.5,  14.4,  20.6,  33.9,  38.5,   8.6,   8.1,   4.7
2026071103020505,1,07102038,11,        771,   2.2,   9.7,  44.0,  13.4,  15.0,  21.2,  36.2,  41.1,   9.0,   7.2,   4.9
2026071103020505,1,07102046,11,        840,   2.3,   9.0,  42.0,  14.0,  15.6,  22.4,  37.3,  42.0,   9.6,   6.2,   5.2
2026071103020505,1,07102054,11,        885,   2.4,   9.0,  32.1,  14.4,  11.0,  23.6,  30.7,  41.6,  10.1,   6.4,   5.4
2026071103020505,1,07102102,11,       1011,   2.3,   8.3,  35.1,  10.5,  11.8,  21.8,  33.7,  44.9,  11.3,   6.4,   6.1
2026071103020505,1,07102111,11,       1052,   2.3,   8.0,  36.5,  10.5,  11.6,  21.5,  35.0,  40.0,  11.5,   6.5,   6.3
2026071103020505,1,07102119,11,       1386,   1.8,  10.0,  46.2,  13.6,  13.2,  24.1,  41.0,  50.4,  14.0,   6.0,   7.9
2026071103020505,1,07102127,11,       1426,   1.8,  10.1,  42.2,  13.9,  13.2,  24.2,  42.2,  49.6,  14.2,   6.2,   8.1
2026071103020505,1,07102135,11,       1496,   1.8,  10.1,  39.8,  13.1,  13.2,  24.4,  38.6,  46.0,  14.4,   6.2,   8.1
