ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘
2026070410020309,1,07031844,12,          3,   2.4,   0.0,   2.4,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   2.4,   0.0,   0.0
2026070410020309,1,07031852,12,         48,  12.8,  38.4,   9.6,   0.0,  12.8,   1.8,   7.6,   0.0,  38.4,  38.4,   4.2,   0.0
2026070410020309,1,07031900,12,         83,  16.6,  66.4,  16.6,   3.6,  22.1,   2.7,   7.3,  66.4,  66.4,  66.4,   5.5,  13.2
2026070410020309,1,07031909,12,        103,  20.6,  41.2,  16.4,   4.5,  20.6,   3.1,   7.4,  82.4,  20.6,  41.2,   4.3,  11.7
2026070410020309,1,07031917,12,        110,  22.0,  29.3,  17.6,   4.1,  17.6,   3.2,   7.3,  88.0,  22.0,  44.0,   4.6,  12.5
2026070410020309,1,07031925,12,        171,   8.5,  45.6,  15.2,   6.5,  17.1,   4.1,   4.2,  45.6,  27.3,  45.6,   4.8,  13.6
2026070410020309,1,07031933,12,        191,   9.5,  50.9,  16.9,   6.3,  19.1,   3.4,   4.6,  50.9,  25.4,  38.2,   5.0,  13.8
2026070410020309,1,07031942,12,        271,  10.3,  54.2,  10.3,   6.0,  24.0,   3.5,   5.5,  43.3,  13.5,  54.2,   5.0,  18.0
2026070410020309,1,07031950,12,        322,  11.7,  51.5,  12.2,   6.7,  28.6,   3.8,   6.6,  36.8,  16.1,  51.5,   3.2,  18.4
2026070410020309,1,07031958,12,        357,  11.9,  47.6,  12.9,   6.4,  28.5,   4.0,   6.9,  31.7,  15.8,  47.6,   3.1,  16.8
2026070410020309,1,07032006,12,        371,  12.3,  49.4,  12.9,   6.5,  29.6,   4.0,   7.0,  29.6,  15.6,  49.4,   3.0,  17.4
2026070410020309,1,07032015,12,        542,   9.6,  43.3,  15.4,   6.2,  17.3,   4.6,   5.6,  43.3,  15.4,  61.9,   3.3,  19.7
2026070410020309,1,07032023,12,        594,  10.1,  39.6,  11.8,   6.2,  19.0,   4.7,   6.0,  22.6,  15.8,  67.8,   3.5,  21.6
2026070410020309,1,07032031,12,        747,  12.1,  49.8,  14.2,   4.7,  16.1,   3.9,   5.9,  22.9,  19.2,  85.3,   4.2,  24.9
2026070410020309,1,07032039,12,        820,  12.3,  43.7,  12.3,   5.0,  16.4,   4.2,   6.4,  13.3,  19.2,  82.0,   4.2,  26.2
2026070410020309,1,07032048,12,        993,  14.4,  52.9,  13.0,   6.0,  18.9,   5.0,   3.2,  16.2,  18.9,  99.3,   4.9,  30.5
2026070410020309,1,07032056,12,       1112,  12.8,  55.6,   8.6,   6.4,  15.3,   5.5,   3.4,  15.0,  21.1,  98.8,   5.3,  24.7
2026070410020309,1,07032104,12,       1332,   7.8,  66.6,  10.0,   7.0,  18.3,   4.6,   3.9,  17.7,  25.3, 118.4,   5.0,  25.3
2026070410020309,1,07032112,12,       1391,   8.0,  65.4,   9.4,   7.0,  19.1,   4.8,   3.9,  14.8,  24.1, 123.6,   5.1,  25.2
2026070410020309,1,07032121,12,       1521,   8.0,  64.0,   8.5,   7.2,  20.6,   5.2,   3.9,  15.2,  25.8, 121.6,   4.7,  26.4
2026070410020309,1,07032129,12,       1687,   8.8,  71.0,   8.7,   4.7,  22.8,   5.4,   4.1,  16.2,  28.1, 122.6,   5.2,  26.9
2026070410020309,1,07032137,12,       1814,   7.0,  76.3,   9.4,   5.0,  20.7,   5.8,   4.2,  17.0,  25.0, 120.9,   5.1,  27.3
2026070410020309,1,07032145,12,       1933,   7.3,  73.6,   9.4,   4.9,  19.3,   5.4,   4.4,  17.7,  21.1, 118.9,   5.3,  27.6
2026070410020309,1,07032154,12,       2056,   7.5,  58.7,   9.6,   5.1,  20.0,   5.3,   4.3,  16.9,  18.6, 126.5,   5.6,  29.3
2026070410020309,1,07032202,12,       2229,   7.9,  63.6,   8.2,   5.2,  21.4,   5.7,   4.2,  15.2,  16.3, 127.3,   5.6,  31.8
2026070410020309,1,07032210,12,       2299,   8.1,  61.3,   8.4,   5.3,  19.1,   5.6,   4.1,  15.4,  16.5, 131.3,   5.7,  32.8
2026070410020309,1,07032218,12,       2488,   8.5,  64.2,   9.1,   5.8,  17.7,   5.9,   3.6,  16.4,  16.0, 124.4,   5.5,  31.5
2026070410020309,1,07032227,12,       2557,   8.6,  58.4,   9.2,   5.8,  17.9,   5.9,   3.6,  16.4,  15.9, 120.3,   5.6,  30.9
2026070410020309,1,07032235,12,       2648,   8.7,  51.6,   9.1,   5.9,  18.5,   6.1,   3.6,  16.2,  14.7,  81.4,   5.5,  31.6
2026070410020309,1,07032243,12,       2890,   6.3,  52.5,   9.9,   6.5,  19.4,   6.7,   3.5,  17.6,  15.5,  85.6,   5.6,  34.5
2026070410020309,1,07032251,12,       2982,   5.9,  54.2,  10.1,   6.5,  19.8,   6.7,   3.5,  18.0,  16.0,  88.3,   5.7,  35.0
2026070410020309,1,07032300,12,       3178,   6.2,  55.2,  10.2,   6.7,  20.0,   6.9,   3.6,  19.1,  16.8,  28.5,   5.7,  25.4
2026070410020309,1,07032308,12,       3259,   6.2,  56.6,  10.4,   6.7,  20.3,   6.8,   3.6,  19.4,  16.9,  29.2,   5.7,  26.0
