ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘,17î‘
2026071210020601,1,07111930,17,          5,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071210020601,1,07111936,17,         45,   0.0,   0.0,   0.0,  12.0,   0.0,   7.2,  18.0,   6.0,  36.0,   9.0,  18.0,  36.0,  18.0,   0.0,   5.1,   3.0,   0.0
2026071210020601,1,07111941,17,        453, 362.4,  32.9,   0.0,  36.2,   0.0,   1.1,  15.1,  30.2, 120.8,  24.1, 181.2, 181.2,  19.0, 362.4,  30.2,  11.3,   0.0
2026071210020601,1,07111946,17,        631,  24.0,  18.0,   0.0,  50.4,  84.1,   1.5,  15.2,  18.6,  84.1,  18.0,  84.1,  38.8,  21.0,  56.0,  33.6,   6.3, 168.2
2026071210020601,1,07111951,17,        807,  26.9,  19.5,   0.0,   7.2,  92.2,   1.7,  19.5,  16.5,  92.2,  20.8,  43.0,  49.6,  17.9,  71.7,  37.9,   7.6, 215.2
2026071210020601,1,07111957,17,       1086,  34.7,  11.9, 868.8,   8.6, 108.6,   2.2,  14.9,   4.4, 124.1,  23.4,  54.3,  62.0,  21.1,  78.9,  48.2,   9.3, 289.6
2026071210020601,1,07112002,17,       1158,  35.6,  11.7, 926.4,   8.9, 102.9,   2.3,  15.7,   4.5, 115.8,  16.8,  57.9,  66.1,  17.1,  77.2,  40.2,   8.8, 308.8
2026071210020601,1,07112007,17,       1236,  35.3,  11.4, 329.6,   9.1,  98.8,   2.5,  16.2,   4.7, 109.8,  12.6,  58.1,  61.8,  13.7,  70.6,  39.5,   9.2, 247.2
2026071210020601,1,07112012,17,       1349,  38.5,  12.1, 359.7,   9.9,  98.1,   2.6,  17.1,   4.6, 107.9,  10.9,  34.8,  56.8,  14.9,  56.8,  37.2,   8.5, 215.8
2026071210020601,1,07112018,17,       1470,  36.7,  12.6, 235.2,  10.5,  90.4,   2.8,  17.8,   4.3,  98.0,  11.4,  33.6,  51.1,  16.1,  51.1,  29.4,   7.7, 117.6
2026071210020601,1,07112023,17,       1722,  43.0,  10.7, 275.5,  12.3,  86.1,   3.2,  20.8,   4.9, 105.9,   7.1,  36.2,  57.4,  16.8,  49.2,  16.2,   7.1, 114.8
2026071210020601,1,07112028,17,       1892,  36.0,  11.7, 151.3,  12.9,  56.0,   3.6,  21.3,   5.1, 116.4,   6.6,  39.8,  63.0,  16.2,  36.0,  14.9,   6.4, 126.1
