ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘,17î‘
2026062710020106,1,06261834,17,         30,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0
2026062710020106,1,06261842,17,        137,   0.0,   0.0,   0.0,   0.0, 109.6,   0.0,   0.0,   1.1,   0.0, 109.6,  54.8, 109.6, 109.6,   3.6, 109.6,   0.0,   0.0
2026062710020106,1,06261851,17,        184, 147.2,  11.3,   0.0,  36.8, 147.2, 147.2,   5.8,   1.4, 147.2, 147.2,  73.6, 147.2, 147.2,   4.9,  73.6,   0.0,   0.0
2026062710020106,1,06261859,17,        204, 163.2,  12.5,   0.0,  40.8, 163.2, 163.2,   6.0,   1.6,  81.6, 163.2,  54.4, 163.2,  81.6,   5.4,  13.6,  32.6,   0.0
2026062710020106,1,06261907,17,        276,  55.2,   8.4,   7.3,  44.1,  73.6,  27.6,   7.8,   2.0,  73.6, 220.8,  73.6, 110.4, 110.4,   6.4,  14.7,  36.8,   0.0
2026062710020106,1,06261915,17,        334,  29.6,   8.6,   8.3,  53.4,  29.6,  33.4,   9.2,   2.4,  66.8,  17.8,  89.0, 133.6,  44.5,   5.9,  13.3,  29.6,   0.0
2026062710020106,1,06261924,17,        381,  21.7,   8.4,   9.2,  43.5,  33.8,  25.4,   8.9,   2.8,  38.1,  16.9,  60.9, 152.4,  21.7,   6.4,  12.1,  33.8,   0.0
2026062710020106,1,06261932,17,        409,  20.4,   8.6,   9.9,  40.9,  36.3,  20.4,   9.3,   2.9,  36.3,  16.3,  46.7,  81.8,  17.2,   6.8,  13.0,  36.3, 327.2
2026062710020106,1,06261940,17,        440,  19.5,   9.0,  10.3,  39.1,  35.2,  16.7,   9.7,   3.1,  35.2,  11.7,  50.2,  88.0,  16.7,   6.9,  13.0,  39.1, 176.0
2026062710020106,1,06261948,17,        486,  16.9,   9.7,  10.8,  38.8,  35.3,  15.5,  10.5,   3.2,  32.4,  12.5,  48.6,  77.7,  14.4,   6.8,  12.9,  35.3,  77.7
2026062710020106,1,06261957,17,        537,  17.1,   9.5,  10.2,  42.9,  35.8,  13.4,  11.0,   3.4,  28.6,  12.6,  47.7,  39.0,  14.8,   7.0,  12.6,  39.0,  85.9
2026062710020106,1,06262005,17,        569,  17.5,  10.1,   7.3,  41.3,  37.9,  12.3,  11.6,   3.7,  26.7,  13.0,  50.5,  37.9,  15.1,   7.4,  13.3,  41.3,  91.0
