ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘
2026062802010611,1,06270700,15,          3,   0.0,   2.4,   0.0,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026062802010611,1,06270705,15,        117,   4.6,  31.2,   4.6,  23.4,   4.0,   0.0,  93.6,   9.3,   0.0,  93.6,  46.8,  13.3,  46.8,   4.0,  93.6
2026062802010611,1,06270711,15,       1479,  56.3,   1.1,   7.7, 197.2,  26.2, 591.6, 118.3,  91.0, 591.6, 295.8,  21.1, 147.9, 197.2,  33.8,  21.9
2026062802010611,1,06270716,15,       1664,  55.4,   1.1,   8.4,  78.3,  18.2, 332.8,  53.2,  44.3, 133.1,  47.5,  21.8,  66.5, 221.8,  35.0,  22.9
2026062802010611,1,06270722,15,       1860,  55.1,   1.3,   9.3,  64.6,  17.9, 297.6,  55.1,  37.2, 114.4,  43.7,  23.2,  55.1, 114.4,  31.0,   8.1
2026062802010611,1,06270727,15,       2156,  52.2,   1.5,   9.9,  30.2,  13.3, 101.4,  27.3,  21.8,  74.9,  49.2,  18.3,  36.6,  71.8,  32.5,   9.1
2026062802010611,1,06270733,15,       2619,  61.6,   1.8,  11.9,  27.9,   8.1, 116.4,  22.0,  16.3,  65.4,  58.2,  10.5,  24.3,  65.4,  19.5,  10.4
2026062802010611,1,06270738,15,       2881,  65.8,   1.9,  12.9,  28.8,   6.3,  57.6,  23.2,  16.5,  69.8,  53.6,  11.5,  20.9,  53.6,  17.2,  10.3
2026062802010611,1,06270744,15,       3065,  49.0,   2.0,  13.3,  19.6,   6.6,  54.4,  24.0,  14.8,  52.1,  53.3,  11.7,  19.6,  51.0,  16.1,  10.9
2026062802010611,1,06270749,15,       3555,  50.7,   2.3,  13.5,  20.0,   6.8,  60.5,  24.9,  12.4,  54.6,  36.4,   9.7,  12.7,  58.0,  14.8,  10.9
2026062802010611,1,06270755,15,       3932,  55.1,   2.6,  14.4,  21.5,   6.6,  62.9,  27.1,  12.7,  54.2,  31.1,  10.6,   9.0,  62.9,  11.3,  10.8
2026062802010611,1,06270800,15,       4162,  53.7,   2.7,  13.3,  20.1,   6.8,  65.2,  28.2,  10.7,  54.5,  32.3,   9.8,   9.1,  62.8,  11.6,  11.2
2026062802010611,1,06270806,15,       4451,  50.1,   2.8,  14.1,  18.0,   6.6,  68.4,  28.2,   9.2,  53.9,  28.0,  10.0,   9.7,  65.9,  11.4,  11.0
2026062802010611,1,06270811,15,       4836,  43.9,   3.1,  15.2,  13.8,   6.1,  61.4,  30.2,   9.1,  49.6,  27.6,  10.0,  10.4,  59.5,  12.3,  10.3
2026062802010611,1,06270817,15,       5043,  43.3,   3.1,  15.5,  13.4,   6.1,  58.4,  31.0,   8.6,  46.3,  25.5,  10.2,  10.6,  60.2,  12.4,  10.4
2026062802010611,1,06270822,15,       5251,  40.0,   3.2,  13.2,  13.1,   6.0,  60.8,  31.5,   8.8,  46.6,  25.3,  10.4,  10.9,  57.5,  12.3,  10.6
