ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘
2026071902011211,1,07180700,13,          1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0,   0.0,   0.0,   0.0
2026071902011211,1,07180705,13,       1303,  49.6, 260.6, 999.9, 521.2,  49.6, 999.9,   9.8,  43.4,  28.1,  47.3,   1.1, 521.2,  34.7
2026071902011211,1,07180711,13,       1881,  68.4, 188.1,  39.6,  32.7,  62.7, 376.2,   7.3,  57.8,  28.9,  60.1,   1.3, 115.7,   5.5
2026071902011211,1,07180716,13,       2078,  66.4, 151.1,  36.9,  28.1,  61.5, 332.4,   7.5,  61.5,  19.3,  61.5,   1.3,  83.1,   5.4
2026071902011211,1,07180722,13,       2178,  67.0,  82.9,  29.0,  25.2,  64.5, 348.4,   7.5,  64.5,  18.7,  62.2,   1.3,  79.2,   5.5
2026071902011211,1,07180727,13,       2344,  66.9,  72.1,  30.7,  26.0,  64.6, 170.4,   8.0,  56.8,  18.2,  26.4,   1.4,  53.5,   4.8
2026071902011211,1,07180733,13,       2420,  64.5,  69.1,  28.4,  25.1,  60.5, 161.3,   8.1,  52.3,  17.6,  22.7,   1.5,  49.6,   4.8
2026071902011211,1,07180738,13,       2591,  60.9,  74.0,  27.6,  25.9,  51.8, 172.7,   8.7,  56.0,  16.7,  23.0,   1.5,  39.1,   5.0
2026071902011211,1,07180744,13,       2755,  62.9,  55.1,  29.0,  26.8,  51.2, 169.5,   9.2,  56.5,  16.5,  13.6,   1.5,  27.2,   5.0
2026071902011211,1,07180749,13,       3208,  71.2,  35.6,  33.3,  30.1,  58.3, 160.4,  10.5,  61.1,   5.7,  15.1,   1.7,  27.5,   5.8
2026071902011211,1,07180755,13,       3911,  84.5,  37.6,  39.6,  36.8,  71.1, 184.0,  11.8,  63.8,   4.0,  11.2,   2.0,  11.8,   7.1
2026071902011211,1,07180800,13,       4131,  70.3,  39.3,  36.3,  30.8,  60.0, 194.4,  12.0,  67.4,   4.1,  11.5,   2.1,  12.2,   6.0
2026071902011211,1,07180806,13,       4297,  73.1,  39.9,  37.3,  31.5,  61.3, 180.9,  12.3,  70.1,   4.2,  11.6,   2.1,  11.6,   6.1
2026071902011211,1,07180811,13,       4568,  54.5,  42.4,  37.6,  26.2,  65.2, 192.3,  13.1,  74.5,   4.0,  12.0,   2.1,  11.4,   6.3
2026071902011211,1,07180817,13,       4856,  52.4,  41.7,  37.7,  27.5,  62.6, 204.4,  13.5,  79.2,   4.2,  12.6,   2.1,  12.1,   5.8
2026071902011211,1,07180822,13,       4934,  52.6,  40.2,  37.5,  27.7,  60.7, 187.9,  13.4,  71.7,   4.2,  12.8,   2.1,  11.8,   5.9
2026071902011211,1,07180828,13,       5008,  53.4,  40.8,  36.0,  26.3,  61.6, 190.7,  13.6,  71.5,   4.3,  12.9,   2.1,  11.0,   5.9
2026071902011211,1,07180833,13,       5182,  53.1,  41.4,  37.0,  26.7,  62.8, 165.8,  13.8,  60.9,   4.3,  12.6,   2.1,  11.1,   5.8
2026071902011211,1,07180839,13,       5899,  60.5,  38.6,  41.3,  29.8,  70.4, 181.5,  15.6,  68.3,   4.9,  14.2,   1.8,  12.5,   6.5
2026071902011211,1,07180844,13,       6029,  61.8,  39.5,  37.6,  30.3,  69.9, 160.7,  15.9,  69.9,   5.0,  13.3,   1.8,  12.8,   6.1
2026071902011211,1,07180850,13,       7261,  73.5,  42.7,  31.3,  26.7,  80.6, 181.5,  18.9,  77.4,   5.9,  15.9,   1.5,  15.1,   7.4
2026071902011211,1,07180855,13,       7379,  74.7,  43.0,  29.3,  25.7,  60.8, 184.4,  18.9,  78.7,   5.9,  16.1,   1.6,  15.3,   7.5
2026071902011211,1,07180901,13,       7516,  76.1,  40.9,  29.7,  26.2,  60.7, 171.7,  19.3,  80.1,   5.8,  15.4,   1.6,  14.4,   7.5
2026071902011211,1,07180906,13,       7761,  78.5,  39.0,  28.8,  26.9,  56.4, 177.3,  19.7,  82.7,   5.6,  15.0,   1.6,  13.9,   7.1
2026071902011211,1,07180912,13,       8059,  77.6,  38.3,  28.4,  25.9,  56.0, 174.2,  20.4,  74.1,   5.7,  15.4,   1.7,  14.0,   6.3
2026071902011211,1,07180917,13,       8367,  66.9,  30.7,  28.1,  25.7,  52.7, 152.1,  19.9,  50.3,   5.7,  15.5,   1.7,  14.0,   6.4
2026071902011211,1,07180923,13,       9792,  76.0,  30.4,  31.0,  28.8,  55.1, 124.3,  21.5,  55.5,   5.0,   8.0,   1.9,  15.4,   6.9
2026071902011211,1,07180928,13,      10228,  75.0,  30.5,  30.7,  29.2,  55.6, 120.3,  21.8,  57.6,   5.2,   7.9,   1.8,  15.8,   7.2
2026071902011211,1,07180934,13,      11807,  67.4,  28.7,  32.4,  21.4,  42.1, 107.3,  20.1,  49.9,   5.3,   7.9,   2.0,  13.5,   6.7
