ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,íPèüï[êî, 1î‘, 2î‘, 3î‘, 4î‘, 5î‘, 6î‘, 7î‘, 8î‘, 9î‘,10î‘,11î‘,12î‘,13î‘,14î‘,15î‘,16î‘,17î‘
2026071210020612,1,07111933,17,         10,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.0,   0.0
2026071210020612,1,07111941,17,         42,  16.8,   0.0,  16.8,   1.9,   0.0,   0.0,  16.8,  33.6,  33.6,   0.0,   0.0,  33.6,   0.0,   0.0,  33.6,   2.2,   0.0
2026071210020612,1,07111949,17,        235,  18.8,  12.5,  20.8,   6.2,   4.5,  31.3,  62.6,  10.4,   8.9,  37.6,  26.8,  18.8, 188.0,   0.0,   6.7,   7.2,  37.6
2026071210020612,1,07111957,17,        492,  30.2,  21.8,  35.7,  11.9,   7.4,  65.6, 131.2,  14.0,  12.6,  65.6,   1.8,  30.2, 393.6, 393.6,  13.1,  15.1,  65.6
2026071210020612,1,07112006,17,        769,  22.7,   5.1,  47.3,  13.0,   6.2,  76.9, 153.8,   8.6,  17.5,  68.3,   2.4,  41.0, 307.6, 615.2,  19.2,  23.6,  43.9
2026071210020612,1,07112014,17,        840,  24.0,   5.5,  35.3,  13.7,   5.8,  84.0, 134.4,   7.6,  12.9,  74.6,   2.7,  42.0, 336.0, 336.0,  18.1,  24.8,  44.8
2026071210020612,1,07112022,17,       1105,  18.8,   7.1,  36.8,   8.5,   6.5,  80.3,  98.2,   6.6,  15.5,  80.3,   3.4,  36.8, 176.8, 221.0,  12.8,  11.1,  49.1
2026071210020612,1,07112030,17,       1169,  19.8,   7.4,  35.9,   8.8,   6.3,  85.0,  93.5,   6.7,  12.1,  71.9,   3.6,  38.9, 133.6, 103.9,  13.3,  11.5,  49.2
2026071210020612,1,07112039,17,       1626,  24.5,  10.2,  43.3,  12.1,   7.5,  76.5,  56.5,   3.6,  16.6,  81.3,   4.7,  34.2, 130.0, 118.2,   9.2,  14.7,  16.4
2026071210020612,1,07112047,17,       1725,  23.7,  10.7,  32.8,  12.7,   7.6,  81.1,  44.5,   3.5,  17.0,  69.0,   4.8,  34.5, 125.4, 115.0,   9.2,  15.3,  16.8
2026071210020612,1,07112055,17,       1902,  25.3,  11.7,  29.2,  13.4,   7.7,  80.0,  47.5,   2.9,  17.4,  66.1,   5.3,  35.3, 108.6, 108.6,   9.9,  16.7,  18.1
2026071210020612,1,07112103,17,       1958,  26.1,  12.1,  29.5,  12.9,   7.7,  78.3,  48.9,   2.9,  16.1,  65.2,   5.4,  33.3, 111.8, 111.8,   9.9,  17.0,  18.4
2026071210020612,1,07112112,17,       2079,  26.4,  12.6,  24.8,  13.4,   7.6,  47.5,  43.7,   3.1,  15.8,  66.5,   5.7,  34.6, 103.9, 110.8,   9.0,  17.3,  18.0
