raceid,kind,combo,payout
01262201,単勝,5,760
01262201,複勝,5,160
01262201,複勝,3,110
01262201,複勝,12,140
01262201,枠連,3 - 5,360
01262201,馬連,3 - 5,580
01262201,ワイド,3 - 5,260
01262201,ワイド,5 - 12,570
01262201,ワイド,3 - 12,210
01262201,馬単,5 → 3,1620
01262201,三連複,3 - 5 - 12,800
01262201,三連単,5 → 3 → 12,5160
01262202,単勝,1,330
01262202,複勝,1,160
01262202,複勝,2,430
01262202,複勝,12,190
01262202,枠連,1 - 2,2850
01262202,馬連,1 - 2,2920
01262202,ワイド,1 - 2,1020
01262202,ワイド,1 - 12,450
01262202,ワイド,2 - 12,1160
01262202,馬単,1 → 2,4920
01262202,三連複,1 - 2 - 12,4410
01262202,三連単,1 → 2 → 12,26000
01262203,単勝,13,400
01262203,複勝,13,170
01262203,複勝,5,310
01262203,複勝,11,160
01262203,枠連,4 - 8,1350
01262203,馬連,5 - 13,2010
01262203,ワイド,5 - 13,730
01262203,ワイド,11 - 13,400
01262203,ワイド,5 - 11,800
01262203,馬単,13 → 5,3280
01262203,三連複,5 - 11 - 13,2720
01262203,三連単,13 → 5 → 11,13190
01262204,単勝,12,600
01262204,複勝,12,150
01262204,複勝,8,120
01262204,複勝,16,230
01262204,枠連,4 - 6,620
01262204,馬連,8 - 12,780
01262204,ワイド,8 - 12,340
01262204,ワイド,12 - 16,870
01262204,ワイド,8 - 16,540
01262204,馬単,12 → 8,2100
01262204,三連複,8 - 12 - 16,2710
01262204,三連単,12 → 8 → 16,16060
01262205,単勝,3,200
01262205,複勝,3,170
01262205,複勝,1,470
01262205,馬連,1 - 3,1660
01262205,ワイド,1 - 3,500
01262205,ワイド,2 - 3,270
01262205,ワイド,1 - 2,1100
01262205,馬単,3 → 1,2100
01262205,三連複,1 - 2 - 3,2200
01262205,三連単,3 → 1 → 2,9120
01262206,単勝,12,4060
01262206,複勝,12,630
01262206,複勝,2,160
01262206,複勝,5,570
01262206,枠連,2 - 7,2980
01262206,馬連,2 - 12,3770
01262206,ワイド,2 - 12,1460
01262206,ワイド,5 - 12,6090
01262206,ワイド,2 - 5,1630
01262206,馬単,12 → 2,17320
01262206,三連複,2 - 5 - 12,31150
01262206,三連単,12 → 2 → 5,363500
01262207,単勝,5,950
01262207,複勝,5,300
01262207,複勝,10,150
01262207,複勝,6,510
01262207,枠連,5 - 8,2350
01262207,馬連,5 - 10,2200
01262207,ワイド,5 - 10,750
01262207,ワイド,5 - 6,2480
01262207,ワイド,6 - 10,1460
01262207,馬単,5 → 10,5250
01262207,三連複,5 - 6 - 10,13310
01262207,三連単,5 → 10 → 6,85460
01262208,単勝,8,240
01262208,複勝,8,130
01262208,複勝,9,120
01262208,複勝,7,160
01262208,枠連,7 - 7,500
01262208,馬連,8 - 9,500
01262208,ワイド,8 - 9,230
01262208,ワイド,7 - 8,340
01262208,ワイド,7 - 9,310
01262208,馬単,8 → 9,800
01262208,三連複,7 - 8 - 9,870
01262208,三連単,8 → 9 → 7,3110
01262209,単勝,13,540
01262209,複勝,13,260
01262209,複勝,2,240
01262209,複勝,6,1210
01262209,枠連,2 - 8,2130
01262209,馬連,2 - 13,2380
01262209,ワイド,2 - 13,880
01262209,ワイド,6 - 13,4500
01262209,ワイド,2 - 6,5770
01262209,馬単,13 → 2,4110
01262209,三連複,2 - 6 - 13,38100
01262209,三連単,13 → 2 → 6,162640
01262210,単勝,13,8650
01262210,複勝,13,2090
01262210,複勝,1,280
01262210,複勝,11,220
01262210,枠連,1 - 8,11640
01262210,馬連,1 - 13,45860
01262210,ワイド,1 - 13,10530
01262210,ワイド,11 - 13,9000
01262210,ワイド,1 - 11,930
01262210,馬単,13 → 1,89680
01262210,三連複,1 - 11 - 13,79990
01262210,三連単,13 → 1 → 11,828700
01262211,単勝,14,1290
01262211,複勝,14,300
01262211,複勝,3,110
01262211,複勝,8,270
01262211,枠連,2 - 7,420
01262211,馬連,3 - 14,1520
01262211,ワイド,3 - 14,590
01262211,ワイド,8 - 14,1720
01262211,ワイド,3 - 8,480
01262211,馬単,14 → 3,4700
01262211,三連複,3 - 8 - 14,4540
01262211,三連単,14 → 3 → 8,36780
01262212,単勝,12,430
01262212,複勝,12,250
01262212,複勝,2,940
01262212,複勝,14,260
01262212,枠連,2 - 7,11830
01262212,馬連,2 - 12,12070
01262212,ワイド,2 - 12,3310
01262212,ワイド,12 - 14,760
01262212,ワイド,2 - 14,4760
01262212,馬単,12 → 2,15710
01262212,三連複,2 - 12 - 14,32590
01262212,三連単,12 → 2 → 14,141670
04263201,単勝,12,110
04263201,複勝,12,100
04263201,複勝,9,280
04263201,複勝,10,290
04263201,枠連,7 - 8,590
04263201,馬連,9 - 12,760
04263201,ワイド,9 - 12,400
04263201,ワイド,10 - 12,480
04263201,ワイド,9 - 10,3350
04263201,馬単,12 → 9,840
