26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,ワンダーアスク,牝,3,川又賢治,55.0,13,,1,,,-0.3,,,,,8,7,3,1,37.7,440,笹田和秀,,580,23103191,,,0126260107,,,オルフェーヴル,,デヒア,,,19.4,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,テンレッドサン,牝,3,丹内祐次,55.0,13,,2,,,0.3,,,,,7,8,7,5,37.4,442,西園翔太,,230,23104101,,,0126260102,,,,,,,,5.8,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,ウォータースパウト,牝,3,吉田隼人,55.0,13,,3,,,0.4,,,,,4,4,4,3,38.0,470,小笠倫弘,,150,23105555,,,0126260106,,,,,,,,5.6,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,エリカビアリッツ,牝,3,鮫島克駿,55.0,13,,4,,,0.5,,,,,11,11,11,7,37.1,446,堀宣行,,87,23102608,,,0126260103,,,キズナ,,War Front?(米),,,3.2,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,クリコイーコ,牝,3,遠藤汰月,52.0,13,,5,,,1.0,,,,,5,5,5,4,38.5,454,荒川義之,,58,23100786,,,0126260108,,,,,,,,17.3,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,サンセリテ,牝,3,長浜鴻緒,54.0,13,,6,,,1.0,,,,,13,12,12,9,37.3,456,鹿戸雄一,,0,23107068,,,0126260105,,,コントレイル,,ストリートセンス,,,16.4,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,ルージュエピック,牝,3,松本大輝,55.0,13,,7,,,1.1,,,,,9,10,8,6,38.1,484,田中克典,,0,23106616,,,0126260101,,,,,,,,68.3,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,セラサイト,牝,3,横山武史,55.0,13,,8,,,1.5,,,,,3,3,2,2,39.3,492,茶木太樹,,0,23107306,,,0126260110,,,,,,,,4.3,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,サマースプラッシュ,牝,3,和田陽希,52.0,13,,9,,,1.8,,,,,12,13,13,13,37.2,504,石栗龍彦,,0,23106163,,,0126260113,,,,,,,,365.1,,,
26,09,06,,札幌,,,３歳未勝利 2回 札幌 6日目 サラ系３歳 未勝利 牝[指] 馬齢 13頭,,ダ,,1700,稍,シンデレラカラー,牝,3,原田和真,55.0,13,,10,,,3.6,,,,,10,9,10,11,40.4,454,加藤和宏,,0,23101778,,,0126260109,,,ビーチパトロール,,マンハッタンカフェ,,,287.4,,,
