raceid,kind,combo,payout
01261401,単勝,5,3130
01261401,複勝,5,570
01261401,複勝,1,130
01261401,複勝,8,130
01261401,枠連,1 - 4,650
01261401,馬連,1 - 5,5770
01261401,ワイド,1 - 5,1530
01261401,ワイド,5 - 8,1220
01261401,ワイド,1 - 8,220
01261401,馬単,5 → 1,15460
01261401,三連複,1 - 5 - 8,5140
01261401,三連単,5 → 1 → 8,61490
01261402,単勝,8,390
01261402,複勝,8,160
01261402,複勝,11,190
01261402,複勝,10,500
01261402,枠連,5 - 7,680
01261402,馬連,8 - 11,1170
01261402,ワイド,8 - 11,410
01261402,ワイド,8 - 10,1170
01261402,ワイド,10 - 11,1340
01261402,馬単,8 → 11,1970
01261402,三連複,8 - 10 - 11,6680
01261402,三連単,8 → 11 → 10,26300
01261403,単勝,3,150
01261403,複勝,3,110
01261403,複勝,8,110
01261403,複勝,5,200
01261403,枠連,3 - 7,150
01261403,馬連,3 - 8,180
01261403,ワイド,3 - 8,120
01261403,ワイド,3 - 5,510
01261403,ワイド,5 - 8,630
01261403,馬単,3 → 8,230
01261403,三連複,3 - 5 - 8,920
01261403,三連単,3 → 8 → 5,2260
01261404,単勝,10,3750
01261404,複勝,10,490
01261404,複勝,5,110
01261404,複勝,6,240
01261404,枠連,4 - 7,1200
01261404,馬連,5 - 10,2040
01261404,ワイド,5 - 10,830
01261404,ワイド,6 - 10,2210
01261404,ワイド,5 - 6,410
01261404,馬単,10 → 5,7900
01261404,三連複,5 - 6 - 10,4710
01261404,三連単,10 → 5 → 6,62030
01261405,単勝,2,280
01261405,複勝,2,130
01261405,複勝,7,210
01261405,複勝,3,150
01261405,枠連,2 - 7,1430
01261405,馬連,2 - 7,1410
01261405,ワイド,2 - 7,470
01261405,ワイド,2 - 3,270
01261405,ワイド,3 - 7,640
01261405,馬単,2 → 7,2380
01261405,三連複,2 - 3 - 7,2210
01261405,三連単,2 → 7 → 3,11370
01261406,単勝,10,840
01261406,複勝,10,280
01261406,複勝,1,960
01261406,複勝,2,250
01261406,枠連,1 - 8,8460
01261406,馬連,1 - 10,15050
01261406,ワイド,1 - 10,3380
01261406,ワイド,2 - 10,1360
01261406,ワイド,1 - 2,3390
01261406,馬単,10 → 1,23480
01261406,三連複,1 - 2 - 10,29960
01261406,三連単,10 → 1 → 2,142400
01261407,単勝,4,3440
01261407,複勝,4,810
01261407,複勝,9,290
01261407,複勝,12,920
01261407,枠連,4 - 7,7960
01261407,馬連,4 - 9,7590
01261407,ワイド,4 - 9,1950
01261407,ワイド,4 - 12,5340
01261407,ワイド,9 - 12,1470
01261407,馬単,4 → 9,18560
