raceid,kind,combo,payout
01261701,単勝,3,210
01261701,複勝,3,130
01261701,複勝,12,240
01261701,複勝,1,1100
01261701,枠連,3-7,1190
01261701,馬連,3-12,1020
01261701,ワイド,3-12,500
01261701,ワイド,1-3,2460
01261701,ワイド,1-12,4710
01261701,馬単,3-12,1640
01261701,三連複,1-3-12,16240
01261701,三連単,3-12-1,47140
01261702,単勝,9,140
01261702,複勝,9,110
01261702,複勝,2,160
01261702,複勝,8,210
01261702,枠連,2-8,540
01261702,馬連,2-9,680
01261702,ワイド,2-9,260
01261702,ワイド,8-9,330
01261702,ワイド,2-8,790
01261702,馬単,9-2,720
01261702,三連複,2-8-9,1770
01261702,三連単,9-2-8,3510
01261703,単勝,11,710
01261703,複勝,11,200
01261703,複勝,1,240
01261703,複勝,10,290
01261703,枠連,1-8,970
01261703,馬連,1-11,2670
01261703,ワイド,1-11,740
01261703,ワイド,10-11,870
01261703,ワイド,1-10,1380
01261703,馬単,11-1,4850
01261703,三連複,1-10-11,6920
01261703,三連単,11-1-10,36470
01261704,単勝,12,850
01261704,複勝,12,280
01261704,複勝,3,170
01261704,複勝,7,370
01261704,枠連,3-8,1590
01261704,馬連,3-12,2160
01261704,ワイド,3-12,840
01261704,ワイド,7-12,1990
01261704,ワイド,3-7,950
01261704,馬単,12-3,4770
01261704,三連複,3-7-12,8560
01261704,三連単,12-3-7,43000
01261705,単勝,5,270
01261705,複勝,5,130
01261705,複勝,1,150
01261705,複勝,2,340
01261705,枠連,1-5,560
01261705,馬連,1-5,580
01261705,ワイド,1-5,270
01261705,ワイド,2-5,840
01261705,ワイド,1-2,870
01261705,馬単,5-1,930
01261705,三連複,1-2-5,2120
01261705,三連単,5-1-2,6060
01261706,単勝,7,400
01261706,複勝,7,170
01261706,複勝,11,320
01261706,複勝,8,260
01261706,枠連,5-7,1550
01261706,馬連,7-11,2050
01261706,ワイド,7-11,720
01261706,ワイド,7-8,690
01261706,ワイド,8-11,1430
01261706,馬単,7-11,3580
01261706,三連複,7-8-11,5300
01261706,三連単,7-11-8,31160
01261707,単勝,4,1930
01261707,複勝,4,470
01261707,複勝,5,440
01261707,複勝,9,180
01261707,枠連,3-3,11000
01261707,馬連,4-5,12090
01261707,ワイド,4-5,3120
