raceid,kind,combo,payout
01261501,単勝,6,280
01261501,複勝,6,130
01261501,複勝,10,290
01261501,複勝,3,350
01261501,枠連,4-6,1170
01261501,馬連,6-10,1710
01261501,ワイド,6-10,680
01261501,ワイド,3-6,580
01261501,ワイド,3-10,3130
01261501,馬単,6-10,2860
01261501,三連複,3-6-10,6160
01261501,三連単,6-10-3,24430
01261502,単勝,7,300
01261502,複勝,7,150
01261502,複勝,10,580
01261502,複勝,11,420
01261502,枠連,5-7,1940
01261502,馬連,7-10,4500
01261502,ワイド,7-10,1420
01261502,ワイド,7-11,1010
01261502,ワイド,10-11,3910
01261502,馬単,7-10,7390
01261502,三連複,7-10-11,15680
01261502,三連単,7-10-11,72110
01261503,単勝,14,460
01261503,複勝,14,240
01261503,複勝,10,230
01261503,複勝,11,340
01261503,枠連,6-8,740
01261503,馬連,10-14,1360
01261503,ワイド,10-14,580
01261503,ワイド,11-14,1870
01261503,ワイド,10-11,1450
01261503,馬単,14-10,2520
01261503,三連複,10-11-14,9480
01261503,三連単,14-10-11,32520
01261504,単勝,4,690
01261504,複勝,4,200
01261504,複勝,13,180
01261504,複勝,2,200
01261504,枠連,3-8,1040
01261504,馬連,4-13,1980
01261504,ワイド,4-13,720
01261504,ワイド,2-4,760
01261504,ワイド,2-13,690
01261504,馬単,4-13,4040
01261504,三連複,2-4-13,3540
01261504,三連単,4-13-2,24550
01261505,単勝,5,510
01261505,複勝,5,160
01261505,複勝,6,240
01261505,複勝,9,350
01261505,枠連,5-5,1760
01261505,馬連,5-6,1650
01261505,ワイド,5-6,650
01261505,ワイド,5-9,1140
01261505,ワイド,6-9,1280
01261505,馬単,5-6,2920
01261505,三連複,5-6-9,8240
01261505,三連単,5-6-9,28020
01261506,単勝,12,500
01261506,複勝,12,140
01261506,複勝,11,130
01261506,複勝,4,130
01261506,枠連,6-6,830
01261506,馬連,11-12,840
01261506,ワイド,11-12,300
01261506,ワイド,4-12,460
01261506,ワイド,4-11,280
01261506,馬単,12-11,1820
01261506,三連複,4-11-12,1210
01261506,三連単,12-11-4,6930
01261507,単勝,6,680
01261507,複勝,6,220
01261507,複勝,5,860
01261507,複勝,4,280
01261507,枠連,5-5,9820
01261507,馬連,5-6,7500
01261507,ワイド,5-6,2250
01261507,ワイド,4-6,900
01261507,ワイド,4-5,2560
01261507,馬単,6-5,11390
01261507,三連複,4-5-6,15970
01261507,三連単,6-5-4,106860
01261508,単勝,16,4020
01261508,複勝,16,1120
01261508,複勝,1,790
01261508,複勝,12,570
01261508,枠連,1-8,6280
01261508,馬連,1-16,47810
01261508,ワイド,1-16,11210
01261508,ワイド,12-16,5160
01261508,ワイド,1-12,4400
01261508,馬単,16-1,85160
01261508,三連複,1-12-16,131380
01261508,三連単,16-1-12,980260
01261509,単勝,14,600
01261509,複勝,14,190
01261509,複勝,10,580
01261509,複勝,12,650
01261509,枠連,6-8,2670
01261509,馬連,10-14,5300
01261509,ワイド,10-14,1540
01261509,ワイド,12-14,1240
01261509,ワイド,10-12,4260
01261509,馬単,14-10,7210
01261509,三連複,10-12-14,20020
01261509,三連単,14-10-12,96430
01261510,単勝,8,250
01261510,複勝,8,140
01261510,複勝,5,210
01261510,複勝,3,360
01261510,馬連,5-8,1060
01261510,ワイド,5-8,440
01261510,ワイド,3-8,800
01261510,ワイド,3-5,1120
01261510,馬単,8-5,1680
01261510,三連複,3-5-8,4810
01261510,三連単,8-5-3,16380
01261511,単勝,3,500
01261511,複勝,3,200
01261511,複勝,11,190
01261511,複勝,5,170
01261511,枠連,3-8,1330
01261511,馬連,3-11,2020
01261511,ワイド,3-11,710
01261511,ワイド,3-5,530
01261511,ワイド,5-11,540
01261511,馬単,3-11,3550
01261511,三連複,3-5-11,2950
01261511,三連単,3-11-5,19010
01261512,単勝,10,620
01261512,複勝,10,170
01261512,複勝,11,140
01261512,複勝,9,170
01261512,枠連,7-7,910
01261512,馬連,10-11,860
01261512,ワイド,10-11,340
01261512,ワイド,9-10,820
01261512,ワイド,9-11,350
01261512,馬単,10-11,2140
01261512,三連複,9-10-11,1850
01261512,三連単,10-11-9,12190
04262501,単勝,13,190
04262501,複勝,13,110
04262501,複勝,8,270
04262501,複勝,2,390
04262501,枠連,6-8,790
04262501,馬連,8-13,1070
04262501,ワイド,8-13,470
04262501,ワイド,2-13,670
04262501,ワイド,2-8,1990
04262501,馬単,13-8,1450
04262501,三連複,2-8-13,4520
04262501,三連単,13-8-2,12520
04262502,単勝,3,200
04262502,複勝,3,110
04262502,複勝,7,130
04262502,複勝,5,420
04262502,枠連,3-7,330
04262502,馬連,3-7,360
04262502,ワイド,3-7,180
04262502,ワイド,3-5,890
04262502,ワイド,5-7,1210
04262502,馬単,3-7,630
04262502,三連複,3-5-7,2570
04262502,三連単,3-7-5,6950
04262503,単勝,6,430
04262503,複勝,6,180
04262503,複勝,11,790
04262503,複勝,12,220
04262503,枠連,5-8,1690
04262503,馬連,6-11,6950
04262503,ワイド,6-11,1640
04262503,ワイド,6-12,640
04262503,ワイド,11-12,3740
04262503,馬単,6-11,9520
04262503,三連複,6-11-12,17500
04262503,三連単,6-11-12,95350
04262504,単勝,13,360
04262504,複勝,13,220
04262504,複勝,9,530
04262504,複勝,1,650
04262504,枠連,5-7,2150
04262504,馬連,9-13,3850
04262504,ワイド,9-13,1240
04262504,ワイド,1-13,1770
04262504,ワイド,1-9,6530
04262504,馬単,13-9,6750
04262504,三連複,1-9-13,33320
04262504,三連単,13-9-1,121940
04262505,単勝,11,190
04262505,複勝,11,110
04262505,複勝,5,970
04262505,複勝,1,930
04262505,枠連,3-6,500
04262505,馬連,5-11,8230
04262505,ワイド,5-11,2290
04262505,ワイド,1-11,2540
04262505,ワイド,1-5,17610
04262505,馬単,11-5,7130
04262505,三連複,1-5-11,65100
04262505,三連単,11-5-1,178280
04262506,単勝,8,150
04262506,複勝,8,110
04262506,複勝,2,110
04262506,複勝,10,180
04262506,枠連,2-7,170
04262506,馬連,2-8,170
04262506,ワイド,2-8,120
04262506,ワイド,8-10,390
04262506,ワイド,2-10,360
04262506,馬単,8-2,230
04262506,三連複,2-8-10,680
04262506,三連単,8-2-10,1610
04262507,単勝,4,310
04262507,複勝,4,160
04262507,複勝,11,730
04262507,複勝,6,300
04262507,枠連,2-6,3940
04262507,馬連,4-11,9880
04262507,ワイド,4-11,2790
04262507,ワイド,4-6,820
04262507,ワイド,6-11,5170
04262507,馬単,4-11,13720
04262507,三連複,4-6-11,24670
04262507,三連単,4-11-6,129850
04262508,単勝,5,240
04262508,複勝,5,110
04262508,複勝,7,110
04262508,複勝,2,110
04262508,枠連,5-7,310
04262508,馬連,5-7,320
04262508,ワイド,5-7,140
04262508,ワイド,2-5,170
04262508,ワイド,2-7,190
04262508,馬単,5-7,510
04262508,三連複,2-5-7,240
04262508,三連単,5-7-2,1010
04262509,単勝,4,500
04262509,複勝,4,170
04262509,複勝,9,220
04262509,複勝,5,250
04262509,枠連,3-5,1300
04262509,馬連,4-9,1750
04262509,ワイド,4-9,700
04262509,ワイド,4-5,1130
04262509,ワイド,5-9,1670
04262509,馬単,4-9,3460
04262509,三連複,4-5-9,8400
04262509,三連単,4-9-5,36250
04262510,単勝,2,290
04262510,複勝,2,120
04262510,複勝,4,120
04262510,複勝,1,110
04262510,枠連,2-4,440
04262510,馬連,2-4,460
04262510,ワイド,2-4,210
04262510,ワイド,1-2,190
04262510,ワイド,1-4,170
04262510,馬単,2-4,890
04262510,三連複,1-2-4,370
04262510,三連単,2-4-1,2150
04262511,単勝,17,2310
04262511,複勝,17,450
04262511,複勝,18,160
04262511,複勝,13,330
04262511,枠連,8-8,1560
04262511,馬連,17-18,2680
04262511,ワイド,17-18,970
04262511,ワイド,13-17,2030
04262511,ワイド,13-18,690
04262511,馬単,17-18,6890
04262511,三連複,13-17-18,6590
04262511,三連単,17-18-13,50530
04262512,単勝,3,380
04262512,複勝,3,170
04262512,複勝,8,110
04262512,複勝,13,980
04262512,枠連,2-4,500
04262512,馬連,3-8,490
04262512,ワイド,3-8,270
04262512,ワイド,3-13,3980
04262512,ワイド,8-13,2510
04262512,馬単,3-8,1160
04262512,三連複,3-8-13,11080
04262512,三連単,3-8-13,44540
07262501,単勝,9,140
07262501,複勝,9,100
07262501,複勝,1,120
07262501,複勝,4,100
07262501,枠連,1-8,550
07262501,馬連,1-9,490
07262501,ワイド,1-9,170
07262501,ワイド,4-9,130
07262501,ワイド,1-4,310
07262501,馬単,9-1,550
07262501,三連複,1-4-9,410
07262501,三連単,9-1-4,1240
07262502,単勝,3,270
07262502,複勝,3,180
07262502,複勝,2,500
07262502,馬連,2-3,1460
07262502,ワイド,2-3,450
07262502,ワイド,3-6,300
07262502,ワイド,2-6,650
07262502,馬単,3-2,2180
07262502,三連複,2-3-6,1250
07262502,三連単,3-2-6,7820
07262503,単勝,2,660
07262503,複勝,2,160
07262503,複勝,8,110
07262503,複勝,10,190
07262503,枠連,1-4,560
07262503,馬連,2-8,610
07262503,ワイド,2-8,240
07262503,ワイド,2-10,780
07262503,ワイド,8-10,330
07262503,馬単,2-8,1580
07262503,三連複,2-8-10,1620
07262503,三連単,2-8-10,9010
07262504,単勝,5,320
07262504,複勝,5,190
07262504,複勝,8,610
07262504,複勝,2,1410
07262504,枠連,3-4,540
07262504,馬連,5-8,4520
07262504,ワイド,5-8,1320
07262504,ワイド,2-5,3600
07262504,ワイド,2-8,18870
07262504,馬単,5-8,6930
07262504,三連複,2-5-8,61160
07262504,三連単,5-8-2,191380
07262505,単勝,3,110
07262505,複勝,3,100
07262505,複勝,4,200
07262505,複勝,5,130
07262505,馬連,3-4,1160
07262505,ワイド,3-4,490
07262505,ワイド,3-5,200
07262505,ワイド,4-5,810
07262505,馬単,3-4,1510
07262505,三連複,3-4-5,1300
07262505,三連単,3-4-5,3870
07262506,単勝,4,360
07262506,複勝,4,170
07262506,複勝,8,190
07262506,複勝,10,460
07262506,枠連,4-7,930
07262506,馬連,4-8,910
07262506,ワイド,4-8,400
07262506,ワイド,4-10,1170
07262506,ワイド,8-10,1480
07262506,馬単,4-8,1540
07262506,三連複,4-8-10,4880
07262506,三連単,4-8-10,15800
07262507,単勝,3,360
07262507,複勝,3,160
07262507,複勝,5,890
07262507,複勝,8,350
07262507,馬連,3-5,7440
07262507,ワイド,3-5,1900
07262507,ワイド,3-8,910
07262507,ワイド,5-8,3890
07262507,馬単,3-5,10390
07262507,三連複,3-5-8,18500
07262507,三連単,3-5-8,91740
07262508,単勝,9,170
07262508,複勝,9,110
07262508,複勝,3,720
07262508,複勝,10,180
07262508,枠連,3-7,2900
07262508,馬連,3-9,3440
07262508,ワイド,3-9,1250
07262508,ワイド,9-10,290
07262508,ワイド,3-10,2540
07262508,馬単,9-3,4390
07262508,三連複,3-9-10,5230
07262508,三連単,9-3-10,26110
07262509,単勝,3,580
07262509,複勝,3,230
07262509,複勝,10,1310
07262509,複勝,4,440
07262509,枠連,3-8,4920
07262509,馬連,3-10,8870
07262509,ワイド,3-10,2240
07262509,ワイド,3-4,1050
07262509,ワイド,4-10,5400
07262509,馬単,3-10,15180
07262509,三連複,3-4-10,29410
07262509,三連単,3-10-4,143990
07262510,単勝,15,640
07262510,複勝,15,190
07262510,複勝,4,150
07262510,複勝,16,210
