raceid,kind,combo,payout
01261101,単勝,7,380
01261101,複勝,7,120
01261101,複勝,5,110
01261101,複勝,3,110
01261101,馬連,5-7,520
01261101,ワイド,5-7,250
01261101,ワイド,3-7,210
01261101,ワイド,3-5,230
01261101,馬単,7-5,1140
01261101,三連複,3-5-7,560
01261101,三連単,7-5-3,2880
01261102,単勝,5,360
01261102,複勝,5,140
01261102,複勝,8,160
01261102,複勝,7,1750
01261102,馬連,5-8,670
01261102,ワイド,5-8,230
01261102,ワイド,5-7,3000
01261102,ワイド,7-8,4430
01261102,馬単,5-8,1320
01261102,三連複,5-7-8,14760
01261102,三連単,5-8-7,48900
01261103,単勝,3,240
01261103,複勝,3,110
01261103,複勝,8,130
01261103,複勝,6,120
01261103,枠連,3-7,600
01261103,馬連,3-8,630
01261103,ワイド,3-8,220
01261103,ワイド,3-6,180
01261103,ワイド,6-8,260
01261103,馬単,3-8,1040
01261103,三連複,3-6-8,580
01261103,三連単,3-8-6,2440
01261104,単勝,11,290
01261104,複勝,11,120
01261104,複勝,6,160
01261104,複勝,4,140
01261104,枠連,4-7,860
01261104,馬連,6-11,760
01261104,ワイド,6-11,250
01261104,ワイド,4-11,250
01261104,ワイド,4-6,410
01261104,馬単,11-6,1560
01261104,三連複,4-6-11,1130
01261104,三連単,11-6-4,5110
01261105,単勝,1,280
01261105,複勝,1,130
01261105,複勝,3,110
01261105,馬連,1-3,220
01261105,ワイド,1-3,130
01261105,ワイド,1-2,190
01261105,ワイド,2-3,180
01261105,馬単,1-3,650
01261105,三連複,1-2-3,320
01261105,三連単,1-3-2,1540
01261106,単勝,9,3530
01261106,複勝,9,660
01261106,複勝,10,170
01261106,複勝,4,400
01261106,枠連,6-6,6570
01261106,馬連,9-10,7480
01261106,ワイド,9-10,2170
01261106,ワイド,4-9,4200
01261106,ワイド,4-10,1080
01261106,馬単,9-10,19290
01261106,三連複,4-9-10,22300
01261106,三連単,9-10-4,151430
01261107,単勝,13,6120
01261107,複勝,13,970
01261107,複勝,7,190
01261107,複勝,2,320
01261107,枠連,4-7,750
01261107,馬連,7-13,10910
01261107,ワイド,7-13,3570
01261107,ワイド,2-13,6340
01261107,ワイド,2-7,900
01261107,馬単,13-7,39370
01261107,三連複,2-7-13,29830
01261107,三連単,13-7-2,333140
01261108,単勝,7,200
01261108,複勝,7,110
01261108,複勝,6,720
01261108,複勝,5,230
01261108,枠連,5-6,810
01261108,馬連,6-7,5310
01261108,ワイド,6-7,1470
01261108,ワイド,5-7,380
01261108,ワイド,5-6,2890
01261108,馬単,7-6,7680
01261108,三連複,5-6-7,8450
01261108,三連単,7-6-5,40040
01261109,単勝,1,2470
01261109,複勝,1,610
01261109,複勝,8,1590
01261109,複勝,10,230
01261109,枠連,1-7,11600
01261109,馬連,1-8,63340
01261109,ワイド,1-8,12270
01261109,ワイド,1-10,2130
01261109,ワイド,8-10,5980
01261109,馬単,1-8,99580
01261109,三連複,1-8-10,100500
01261109,三連単,1-8-10,1109410
01261110,単勝,5,1050
01261110,複勝,5,330
01261110,複勝,7,170
01261110,複勝,3,730
01261110,枠連,5-6,1320
01261110,馬連,5-7,2630
01261110,ワイド,5-7,910
01261110,ワイド,3-5,3740
01261110,ワイド,3-7,1660
01261110,馬単,5-7,5680
01261110,三連複,3-5-7,16300
01261110,三連単,5-7-3,91480
01261111,単勝,7,210
01261111,複勝,7,120
01261111,複勝,5,180
01261111,複勝,3,160
01261111,枠連,5-6,810
01261111,馬連,5-7,860
01261111,ワイド,5-7,340
01261111,ワイド,3-7,290
01261111,ワイド,3-5,620
01261111,馬単,7-5,1260
01261111,三連複,3-5-7,1540
01261111,三連単,7-5-3,4850
01261112,単勝,5,360
01261112,複勝,5,120
01261112,複勝,9,140
01261112,複勝,8,110
01261112,枠連,5-7,340
01261112,馬連,5-9,1290
01261112,ワイド,5-9,390
01261112,ワイド,5-8,180
01261112,ワイド,8-9,240
01261112,馬単,5-9,2250
01261112,三連複,5-8-9,600
01261112,三連単,5-9-8,5990
04262101,単勝,10,220
04262101,複勝,10,110
04262101,複勝,2,120
04262101,複勝,7,130
04262101,枠連,2-8,400
04262101,馬連,2-10,450
04262101,ワイド,2-10,170
04262101,ワイド,7-10,260
04262101,ワイド,2-7,300
04262101,馬単,10-2,740
04262101,三連複,2-7-10,760
04262101,三連単,10-2-7,2860
04262102,単勝,12,3040
04262102,複勝,12,560
04262102,複勝,11,180
04262102,複勝,8,370
04262102,枠連,7-7,4150
04262102,馬連,11-12,4520
04262102,ワイド,11-12,1510
04262102,ワイド,8-12,3680
04262102,ワイド,8-11,1250
04262102,馬単,12-11,14250
04262102,三連複,8-11-12,19070
04262102,三連単,12-11-8,118840
04262103,単勝,4,1630
04262103,複勝,4,190
04262103,複勝,1,110
04262103,複勝,8,270
04262103,馬連,1-4,750
04262103,ワイド,1-4,320
04262103,ワイド,4-8,1500
04262103,ワイド,1-8,410
04262103,馬単,4-1,3250
04262103,三連複,1-4-8,2560
04262103,三連単,4-1-8,26340
04262104,単勝,3,330
04262104,複勝,3,140
04262104,複勝,15,170
04262104,複勝,4,180
04262104,枠連,2-8,340
04262104,馬連,3-15,760
04262104,ワイド,3-15,340
04262104,ワイド,3-4,440
04262104,ワイド,4-15,590
04262104,馬単,3-15,1200
04262104,三連複,3-4-15,2060
04262104,三連単,3-15-4,7080
04262105,単勝,5,330
04262105,複勝,5,130
04262105,複勝,7,120
04262105,複勝,11,140
04262105,枠連,5-6,640
04262105,馬連,5-7,620
04262105,ワイド,5-7,240
04262105,ワイド,5-11,260
04262105,ワイド,7-11,290
04262105,馬単,5-7,950
04262105,三連複,5-7-11,750
04262105,三連単,5-7-11,2780
04262106,単勝,7,1040
04262106,複勝,7,220
04262106,複勝,9,160
04262106,複勝,14,130
04262106,枠連,4-5,1350
04262106,馬連,7-9,1720
04262106,ワイド,7-9,600
04262106,ワイド,7-14,560
04262106,ワイド,9-14,330
04262106,馬単,7-9,4250
04262106,三連複,7-9-14,2100
04262106,三連単,7-9-14,15030
04262107,単勝,6,950
04262107,複勝,6,310
04262107,複勝,1,370
04262107,複勝,3,350
04262107,枠連,1-3,840
04262107,馬連,1-6,4820
04262107,ワイド,1-6,1750
04262107,ワイド,3-6,1700
04262107,ワイド,1-3,1840
04262107,馬単,6-1,9540
04262107,三連複,1-3-6,18940
04262107,三連単,6-1-3,94610
04262108,単勝,6,580
04262108,複勝,6,200
04262108,複勝,10,200
04262108,複勝,2,690
04262108,枠連,5-7,520
04262108,馬連,6-10,1350
04262108,ワイド,6-10,560
04262108,ワイド,2-6,2310
04262108,ワイド,2-10,2040
04262108,馬単,6-10,3070
04262108,三連複,2-6-10,13640
04262108,三連単,6-10-2,69720
04262109,単勝,8,900
04262109,複勝,8,240
04262109,複勝,4,190
04262109,複勝,10,620
04262109,枠連,4-7,610
04262109,馬連,4-8,1910
04262109,ワイド,4-8,670
04262109,ワイド,8-10,3470
04262109,ワイド,4-10,1940
04262109,馬単,8-4,3860
04262109,三連複,4-8-10,16660
04262109,三連単,8-4-10,84440
04262110,単勝,9,450
04262110,複勝,9,150
04262110,複勝,8,210
04262110,複勝,12,150
04262110,枠連,5-5,1490
04262110,馬連,8-9,1800
04262110,ワイド,8-9,630
04262110,ワイド,9-12,310
04262110,ワイド,8-12,750
04262110,馬単,9-8,2750
04262110,三連複,8-9-12,2720
04262110,三連単,9-8-12,14100
04262111,単勝,4,1030
04262111,複勝,4,350
04262111,複勝,8,1940
04262111,複勝,2,1320
04262111,枠連,2-4,11010
04262111,馬連,4-8,51750
04262111,ワイド,4-8,10730
04262111,ワイド,2-4,6930
04262111,ワイド,2-8,21490
04262111,馬単,4-8,92370
04262111,三連複,2-4-8,262810
04262111,三連単,4-8-2,2060140
04262112,単勝,7,3460
04262112,複勝,7,840
04262112,複勝,13,820
04262112,複勝,12,300
04262112,枠連,4-7,11770
04262112,馬連,7-13,55370
04262112,ワイド,7-13,12350
04262112,ワイド,7-12,5240
04262112,ワイド,12-13,5820
04262112,馬単,7-13,97730
04262112,三連複,7-12-13,189090
04262112,三連単,7-13-12,2129880
07262101,単勝,1,250
07262101,複勝,1,220
07262101,複勝,6,280
07262101,複勝,3,320
07262101,枠連,1-6,710
07262101,馬連,1-6,700
07262101,ワイド,1-6,280
07262101,ワイド,1-3,360
07262101,ワイド,3-6,330
07262101,馬単,1-6,1100
07262101,三連複,1-3-6,810
07262101,三連単,1-6-3,3770
07262102,単勝,11,190
07262102,複勝,11,110
07262102,複勝,12,1100
07262102,複勝,1,210
07262102,枠連,7-8,1080
07262102,馬連,11-12,5050
07262102,ワイド,11-12,1770
07262102,ワイド,1-11,310
07262102,ワイド,1-12,4740
07262102,馬単,11-12,6910
07262102,三連複,1-11-12,8620
07262102,三連単,11-12-1,51840
07262103,単勝,10,260
07262103,複勝,10,130
07262103,複勝,6,130
07262103,複勝,12,200
07262103,枠連,5-7,380
07262103,馬連,6-10,480
07262103,ワイド,6-10,210
07262103,ワイド,10-12,490
07262103,ワイド,6-12,550
07262103,馬単,10-6,840
07262103,三連複,6-10-12,1370
07262103,三連単,10-6-12,5380
07262104,単勝,8,310
07262104,複勝,8,150
07262104,複勝,14,200
07262104,複勝,9,2980
07262104,枠連,4-7,650
07262104,馬連,8-14,1010
07262104,ワイド,8-14,370
07262104,ワイド,8-9,7140
07262104,ワイド,9-14,13830
07262104,馬単,8-14,1940
07262104,三連複,8-9-14,54920
07262104,三連単,8-14-9,185400
07262105,単勝,12,200
07262105,複勝,12,110
07262105,複勝,3,570
07262105,複勝,4,240
07262105,枠連,2-6,610
07262105,馬連,3-12,4790
07262105,ワイド,3-12,1490
07262105,ワイド,4-12,580
07262105,ワイド,3-4,3000
07262105,馬単,12-3,6170
07262105,三連複,3-4-12,9770
07262105,三連単,12-3-4,34750
07262106,単勝,12,460
07262106,複勝,12,220
07262106,複勝,13,220
07262106,複勝,14,630
07262106,枠連,6-7,1000
07262106,馬連,12-13,1790
07262106,ワイド,12-13,690
07262106,ワイド,12-14,1710
07262106,ワイド,13-14,1840
07262106,馬単,12-13,2720
07262106,三連複,12-13-14,9290
07262106,三連単,12-13-14,34610
07262107,単勝,1,330
07262107,複勝,1,200
07262107,複勝,10,300
07262107,複勝,7,170
07262107,枠連,1-8,1740
07262107,馬連,1-10,2230
07262107,ワイド,1-10,660
07262107,ワイド,1-7,420
07262107,ワイド,7-10,710
07262107,馬単,1-10,3190
07262107,三連複,1-7-10,2710
07262107,三連単,1-10-7,13890
07262108,単勝,8,210
07262108,複勝,8,110
07262108,複勝,1,130
07262108,複勝,2,210
07262108,馬連,1-8,380
07262108,ワイド,1-8,200
07262108,ワイド,2-8,520
07262108,ワイド,1-2,440
07262108,馬単,8-1,730
07262108,三連複,1-2-8,1180
07262108,三連単,8-1-2,3740
07262109,単勝,2,260
07262109,複勝,2,150
07262109,複勝,9,2170
07262109,複勝,12,190
07262109,枠連,1-5,5620
07262109,馬連,2-9,29330
07262109,ワイド,2-9,7580
07262109,ワイド,2-12,460
07262109,ワイド,9-12,11440
07262109,馬単,2-9,39170
07262109,三連複,2-9-12,30050
07262109,三連単,2-9-12,247350
07262110,単勝,12,790
07262110,複勝,12,180
07262110,複勝,13,180
07262110,複勝,9,130
07262110,枠連,8-8,1830
