raceid,kind,combo,payout
01262601,単勝,7,1940
01262601,複勝,7,490
01262601,複勝,2,200
01262601,複勝,6,210
01262601,枠連,2-5,1100
01262601,馬連,2-7,3490
01262601,ワイド,2-7,1280
01262601,ワイド,6-7,1340
01262601,ワイド,2-6,560
01262601,馬単,7-2,8620
01262601,三連複,2-6-7,5840
01262601,三連単,7-2-6,53930
01262602,単勝,1,750
01262602,複勝,1,160
01262602,複勝,2,120
01262602,複勝,6,130
01262602,枠連,1-2,1170
01262602,馬連,1-2,980
01262602,ワイド,1-2,370
01262602,ワイド,1-6,330
01262602,ワイド,2-6,220
01262602,馬単,1-2,2770
01262602,三連複,1-2-6,870
01262602,三連単,1-2-6,6830
01262603,単勝,12,320
01262603,複勝,12,180
01262603,複勝,8,210
01262603,複勝,14,150
01262603,枠連,5-7,1100
01262603,馬連,8-12,1110
01262603,ワイド,8-12,630
01262603,ワイド,12-14,370
01262603,ワイド,8-14,660
01262603,馬単,12-8,1990
01262603,三連複,8-12-14,1570
01262603,三連単,12-8-14,5290
01262604,単勝,2,500
01262604,複勝,2,170
01262604,複勝,14,150
01262604,複勝,8,160
01262604,枠連,1-7,870
01262604,馬連,2-14,1080
01262604,ワイド,2-14,450
01262604,ワイド,2-8,480
01262604,ワイド,8-14,350
01262604,馬単,2-14,2180
01262604,三連複,2-8-14,1840
01262604,三連単,2-14-8,11920
01262605,単勝,4,600
01262605,複勝,4,350
01262605,複勝,9,420
01262605,複勝,6,700
01262605,枠連,2-5,650
01262605,馬連,4-9,6280
01262605,ワイド,4-9,1870
01262605,ワイド,4-6,3660
01262605,ワイド,6-9,5460
01262605,馬単,4-9,7760
01262605,三連複,4-6-9,48300
01262605,三連単,4-9-6,178360
01262606,単勝,10,590
01262606,複勝,10,250
01262606,複勝,2,270
01262606,複勝,12,730
01262606,枠連,2-7,1970
01262606,馬連,2-10,2030
01262606,ワイド,2-10,710
01262606,ワイド,10-12,1990
01262606,ワイド,2-12,1790
01262606,馬単,10-2,3380
01262606,三連複,2-10-12,11350
01262606,三連単,10-2-12,54890
01262607,単勝,12,270
01262607,複勝,12,140
01262607,複勝,16,320
01262607,複勝,4,390
01262607,枠連,6-8,1500
01262607,馬連,12-16,2160
01262607,ワイド,12-16,730
01262607,ワイド,4-12,940
01262607,ワイド,4-16,3520
01262607,馬単,12-16,3050
01262607,三連複,4-12-16,11160
01262607,三連単,12-16-4,43870
01262608,単勝,11,180
01262608,複勝,11,120
01262608,複勝,2,500
01262608,複勝,5,310
01262608,枠連,2-7,2330
01262608,馬連,2-11,2210
01262608,ワイド,2-11,810
01262608,ワイド,5-11,510
