raceid,kind,combo,payout
06264701,単勝,2,530
06264701,複勝,2,160
06264701,複勝,1,520
06264701,複勝,14,140
06264701,枠連,1-2,7440
06264701,馬連,1-2,7210
06264701,ワイド,1-2,1680
06264701,ワイド,2-14,400
06264701,ワイド,1-14,1500
06264701,馬単,2-1,14150
06264701,三連複,1-2-14,5840
06264701,三連単,2-1-14,59180
06264702,単勝,8,260
06264702,複勝,8,140
06264702,複勝,4,160
06264702,複勝,10,230
06264702,枠連,3-5,650
06264702,馬連,4-8,970
06264702,ワイド,4-8,360
06264702,ワイド,8-10,560
06264702,ワイド,4-10,1310
06264702,馬単,8-4,1780
06264702,三連複,4-8-10,4070
06264702,三連単,8-4-10,13520
06264703,単勝,2,3860
06264703,複勝,2,530
06264703,複勝,8,130
06264703,複勝,5,110
06264703,枠連,2-7,8320
06264703,馬連,2-8,9930
06264703,ワイド,2-8,2100
06264703,ワイド,2-5,870
06264703,ワイド,5-8,190
06264703,馬単,2-8,24060
06264703,三連複,2-5-8,3390
06264703,三連単,2-8-5,53920
06264704,単勝,4,180
06264704,複勝,4,110
06264704,複勝,7,160
06264704,複勝,3,140
06264704,枠連,4-7,660
06264704,馬連,4-7,730
06264704,ワイド,4-7,260
06264704,ワイド,3-4,200
06264704,ワイド,3-7,430
06264704,馬単,4-7,1190
06264704,三連複,3-4-7,600
06264704,三連単,4-7-3,2330
06264705,単勝,2,550
06264705,複勝,2,230
06264705,複勝,8,210
06264705,複勝,7,610
06264705,枠連,2-5,2020
06264705,馬連,2-8,2060
06264705,ワイド,2-8,760
06264705,ワイド,2-7,2390
06264705,ワイド,7-8,2710
06264705,馬単,2-8,3770
06264705,三連複,2-7-8,18100
06264705,三連単,2-8-7,85790
06264706,単勝,1,600
06264706,複勝,1,180
06264706,複勝,5,120
06264706,複勝,2,300
06264706,馬連,1-5,550
06264706,ワイド,1-5,280
06264706,ワイド,1-2,680
06264706,ワイド,2-5,560
06264706,馬単,1-5,1410
06264706,三連複,1-2-5,1400
06264706,三連単,1-5-2,7850
06264707,単勝,7,140
06264707,複勝,7,110
06264707,複勝,12,220
06264707,複勝,14,190
06264707,枠連,5-7,770
06264707,馬連,7-12,790
06264707,ワイド,7-12,350
06264707,ワイド,7-14,290
06264707,ワイド,12-14,1220
06264707,馬単,7-12,1050
06264707,三連複,7-12-14,1520
06264707,三連単,7-12-14,4420
06264708,単勝,7,550
06264708,複勝,7,240
06264708,複勝,1,790
06264708,複勝,13,480
06264708,枠連,1-4,5230
06264708,馬連,1-7,9850
06264708,ワイド,1-7,3750
06264708,ワイド,7-13,2410
06264708,ワイド,1-13,6240
06264708,馬単,7-1,17310
06264708,三連複,1-7-13,56400
06264708,三連単,7-1-13,249290
06264709,単勝,4,1850
06264709,複勝,4,400
06264709,複勝,14,180
06264709,複勝,10,2830
06264709,枠連,2-7,580
06264709,馬連,4-14,1970
06264709,ワイド,4-14,690
06264709,ワイド,4-10,25720
06264709,ワイド,10-14,11840
06264709,馬単,4-14,8800
06264709,三連複,4-10-14,111960
06264709,三連単,4-14-10,772550
06264710,単勝,9,530
06264710,複勝,9,190
06264710,複勝,1,610
06264710,複勝,2,240
06264710,枠連,1-7,6470
06264710,馬連,1-9,9360
06264710,ワイド,1-9,2140
06264710,ワイド,2-9,780
06264710,ワイド,1-2,1760
06264710,馬単,9-1,15400
06264710,三連複,1-2-9,15180
06264710,三連単,9-1-2,114390
06264711,単勝,14,1370
06264711,複勝,14,370
06264711,複勝,3,190
06264711,複勝,12,170
06264711,枠連,2-7,2490
06264711,馬連,3-14,5320
06264711,ワイド,3-14,1740
06264711,ワイド,12-14,1450
06264711,ワイド,3-12,450
06264711,馬単,14-3,12080
06264711,三連複,3-12-14,6190
06264711,三連単,14-3-12,55440
06264712,単勝,13,190
06264712,複勝,13,130
06264712,複勝,12,290
06264712,複勝,15,200
06264712,枠連,6-7,640
06264712,馬連,12-13,1450
06264712,ワイド,12-13,660
06264712,ワイド,13-15,430
06264712,ワイド,12-15,1390
06264712,馬単,13-12,2070
06264712,三連複,12-13-15,3010
06264712,三連単,13-12-15,10100
