raceid,kind,combo,payout
06264501,単勝,9,110
06264501,複勝,9,100
06264501,複勝,5,110
06264501,複勝,1,110
06264501,枠連,5-8,390
06264501,馬連,5-9,370
06264501,ワイド,5-9,140
06264501,ワイド,1-9,110
06264501,ワイド,1-5,230
06264501,馬単,9-5,450
06264501,三連複,1-5-9,260
06264501,三連単,9-5-1,820
06264502,単勝,3,520
06264502,複勝,3,100
06264502,複勝,4,100
06264502,複勝,8,110
06264502,馬連,3-4,230
06264502,ワイド,3-4,110
06264502,ワイド,3-8,220
06264502,ワイド,4-8,140
06264502,馬単,3-4,800
06264502,三連複,3-4-8,260
06264502,三連単,3-4-8,2310
06264503,単勝,5,170
06264503,複勝,5,110
06264503,複勝,1,320
06264503,複勝,2,200
06264503,枠連,1-5,1580
06264503,馬連,1-5,1370
06264503,ワイド,1-5,500
06264503,ワイド,2-5,290
06264503,ワイド,1-2,1850
06264503,馬単,5-1,1930
06264503,三連複,1-2-5,4690
06264503,三連単,5-1-2,12500
06264504,単勝,5,1290
06264504,複勝,5,380
06264504,複勝,2,200
06264504,複勝,9,790
06264504,枠連,1-3,450
06264504,馬連,2-5,2410
06264504,ワイド,2-5,1130
06264504,ワイド,5-9,3890
06264504,ワイド,2-9,2420
06264504,馬単,5-2,5490
06264504,三連複,2-5-9,24320
06264504,三連単,5-2-9,113380
06264505,単勝,6,160
06264505,複勝,6,110
06264505,複勝,2,110
06264505,複勝,4,820
06264505,枠連,2-5,190
06264505,馬連,2-6,170
06264505,ワイド,2-6,140
06264505,ワイド,4-6,1220
06264505,ワイド,2-4,1330
06264505,馬単,6-2,290
06264505,三連複,2-4-6,2590
06264505,三連単,6-2-4,6260
06264506,単勝,10,140
06264506,複勝,10,110
06264506,複勝,12,130
06264506,複勝,3,140
06264506,枠連,7-8,250
06264506,馬連,10-12,290
06264506,ワイド,10-12,170
06264506,ワイド,3-10,240
06264506,ワイド,3-12,390
06264506,馬単,10-12,440
06264506,三連複,3-10-12,580
06264506,三連単,10-12-3,1600
06264507,単勝,14,420
06264507,複勝,14,160
06264507,複勝,6,200
06264507,複勝,4,380
06264507,枠連,4-8,580
06264507,馬連,6-14,1310
06264507,ワイド,6-14,530
06264507,ワイド,4-14,820
06264507,ワイド,4-6,2030
06264507,馬単,14-6,2150
06264507,三連複,4-6-14,8820
06264507,三連単,14-6-4,35760
06264508,単勝,6,210
06264508,複勝,6,110
06264508,複勝,1,160
06264508,複勝,13,300
06264508,枠連,1-4,530
06264508,馬連,1-6,760
06264508,ワイド,1-6,330
06264508,ワイド,6-13,750
06264508,ワイド,1-13,1940
06264508,馬単,6-1,1120
06264508,三連複,1-6-13,4010
06264508,三連単,6-1-13,11400
06264509,単勝,6,380
06264509,複勝,6,150
06264509,複勝,1,370
06264509,複勝,3,180
06264509,枠連,1-6,2130
06264509,馬連,1-6,2580
06264509,ワイド,1-6,890
06264509,ワイド,3-6,390
06264509,ワイド,1-3,1100
06264509,馬単,6-1,3660
06264509,三連複,1-3-6,3970
06264509,三連単,6-1-3,17510
06264510,単勝,11,600
06264510,複勝,11,190
06264510,複勝,1,250
06264510,複勝,2,220
06264510,枠連,1-8,1680
06264510,馬連,1-11,2670
06264510,ワイド,1-11,740
06264510,ワイド,2-11,690
06264510,ワイド,1-2,880
06264510,馬単,11-1,5610
06264510,三連複,1-2-11,4910
06264510,三連単,11-1-2,38960
06264511,単勝,1,6180
06264511,複勝,1,880
06264511,複勝,7,150
06264511,複勝,13,150
06264511,枠連,1-5,7250
06264511,馬連,1-7,9650
06264511,ワイド,1-7,2410
06264511,ワイド,1-13,2600
06264511,ワイド,7-13,280
06264511,馬単,1-7,28900
06264511,三連複,1-7-13,6950
06264511,三連単,1-7-13,130280
06264512,単勝,5,420
06264512,複勝,5,150
06264512,複勝,7,160
06264512,複勝,1,170
06264512,枠連,3-4,600
06264512,馬連,5-7,800
06264512,ワイド,5-7,350
06264512,ワイド,1-5,410
06264512,ワイド,1-7,480
06264512,馬単,5-7,1600
06264512,三連複,1-5-7,1520
06264512,三連単,5-7-1,7380
09264501,単勝,8,5440
09264501,複勝,8,1090
09264501,複勝,3,130
09264501,複勝,6,150
09264501,馬連,3-8,11030
09264501,ワイド,3-8,2140
09264501,ワイド,6-8,1800
09264501,ワイド,3-6,230
09264501,馬単,8-3,25080
09264501,三連複,3-6-8,7550
09264501,三連単,8-3-6,76460
09264502,単勝,8,150
09264502,複勝,8,110
09264502,複勝,4,130
09264502,複勝,5,150
09264502,馬連,4-8,350
09264502,ワイド,4-8,160
09264502,ワイド,5-8,200
09264502,ワイド,4-5,400
09264502,馬単,8-4,520
09264502,三連複,4-5-8,500
09264502,三連単,8-4-5,1570
09264503,単勝,8,1180
09264503,複勝,8,490
09264503,複勝,1,260
09264503,複勝,10,540
09264503,枠連,1-7,3350
09264503,馬連,1-8,4470
09264503,ワイド,1-8,1540
09264503,ワイド,8-10,3000
09264503,ワイド,1-10,1790
09264503,馬単,8-1,8810
09264503,三連複,1-8-10,24740
09264503,三連単,8-1-10,108540
09264504,単勝,8,1300
09264504,複勝,8,190
09264504,複勝,2,120
09264504,複勝,4,830
09264504,枠連,2-6,1280
09264504,馬連,2-8,1190
09264504,ワイド,2-8,380
09264504,ワイド,4-8,1410
09264504,ワイド,2-4,1360
09264504,馬単,8-2,3630
09264504,三連複,2-4-8,6420
09264504,三連単,8-2-4,40490
09264505,単勝,8,120
09264505,複勝,8,110
09264505,複勝,9,140
09264505,複勝,2,130
09264505,枠連,7-8,470
09264505,馬連,8-9,490
09264505,ワイド,8-9,200
09264505,ワイド,2-8,220
09264505,ワイド,2-9,580
09264505,馬単,8-9,570
09264505,三連複,2-8-9,1040
09264505,三連単,8-9-2,2400
09264506,単勝,10,290
09264506,複勝,10,130
09264506,複勝,5,220
09264506,複勝,3,140
09264506,枠連,5-8,1400
09264506,馬連,5-10,1490
09264506,ワイド,5-10,470
09264506,ワイド,3-10,300
09264506,ワイド,3-5,680
09264506,馬単,10-5,2550
09264506,三連複,3-5-10,1980
09264506,三連単,10-5-3,9920
09264507,単勝,2,450
09264507,複勝,2,170
09264507,複勝,4,290
09264507,複勝,5,1490
09264507,枠連,2-4,2140
09264507,馬連,2-4,2070
09264507,ワイド,2-4,710
09264507,ワイド,2-5,4000
09264507,ワイド,4-5,8690
09264507,馬単,2-4,3290
09264507,三連複,2-4-5,36510
09264507,三連単,2-4-5,129530
09264508,単勝,6,550
09264508,複勝,6,580
09264508,複勝,1,1030
09264508,馬連,1-6,1920
09264508,ワイド,1-6,290
09264508,ワイド,2-6,130
09264508,ワイド,1-2,180
09264508,馬単,6-1,3960
09264508,三連複,1-2-6,380
09264508,三連単,6-1-2,6010
09264509,単勝,8,1190
09264509,複勝,8,350
09264509,複勝,3,200
09264509,複勝,5,200
09264509,枠連,3-5,2320
09264509,馬連,3-8,3760
09264509,ワイド,3-8,970
09264509,ワイド,5-8,1450
09264509,ワイド,3-5,670
09264509,馬単,8-3,7520
09264509,三連複,3-5-8,7490
09264509,三連単,8-3-5,73760
09264510,単勝,12,24890
09264510,複勝,12,4170
09264510,複勝,4,200
09264510,複勝,8,1170
09264510,枠連,3-7,7710
09264510,馬連,4-12,85060
09264510,ワイド,4-12,14730
09264510,ワイド,8-12,50280
09264510,ワイド,4-8,1990
09264510,馬単,12-4,186200
09264510,三連複,4-8-12,689600
09264510,三連単,12-4-8,4250820
09264511,単勝,9,810
09264511,複勝,9,290
09264511,複勝,2,1640
09264511,複勝,10,1050
09264511,枠連,1-5,10110
09264511,馬連,2-9,26990
09264511,ワイド,2-9,6690
09264511,ワイド,9-10,4520
09264511,ワイド,2-10,20240
09264511,馬単,9-2,39060
09264511,三連複,2-9-10,225280
09264511,三連単,9-2-10,1122170
09264512,単勝,2,650
09264512,複勝,2,210
09264512,複勝,1,310
09264512,複勝,14,150
09264512,枠連,1-1,3180
09264512,馬連,1-2,3660
09264512,ワイド,1-2,1160
09264512,ワイド,2-14,470
09264512,ワイド,1-14,940
09264512,馬単,2-1,6140
09264512,三連複,1-2-14,4660
09264512,三連単,2-1-14,32970
