26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,モノノケ,牝,3,和田陽希,52,16,,2,,,1/2,,,,,10,10,0,0,34.0,468,宮地貴稔,,230.0,23100695,,,0126120306,,,,,,,,57.3,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,メイショウテンジン,牡,3,古川吉洋,57,16,,3,,,アタマ,,,,,1,1,0,0,34.9,484,高橋亮,,150.0,23106567,,,0126120311,,,,,,,,9.5,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,ロジスカヤ,牝,3,長浜鴻緒,54,16,,4,,,ハナ,,,,,5,5,0,0,34.5,414,新開幸一,,87.0,23104685,,,0126120304,,,,,,,,15.9,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,アンジュラフィーユ,牝,3,舟山瑠泉,54,16,,5,,,1/2,,,,,2,2,0,0,34.9,436,藤野健太,,58.0,23101077,,,0126120310,,,,,,,,3.5,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,ティンクルバレット,牝,3,古川奈穂,53,16,,6,,,アタマ,,,,,3,3,0,0,34.7,424,池添学,,,23107042,,,0126120305,,,,,,,,85.2,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,ランスオブラヴ,牝,3,武豊,55,16,,7,,,アタマ,,,,,7,7,0,0,34.3,446,奥村豊,,,23102639,,,0126120302,,,,,,,,7.9,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,フリーダムスタイル,牝,3,横山和生,55,16,,8,,,クビ,,,,,15,13,0,0,33.8,416,森田直行,,,23105836,,,0126120307,,,,,,,,22.5,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,モズヴイ,牡,3,西村淳也,57,16,,9,,,1/2,,,,,7,7,0,0,34.5,452,藤岡健一,,,23105739,,,0126120314,,,,,,,,7.2,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,ロンドンプライド,牝,3,河原田菜,51,16,,10,,,1.1/4,,,,,7,7,0,0,34.7,460,竹内正洋,,,23100963,,,0126120301,,,,,,,,14.8,,,
26,07,26,,札幌,,,3歳未勝利,,芝,,1200,良,ユナダイヤ,牝,3,小沢大仁,55,16,,11,,,クビ,,,,,10,10,0,0,34.5,440,岡田稲男,,,23106105,,,0126120309,,,,,,,,54.6,,,
