raceid,kind,combo,payout
02261C01,単勝,1,170
02261C01,複勝,1,110
02261C01,複勝,5,170
02261C01,複勝,3,270
02261C01,馬連,1 - 5,510
02261C01,ワイド,1 - 5,260
02261C01,ワイド,1 - 3,550
02261C01,ワイド,3 - 5,890
02261C01,馬単,1 → 5,820
02261C01,三連複,1 - 3 - 5,1260
02261C01,三連単,1 → 5 → 3,4880
02261C02,単勝,7,1280
02261C02,複勝,7,300
02261C02,複勝,4,130
02261C02,複勝,1,870
02261C02,枠連,4 - 7,230
02261C02,馬連,4 - 7,880
02261C02,ワイド,4 - 7,390
02261C02,ワイド,1 - 7,3450
02261C02,ワイド,1 - 4,1140
02261C02,馬単,7 → 4,2700
02261C02,三連複,1 - 4 - 7,7920
02261C02,三連単,7 → 4 → 1,53750
02261C03,単勝,9,500
02261C03,複勝,9,140
02261C03,複勝,3,190
02261C03,複勝,11,170
02261C03,枠連,3 - 6,940
02261C03,馬連,3 - 9,1020
02261C03,ワイド,3 - 9,410
02261C03,ワイド,9 - 11,450
02261C03,ワイド,3 - 11,710
02261C03,馬単,9 → 3,2140
02261C03,三連複,3 - 9 - 11,2270
02261C03,三連単,9 → 3 → 11,11290
02261C04,単勝,8,2010
02261C04,複勝,8,490
02261C04,複勝,3,230
02261C04,複勝,11,260
02261C04,枠連,3 - 6,4470
02261C04,馬連,3 - 8,6200
02261C04,ワイド,3 - 8,1940
02261C04,ワイド,8 - 11,2320
02261C04,ワイド,3 - 11,970
02261C04,馬単,8 → 3,15150
02261C04,三連複,3 - 8 - 11,17160
02261C04,三連単,8 → 3 → 11,119040
02261C05,単勝,4,1940
02261C05,複勝,4,480
02261C05,複勝,1,340
02261C05,複勝,5,830
02261C05,枠連,1 - 3,1930
02261C05,馬連,1 - 4,6280
02261C05,ワイド,1 - 4,1980
02261C05,ワイド,4 - 5,4410
02261C05,ワイド,1 - 5,4460
02261C05,馬単,4 → 1,15980
02261C05,三連複,1 - 4 - 5,48940
02261C05,三連単,4 → 1 → 5,266390
02261C06,単勝,1,340
02261C06,複勝,1,150
02261C06,複勝,9,240
02261C06,複勝,10,130
02261C06,枠連,1 - 5,450
02261C06,馬連,1 - 9,2000
02261C06,ワイド,1 - 9,680
02261C06,ワイド,1 - 10,270
02261C06,ワイド,9 - 10,580
02261C06,馬単,1 → 9,3280
02261C06,三連複,1 - 9 - 10,1890
02261C06,三連単,1 → 9 → 10,10940
02261C07,単勝,4,330
02261C07,複勝,4,130
02261C07,複勝,6,140
02261C07,複勝,10,320
02261C07,枠連,3 - 4,620
02261C07,馬連,4 - 6,670
02261C07,ワイド,4 - 6,290
02261C07,ワイド,4 - 10,1090
02261C07,ワイド,6 - 10,750
02261C07,馬単,4 → 6,1070
02261C07,三連複,4 - 6 - 10,2570
02261C07,三連単,4 → 6 → 10,10070
02261C08,単勝,8,770
02261C08,複勝,8,200
02261C08,複勝,4,190
02261C08,複勝,5,200
02261C08,枠連,4 - 7,1630
02261C08,馬連,4 - 8,1470
02261C08,ワイド,4 - 8,750
02261C08,ワイド,5 - 8,770
02261C08,ワイド,4 - 5,640
02261C08,馬単,8 → 4,3870
02261C08,三連複,4 - 5 - 8,3600
02261C08,三連単,8 → 4 → 5,28770
02261C09,単勝,9,150
02261C09,複勝,9,110
02261C09,複勝,4,140
02261C09,複勝,6,240
02261C09,枠連,4 - 6,460
02261C09,馬連,4 - 9,480
02261C09,ワイド,4 - 9,240
02261C09,ワイド,6 - 9,440
02261C09,ワイド,4 - 6,870
02261C09,馬単,9 → 4,630
02261C09,三連複,4 - 6 - 9,1920
02261C09,三連単,9 → 4 → 6,4470
02261C10,単勝,9,410
02261C10,複勝,9,150
02261C10,複勝,12,120
02261C10,複勝,14,200
02261C10,枠連,6 - 7,430
02261C10,馬連,9 - 12,440
02261C10,ワイド,9 - 12,210
02261C10,ワイド,9 - 14,610
02261C10,ワイド,12 - 14,380
02261C10,馬単,9 → 12,970
02261C10,三連複,9 - 12 - 14,1050
02261C10,三連単,9 → 12 → 14,6440
02261C11,単勝,5,2360
02261C11,複勝,5,650
02261C11,複勝,9,170
02261C11,複勝,2,430
02261C11,枠連,4 - 6,1750
02261C11,馬連,5 - 9,3630
02261C11,ワイド,5 - 9,1330
02261C11,ワイド,2 - 5,3380
02261C11,ワイド,2 - 9,960
