ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071102010901,1,07110939,11,      29781,   0.0,  52.8,  76.4,   0.0,   2.4,   9.9,  28.1,  13.4,   0.0, 253.0,   0.0,  38.2,  77.1, 111.6,  98.1,   0.0,   0.0,  49.2, 134.7, 154.9, 126.5,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   5.6,  14.5,   7.0, 159.2,  35.5,  18.9, 159.2,  25.7, 146.9
2026071102010901,1,07110900,11,      13377,   0.0,  47.4,  74.5,   0.0,   2.9,  10.9,  23.8,  11.5,   0.0, 154.7,   0.0,  38.9,  74.5,  85.2,  70.3,   0.0,   0.0,  50.2, 118.3, 104.7, 111.7,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   6.4,  12.8,   6.1, 159.6,  25.7,  16.3,  98.6,  18.7, 118.3
2026071102010901,1,07102058,11,        733,   0.0,  25.8,  33.4,  47.3,   4.0,   8.6,  17.2,  12.6,   0.0,  81.1, 189.3,  40.5,  24.6,  27.0,  43.6,   0.0, 284.0,  35.5,  63.1,  71.0, 142.0,   0.0,  71.0,  71.0,  37.8,  51.6,   0.0,  11.8,  18.3,   7.4, 284.0,  33.4,  16.2, 189.3,  28.4, 189.3
2026071102010901,4,07110956,11,      56609,   0.0,  54.5,  72.8,   0.0,   2.3,   9.5,  31.8,  13.6,   0.0, 348.5,   0.0,  27.6,  97.0, 159.5, 121.6,   0.0,   0.0,  35.3, 155.5, 210.4, 155.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   5.9,  12.7,   6.4, 191.0,  44.7,  23.4, 243.3,  33.8, 201.6
2026071102010902,1,07111009,14,      37135,   0.0, 120.4,  54.9, 111.5,  65.1,  78.6,  49.7, 290.7,   0.0,  28.5,  60.5,  30.5,  35.0,  26.5, 169.2,  35.5,  25.2,   7.3,   9.9,   7.0,  77.5, 271.5,  24.5,  29.9,  18.4, 147.5,  31.6,   9.9,   7.2,  76.9, 197.1,   9.8, 105.4,  31.2,  61.6, 685.2
2026071102010902,1,07110859,14,      10097,   0.0,  97.8,  46.0,  78.2,  52.1,  57.9,  41.8, 223.5,   0.0,  39.9,  51.1,  35.8,  41.8,  33.7, 115.0,  33.7,  24.4,   7.4,   9.7,   7.8,  66.8, 200.6,  23.5,  23.8,  17.1, 107.1,  28.3,  10.3,   8.1,  60.6, 159.6,  10.5,  66.8,  35.0,  45.7, 489.0
2026071102010902,1,07102053,14,        505,   0.0,  65.2,  35.5,  43.4,  78.2, 130.4,  23.0, 391.3,   0.0,  43.4,  48.9,  26.0,  19.5,  19.5,  65.2,  48.9,  27.9,   7.9,  15.0,   7.9,  39.1,  97.8,  21.7,  43.4,  20.5,  55.9,  97.8,  11.8,   7.3,  35.5, 195.6,  15.0,  55.9,  27.9,  32.6,   0.0
2026071102010902,4,07111034,14,     104050,   0.0, 149.6,  67.0, 163.5,  78.9, 125.9,  67.2, 458.1,   0.0,  17.8,  43.9,  21.9,  35.6,  24.6, 267.9,  26.6,  19.3,   7.8,  11.1,   7.6, 115.6, 268.7,  22.2,  30.9,  21.0, 248.8,  36.7,   8.7,   7.0, 115.8, 263.5,   9.1, 146.0,  37.7,  94.9, 995.5
2026071102010903,1,07111039,16,      27715,  15.6,  21.2,   5.0,  11.6,   5.8,  64.5,  46.6,  15.7, 405.2,  39.9,  70.1,  30.3, 165.2, 149.1,  80.1,  54.5,  16.7,   7.2,  82.2,  66.7,  17.7, 107.3,  21.3, 120.6,  88.0,  39.4,  47.3,  87.3,  72.0,  22.6, 894.9, 174.6, 145.1, 413.0,  73.8, 275.3
2026071102010903,1,07110904,16,       9148,  17.8,  24.6,   5.2,  12.4,   5.6,  70.8,  45.1,  16.5, 283.5,  40.0,  62.7,  15.7, 120.1, 101.2,  68.8,  59.5,  18.8,   7.4, 101.2,  76.2,  17.8, 131.2,  23.7,  83.4,  65.6,  36.1,  59.0,  77.0,  78.7,  27.8, 644.5, 181.7,  99.8, 373.1,  59.0, 283.5
2026071102010903,1,07102054,16,        617,  25.1,  21.7,   6.7,  10.8,   7.4,  79.6,  29.8,  19.9, 239.0,  34.1,  39.8,  18.3,  31.8,  26.5,  95.6, 119.5,  20.7,   8.2,  68.3,  95.6,  23.9, 478.1,  15.4,  95.6,  28.1,  23.9,  34.1, 119.5,  34.1,  29.8, 478.1, 239.0,  59.7, 478.1,  59.7,   0.0
2026071102010903,4,07111056,16,     103160,  20.8,  27.1,   4.7,  14.5,   5.8, 105.7,  84.8,  18.5, 335.9,  18.6,  71.3,  42.3, 251.4, 262.9,  82.3,  27.3,  13.1,   5.5, 111.1,  89.4,  15.7, 179.2,  19.3, 213.7, 165.5,  49.0,  44.4, 124.9, 109.6,  23.3,1310.6, 311.0, 226.4, 832.8, 146.4, 327.6
2026071102010904,1,07111109,14,      21200,   0.0,  73.0,  61.7,  69.0, 134.6,  84.6,  45.2,  38.7,   0.0,  21.1,  41.4, 120.8,  32.2,  19.8,  15.2,  56.2,  28.0,  47.0,  16.1,  10.5,   9.0, 288.2,  93.3,  27.1,  19.6,  16.7, 382.0,  80.9,  57.6,  44.7, 278.4,  13.4,   8.9,  39.7,   6.0,  73.0
2026071102010904,1,07110904,14,       5842,   0.0,  49.7,  43.1,  44.3,  67.5,  63.7,  37.1,  37.4,   0.0,  22.7,  40.0,  90.5,  34.0,  16.9,  17.0,  60.3,  29.7,  44.3,  17.0,  11.9,   9.7, 411.5,  62.8,  23.3,  18.2,  17.2, 282.9,  55.8,  46.1,  36.8, 238.2,  16.8,   9.7,  53.2,   6.5,  70.7
2026071102010904,1,07102054,14,        424,   0.0,  41.0,  36.5,  36.5,  41.0,  65.7,  18.2,  54.7,   0.0,  15.6,  46.9,  32.8,  16.4,  13.1,  19.3,  41.0,  65.7,  14.2,  17.2,  13.6,  14.2, 328.6,  82.1,  27.3,  14.2,  19.3,   0.0, 109.5,  21.9,  65.7, 328.6,  25.2,  11.7,  82.1,  10.6, 164.3
2026071102010904,4,07111126,14,      78776,   0.0,  71.3,  65.0,  82.2, 201.4, 131.2,  58.8,  52.9,   0.0,  17.1,  23.9,  93.4,  33.1,  16.5,  16.5,  55.1,  19.5,  63.4,  18.1,  11.4,   8.5, 469.6, 105.0,  37.3,  16.8,  18.5, 535.5, 129.6,  58.7,  54.4, 476.9,  14.1,   7.7,  40.7,   6.2,  98.6
