ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026070502010801,1,07050939,9,      24544,   0.0,  86.4, 116.6, 113.2,  56.1,  37.5,  79.9,  91.8,   0.0,  58.1,  40.4,  29.2,   6.3,  17.7,  57.4,   0.0,  55.9,  54.6,  12.4,  49.2,  92.7,   0.0,  58.1,   9.7,  34.2,  90.1,   0.0,   5.3,  22.7,  54.5,   0.0,   4.3,  14.5,   0.0,  38.9, 209.0
2026070502010801,1,07050901,9,      10563,   0.0,  60.6, 112.1,  86.1,  28.9,  29.0,  55.3,  61.0,   0.0,  50.8,  43.0,  33.4,   6.8,  15.0,  72.4,   0.0,  45.4,  50.2,  14.1,  38.4,  83.5,   0.0,  60.6,  11.4,  28.2,  77.9,   0.0,   6.4,  23.3,  62.9,   0.0,   4.3,  15.1,   0.0,  30.6, 233.8
2026070502010801,1,07042059,9,        873,   0.0,  16.5,  28.1,  37.5,  37.5,  18.2,  25.0,  10.2,   0.0,  84.5,  96.6,  20.5,   8.2,  42.2, 112.7,   0.0,  75.1,  42.2,  35.6,  23.3,  75.1,   0.0,  42.2,  20.5,  21.1,  61.5,   0.0,   6.6,  16.9,  45.1,   0.0,   9.2,  21.8,   0.0,  13.8, 112.7
2026070502010801,4,07050955,9,      60483,   0.0, 157.2, 233.2, 213.0, 124.3,  61.7, 143.7, 166.8,   0.0,  58.5,  37.3,  24.7,   4.9,  19.7,  71.5,   0.0,  56.7,  48.0,  18.6,  62.4, 147.8,   0.0,  33.0,  10.7,  38.6, 124.6,   0.0,   3.8,  21.9,  70.2,   0.0,   4.3,  20.9,   0.0,  55.4, 323.2
2026070502010802,1,07051009,12,      24965,   0.0, 120.1,  24.8, 118.6,  76.7,  21.5,   9.4,  50.1,   0.0,  93.4,  32.6, 162.5,  66.9,  39.1, 126.4,   0.0, 104.0,  45.7,  13.3,   4.8,  29.8,   0.0, 230.3,  92.1,  36.6, 145.4, 327.9,  33.3,  12.7,  57.2,  92.1,   4.4,  28.0,  30.5,   8.6, 139.1
2026070502010802,1,07050902,12,       7408,   0.0,  92.6,  28.9,  88.3,  88.3,  22.6,   9.6,  59.8,   0.0,  80.8,  10.5, 112.5,  94.1,  37.7, 114.8,   0.0,  92.6,  47.8,  14.2,   5.6,  34.1,   0.0, 229.6,  61.7,  31.7,  98.9, 318.9,  43.4,   8.8,  52.6, 212.6,   5.3,  24.1,  55.7,   9.2, 164.0
2026070502010802,1,07042055,12,        526,   0.0,  37.0,  21.4,  58.2,  45.2,  29.1,  16.3,  16.9,   0.0,  45.2,  58.2,  58.2,  40.7,  50.9, 407.6,   0.0,  50.9,  27.1,   9.0,   5.9,  31.3,   0.0, 407.6,  50.9,  29.1,  67.9,   0.0,  21.4,  15.0,  58.2, 203.8,   5.5,  29.1,  45.2,   9.2, 203.8
2026070502010802,4,07051025,12,      75699,   0.0, 162.5,  22.8, 143.7,  90.1,  27.5,   9.4,  48.5,   0.0, 113.2,  90.3, 237.5, 104.9,  24.2, 110.4,   0.0, 168.5,  52.9,  13.8,   4.1,  28.2,   0.0, 218.9, 122.4,  44.5, 232.8, 523.8,  49.9,  15.7,  75.7, 165.2,   4.6,  25.4,  23.9,   6.3, 205.8
2026070502010803,1,07051039,14,      25427,   0.0,  21.5,  63.7,  31.0,  25.3,  20.5,   9.4,   4.5,   0.0, 140.7,  75.5,  69.8,  63.5,  32.7,  15.4, 895.7, 102.6,  98.5,  82.1,  34.9,  54.1, 378.9,  97.5,  56.9,  36.9,  20.5, 269.9,  61.5,  25.7,  13.0, 223.9,  29.0,  12.8,  73.5,   5.8,  79.1
2026070502010803,1,07050903,14,       6000,   0.0,  23.0,  75.0,  30.1,  28.3,  18.5,  11.2,   4.6,   0.0,  78.8,  58.1,  71.5,  54.0,  32.5,  17.9, 465.0,  78.8,  68.3,  83.0,  54.7,  50.5, 186.0,  81.5,  47.4,  27.3,  19.5, 160.3,  69.4,  19.1,   9.7, 332.1,  33.2,  12.9,  56.7,   7.4,  65.4
2026070502010803,1,07042056,14,        514,   0.0,  24.8,  39.8,  26.5,  28.4,  19.9,  12.4,   4.1,   0.0,  99.5,  44.2,  44.2,  66.3,  39.8,  19.9, 199.1,  79.6,  24.8,  99.5,  79.6,  30.6,   0.0, 199.1,  99.5,  24.8,  20.9,  36.2,  33.1,  20.9,  18.9, 398.3,  30.6,  13.2,  99.5,   8.4,  49.7
2026070502010803,4,07051057,14,      85075,   0.0,  18.2,  81.6,  37.0,  30.8,  21.3,   9.8,   3.8,   0.0, 221.2, 107.2,  82.2,  47.6,  32.4,  11.7,1318.6, 201.0, 180.1, 158.1,  73.7,  67.4, 568.3, 124.1,  88.5,  53.0,  22.0, 399.5,  69.0,  36.8,  14.5, 263.7,  25.2,  10.9,  84.2,   5.1, 106.6
2026070502010804,1,07051109,16,      32002, 306.1, 115.8,  12.9, 112.7,  26.4,  32.2,  64.2,  25.9, 635.9,  64.2, 162.1, 100.0, 110.7, 148.5, 125.2,  15.4,  38.5,   6.4,   8.3,  24.8,   6.5, 551.1,  60.9,  65.2,  80.2,  84.0,  71.0,  11.6,  34.0,   9.6, 203.2,  40.7,  12.3, 295.2,  35.4,  53.3
2026070502010804,1,07050903,16,       7806, 224.0,  84.0,  13.9,  84.0,  26.1,  34.1,  57.6,  30.0, 355.8,  49.1, 112.0,  79.6,  99.1, 137.4,  91.6,  16.8,  35.1,   5.2,   8.9,  23.0,   6.4, 549.9,  63.0,  60.4,  65.7,  71.1,  67.2,  12.7,  26.5,  13.4, 263.0,  50.8,  15.0, 201.6,  33.2,  67.2
2026070502010804,1,07042056,16,        645, 166.6,  71.4,  11.1,  45.4,  20.8,  27.7,  71.4,  21.7, 249.9,  62.4,  55.5,  71.4,  83.3, 166.6, 124.9,  16.6,  33.3,   7.2,   8.3,  21.7,   8.1, 499.8,  45.4,  55.5,  41.6,  41.6,  71.4,  11.3,  23.8,  19.9, 249.9,  45.4,  17.2, 499.8,  24.9,  99.9
2026070502010804,4,07051126,16,     116051, 370.1, 207.2,  13.2, 109.2,  21.8,  25.3,  69.3,  20.8,1362.7,  88.6, 299.7, 159.1, 221.5, 236.6, 142.5,  15.9,  32.8,   6.3,   8.2,  22.6,   6.4, 936.8,  62.3,  74.8,  86.8,  61.4,  59.2,  11.9,  38.5,  10.6, 302.8,  47.9,  11.3, 304.8,  34.7,  51.6
2026070502010805,1,07051159,5,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026070502010805,1,07050903,5,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026070502010805,1,07042057,5,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026070502010805,4,07051217,5,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026070502010806,1,07051229,16,      27068, 456.0,  23.4,  33.3,  37.8,  72.3,  13.8, 138.0,  16.7,  74.3,  25.8,  23.3,  40.6,  10.8,  98.4,  10.9, 355.5,  39.2,  53.3,  12.2,  93.2,  15.1, 156.5,  56.8,  13.5,  93.2,  14.1, 537.8,  25.3,  84.9,  30.1, 104.8,  72.5,   5.5, 524.4,  51.2,  37.5
2026070502010806,1,07050903,16,       4687, 191.1,  25.2,  39.9,  31.0,  84.4,  16.4,  78.9,  16.3,  93.1,  29.7,  23.1,  57.6,  11.4,  90.8,  11.0, 403.6,  41.7,  51.8,  16.3,  49.7,  18.0, 129.7,  53.4,  12.9,  54.2,  12.3, 363.2,  30.7,  30.2,  26.9, 134.5,  66.0,   5.7, 165.1,  30.7,  45.9
2026070502010806,1,07042057,16,        478, 123.4,  24.6,  46.3,  16.8,  52.9,  14.8,  61.7,  14.2, 185.2,  74.0,  17.6,  37.0,  11.5, 370.4,  10.8,   0.0,  41.1,  74.0,  18.5,  74.0,  24.6, 123.4, 123.4,  16.1,  30.8,   8.4,   0.0,  23.1,  33.6,  41.1, 370.4,  74.0,   6.8, 370.4,  20.5,  52.9
2026070502010806,4,07051247,16,      80557, 430.5,  29.9,  25.6,  29.3,  91.0,  14.7, 222.1,  20.0,  92.4,  27.6,  24.7,  56.8,  10.4, 139.9,  12.8, 328.5,  18.5,  58.2,  10.0, 161.3,  11.4, 105.1,  73.4,  11.3, 149.0,  13.7, 686.0,  30.0, 164.7,  38.9, 127.4,  96.9,   5.2,1023.4,  85.2,  52.9
2026070502010807,1,07051259,9,      15502,   0.0,  44.4,  50.4,  76.0, 193.7, 162.3,  64.5,  43.5,   0.0,   7.7,  17.6,  73.2,  96.8,  10.0,  12.5,   0.0,   8.8,  60.3,  82.8,   7.4,   7.0,   0.0, 100.9,  93.1,  16.2,  13.6,   0.0, 127.8,  48.2,  47.8,   0.0,  91.0,  55.3,   0.0,   7.8,  55.3
2026070502010807,1,07050904,9,       2721,   0.0,  29.7,  43.9,  58.5, 131.7,  63.9,  54.0,  56.9,   0.0,   9.7,  19.8,  50.2,  68.0,  16.7,  15.6,   0.0,  10.2,  43.0,  41.3,   6.9,   7.9,   0.0, 105.4,  42.1,  14.6,  17.7,   0.0,  65.8,  20.4,  34.0,   0.0,  70.2,  34.0,   0.0,   8.4,  50.2
2026070502010807,1,07042058,9,        242,   0.0,  37.5,  37.5,  46.8,  93.7,  93.7,  26.7,  31.2,   0.0,   6.4,  18.7,  37.5,  62.5,  37.5,  20.8,   0.0,  12.5,  37.5,  46.8,   7.5,   9.8,   0.0,  62.5,  46.8,  18.7,  20.8,   0.0,  20.8,  17.0,  62.5,   0.0,  46.8,  62.5,   0.0,   7.8,  93.7
2026070502010807,4,07051315,9,      49605,   0.0,  70.6,  66.9, 116.4, 468.8, 417.8,  80.5,  75.9,   0.0,   8.3,  18.8, 145.6, 206.6,   9.9,  13.7,   0.0,   5.8, 108.2, 162.2,   4.6,   6.3,   0.0, 213.5, 213.5,  13.9,  15.8,   0.0, 286.8, 100.3,  97.0,   0.0, 170.8, 127.2,   0.0,   8.8,  99.5
2026070502010808,1,07051329,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026070502010808,1,07050904,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
