ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026070402010701,1,07040939,9,      25503,   0.0,  28.7,  54.7, 148.6, 115.5, 129.1, 105.1, 143.2,   0.0,   1.8,  31.6,  11.6,  21.3,   7.8,  29.9,   0.0,  58.6,  19.1,  32.5,  13.6,  47.5,   0.0, 128.3, 152.0,  66.5, 160.6,   0.0,  88.6,  37.7,  73.7,   0.0,  76.6,  94.1,   0.0,  46.7, 267.0
2026070402010701,1,07040900,9,      12154,   0.0,  29.6,  54.4, 103.5, 102.3,  98.1,  84.1, 142.7,   0.0,   1.8,  35.5,  13.5,  22.3,   8.9,  28.6,   0.0,  48.0,  19.9,  30.0,  13.3,  41.3,   0.0, 117.7, 104.6,  53.8, 129.0,   0.0,  92.3,  38.7,  64.0,   0.0,  71.3,  75.3,   0.0,  39.0, 269.1
2026070402010701,1,07032058,9,        612,   0.0,  43.1, 158.1, 237.1, 237.1, 158.1, 158.1, 158.1,   0.0,   3.3,  36.4,  23.7,  26.3,   6.4,  36.4,   0.0,  19.7,  39.5,  12.4,   9.3,  15.8,   0.0,  79.0,  79.0,  31.6,  47.4,   0.0,  94.8,  13.9,  79.0,   0.0,  24.9,  24.9,   0.0,  17.5, 118.5
2026070402010701,4,07040956,9,      49181,   0.0,  34.6,  64.2, 233.8, 150.0, 181.5, 118.0, 200.6,   0.0,   2.2,  23.2,   8.0,  23.8,   4.1,  39.8,   0.0,  76.3,  20.8,  40.8,  12.7,  64.1,   0.0, 167.9, 228.2,  95.7, 231.0,   0.0,  92.9,  27.3, 105.5,   0.0,  73.0, 142.7,   0.0,  70.9, 366.4
2026070402010702,1,07041009,16,      35228, 178.4,  14.0,  25.3,  87.7,  56.5,  30.2,  38.0,  35.0, 124.6,  10.6,  42.4,  15.2,   7.0,  10.4,   9.5, 252.7, 101.1,  46.1,  18.4,  29.1,  22.3, 606.7, 125.8,  81.0,  55.2,  81.9, 278.5,  33.7,  34.3,  34.1, 110.9,  16.9,  15.0, 105.8,  16.9, 122.9
2026070402010702,1,07040859,16,      11196, 166.8,  13.3,  23.2,  72.9,  46.1,  26.2,  31.2,  34.5, 142.2,  10.4,  40.7,  16.7,   7.4,  10.6,   9.9, 166.8,  83.4,  44.7,  20.7,  30.4,  30.4, 723.0, 117.2,  61.1,  42.5,  96.4, 289.2,  34.9,  32.0,  35.2, 107.1,  19.5,  13.8, 102.0,  17.4,  99.7
2026070402010702,1,07032058,16,        765, 148.2,  10.7,  19.7, 148.2,  34.8,  39.5,  15.6,  37.0, 148.2,  12.6,  34.8,  21.9,   7.3,   9.1,  12.0,  65.8,  65.8,  37.0,  22.8,  25.7,  28.2, 592.8,  98.8,  65.8,  34.8,  53.8, 197.6,  49.4,  24.7,  84.6, 197.6,  28.2,  17.4,  84.6,  19.7,  84.6
2026070402010702,4,07041026,16,     115015, 188.4,   6.9,  34.5, 133.0,  58.7,  30.0,  47.9,  46.1, 171.7,   7.9,  44.1,  14.6,   5.6,  11.3,  10.3, 397.9, 115.6,  44.1,  18.3,  30.6,  26.4, 990.4, 186.8, 113.8,  92.5, 114.5, 454.7,  37.8,  49.9,  49.6, 171.4,  20.5,  18.3, 137.7,  22.9, 177.2
2026070402010703,1,07041039,12,      23551,   0.0, 133.2, 165.9,  79.0,  99.1, 289.7,  51.1, 207.4,   0.0, 219.9,  24.0,  27.7, 109.2,  13.2,  68.1,   0.0, 146.0, 100.2, 217.2,  76.6, 188.1,   0.0,   5.3,  44.7,   4.2,  23.8,  42.2,  36.4,   4.5,  20.8, 205.0,  28.7,  61.2,  15.4,  13.1, 186.2
2026070402010703,1,07040859,12,       6692,   0.0,  78.5, 108.0,  61.7,  85.0, 178.8,  48.0, 178.8,   0.0, 115.2,  31.2,  26.3,  96.0,  22.9,  73.0,   0.0, 120.6,  90.9, 185.2,  61.0, 136.4,   0.0,   5.7,  40.8,   4.0,  25.8,  42.1,  33.2,   4.8,  22.9, 185.2,  26.8,  43.9,  14.6,  12.2, 140.1
2026070402010703,1,07032054,12,        385,   0.0, 149.1,   0.0,  74.5, 149.1, 298.3,  42.6, 149.1,   0.0,  99.4,  18.6,  33.1,  99.4,  29.8,  59.6,   0.0,  59.6,  49.7,  59.6, 149.1,  99.4,   0.0,   6.7,  33.1,   3.9,  14.2,  42.6,  37.2,   5.5,  19.8, 298.3,  21.3,  49.7,  27.1,   9.3,  99.4
2026070402010703,4,07041056,12,      75863,   0.0, 206.6, 357.8, 104.6, 114.4, 454.9,  76.8, 256.2,   0.0, 465.8,  32.0,  30.9, 172.6,  20.0,  93.3,   0.0, 201.6, 139.0, 448.0, 136.8, 312.1,   0.0,   3.9,  55.2,   3.7,  28.5,  37.2,  44.9,   3.7,  23.9,   0.0,  35.7,  92.1,  17.5,  16.4, 279.4
2026070402010704,1,07041109,16,      28559,  33.6,   9.8,  32.5,  37.1,  83.8,   7.0,  32.7,  12.6, 237.9,  36.2,  36.2,  78.7,   6.3,  38.8,  13.1, 223.5,  68.7,  98.3,  25.1,  68.5,  40.4, 598.1, 132.5,  24.7,  53.4,  52.0, 737.7,  54.6, 102.9,  70.0,  24.6,  22.6,   7.1, 210.7,  34.7, 115.2
2026070402010704,1,07040900,16,       6936,  42.3,   9.3,  37.0,  39.5,  85.3,   7.8,  31.2,  14.6, 199.0,  40.4,  37.5,  63.2,   5.9,  33.3,  13.9, 298.6,  65.5,  79.0,  27.4,  56.5,  45.9, 316.2,  89.5,  23.0,  35.3,  48.4, 537.5,  48.8,  75.7,  55.9,  50.7,  23.5,   7.1,  94.3,  25.9, 107.5
