ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071202011001,1,07120939,12,      35712,   0.0, 268.7, 494.2,  89.8,  68.8, 174.0, 170.8, 153.7,   0.0, 300.8, 135.6,  59.7, 145.6, 138.3, 124.6,   0.0, 156.3,  64.3, 136.3, 188.2, 135.0,   0.0,   3.7,   9.6,  22.5,  13.7,  42.0,   5.1,  10.6,   6.9,  31.9,  26.2,  16.0, 133.7,  21.0,  58.2
2026071202011001,1,07120901,12,      14743,   0.0, 175.7, 457.0, 124.1,  59.2, 196.9, 152.3, 204.0,   0.0, 224.0, 121.5,  54.9, 114.2, 107.7,  90.6,   0.0, 136.0,  58.5, 110.9, 152.3, 142.8,   0.0,   3.6,   9.6,  18.7,  13.4,  39.6,   5.6,  10.4,   6.3, 142.8,  29.7,  17.3, 116.5,  21.9,  61.4
2026071202011001,1,07112059,12,        946,   0.0, 244.3, 366.5,  73.3,  52.3,  52.3,  81.4, 244.3,   0.0, 366.5,  66.6,  48.8,  91.6,  73.3,  91.6,   0.0,  61.0,  34.9,  45.8, 104.7,  91.6,   0.0,   4.3,  10.6,  18.7,   8.4,  40.7,   7.4,  16.2,   5.4, 146.6,  48.8,  16.2,  81.4,  22.9,  81.4
2026071202011001,4,07120956,12,      86336,   0.0, 443.1, 727.2, 145.7,  58.4, 260.3, 250.6, 138.2,   0.0, 567.0, 105.7,  43.7, 216.5, 150.3, 103.8,   0.0, 245.0,  96.2, 229.9, 317.1, 207.1,   0.0,   3.6,   9.3,  26.5,  14.3,  56.6,   5.0,  13.3,   4.4,  66.2,  34.9,  19.5, 172.0,  24.6,  45.4
2026071202011002,1,07121009,13,      32380,   0.0,  52.7, 130.7, 171.8,  39.1,  31.5, 144.2, 161.9,   0.0,  46.6,  42.1,   8.0,   6.7,  36.7,  77.6,   0.0, 147.6,  28.7,  22.0,  78.4, 177.9, 583.5,  34.4,  24.8,  81.4, 128.0,  19.2,   3.0,  18.0,  39.2,  14.3,  16.6,  36.1, 224.0,  77.6, 501.8
2026071202011002,1,07120902,13,       7748,   0.0,  59.4, 171.5, 103.5,  34.9,  28.4, 130.5, 240.1,   0.0,  56.1,  89.6,   8.6,   7.8,  41.6,  93.8,   0.0, 130.5,  25.9,  23.0,  71.4, 171.5, 461.9,  42.8,  26.5,  54.5,  84.5,  22.5,   2.8,  17.9,  33.3,  14.1,  17.6,  30.7, 139.6,  53.6, 500.3
2026071202011002,1,07112056,13,        589,   0.0,  65.2, 114.1, 114.1,  24.0,  26.8,  91.2, 152.1,   0.0,  57.0,  57.0,   7.8,   9.1,  45.6, 152.1,   0.0, 456.4,  20.7,  17.5,  65.2, 456.4, 228.2,  41.4,  11.1,  28.5,  57.0,  21.7,   3.5,  16.9,  45.6,  19.0,  38.0,  28.5,  65.2,  41.4, 456.4
2026071202011002,4,07121026,13,      98720,   0.0,  58.6,  74.5, 210.7,  27.6,  24.2, 171.1, 209.6,   0.0,  33.2,  66.6,   8.5,   5.4,  45.8,  93.5,   0.0, 129.2,  15.4,  11.6,  92.5, 223.0, 735.6,  46.3,  34.9, 117.3, 203.4,  27.8,   3.5,  22.4,  56.5,  12.6,  18.6,  44.2, 398.4, 114.8, 742.7
2026071202011003,1,07121039,14,      28170,   0.0, 227.4, 176.0, 316.4, 259.9, 205.9,  74.2, 311.8,   0.0,  60.6,  92.9,  28.9,  29.0,  12.9, 117.3, 147.5,  74.7,  34.7,  20.9,   9.9,  93.6, 545.7,  72.0,  32.4,  17.3, 145.5, 279.8,  16.8,   6.7,  69.3,  39.4,   2.6,  48.3,  21.1,  19.1, 396.9
2026071202011003,1,07120858,14,       8499,   0.0, 121.9, 243.9, 178.0, 205.8, 205.8,  86.6, 286.3,   0.0,  79.3, 113.5,  62.7,  34.4,  14.1, 137.2, 212.4,  94.0,  53.5,  27.3,  11.7, 126.6, 548.8,  86.6,  40.6,  18.3, 106.2, 411.6,  21.5,   7.1,  59.3,  53.1,   2.0,  35.9,  25.8,  18.1, 243.9
