ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071902011204,1,07182056,13,        490,   0.0,  63.2, 189.8,  94.9,  54.2,  94.9,  75.9, 379.7,   0.0,  42.1,  75.9,  12.6,  27.1,  27.1,  31.6,   0.0,  63.2,  13.5,  37.9,  42.1,  23.7, 189.8,  29.2,  63.2,  25.3,  42.1,  47.4,  14.6,   6.4,   5.1, 189.8,  16.5,  21.0,  63.2,  12.6,  22.3
2026071902011204,4,07191126,13,     108007,   0.0, 277.1, 313.5, 523.1, 142.5, 283.7, 212.9, 217.9,   0.0,  41.6, 243.3,  15.8,  69.1,  26.2,  30.3,   0.0, 152.4,   8.5,  44.7,  15.6,  21.6,1073.1,  58.1, 169.7, 106.4, 153.3,  25.7,  14.5,   4.1,   5.3, 175.8,  26.2,  33.4,  36.4,   8.1,  36.3
2026071902011205,1,07191159,14,      51780,   0.0, 112.7,  19.9,  32.4,  22.1,  55.7,  83.6,  12.1,   0.0,  85.3, 129.0, 103.9, 144.8, 180.7,  56.7,  56.0,  14.8,  11.6,  21.4,  39.6,   5.8, 102.8,  21.9,  28.5,  57.0,  10.8, 166.5,  28.9,  48.8,   7.2, 225.4,  63.3,  16.5, 590.1,  24.3,  21.5
2026071902011205,1,07190903,14,       6081,   0.0,  51.7,  20.5,  38.6,  20.5,  51.7,  73.6,  12.3,   0.0,  56.1,  84.1,  55.4,  79.8, 114.9,  38.6,  62.0,  17.8,  13.9,  26.1,  35.9,   6.1, 104.7,  22.8,  30.4,  41.7,  10.8,  82.6,  31.8,  42.0,   8.0, 235.6,  56.7,  15.9, 336.6,  26.6,  21.0
2026071902011205,1,07182057,14,        575,   0.0,  40.5,  29.7,  55.7,  27.8,  49.5,  55.7,  15.9,   0.0,  63.6, 222.8,  34.2,  40.5, 222.8,  21.2,  34.2,  29.7,  18.5,  31.8,  49.5,   6.4,   0.0,  19.3,  44.5,  37.1,  11.4, 222.8,  31.8,  34.2,   6.1, 148.5,  29.7,  13.5, 445.6,  24.7,  17.8
2026071902011205,4,07191218,14,     105763,   0.0, 150.9,  19.3,  34.1,  24.2,  62.2,  57.6,  12.8,   0.0,  92.4, 143.0, 123.6, 174.0, 185.8,  67.6,  51.2,  15.0,  12.7,  24.5,  28.2,   6.4, 105.0,  21.3,  35.9,  47.3,  11.0, 187.1,  31.4,  48.8,   5.9, 186.7,  66.9,  17.4, 598.2,  16.9,  24.3
2026071902011206,1,07191229,16,      29507,  66.6,  16.8,  10.8,  71.6,   6.1,  24.3,  46.4,  27.5, 180.0,  22.6,  85.9,  13.0,  34.0,  56.7,  50.4,  39.3,  67.4,   6.8,  23.3,  43.8,  26.3, 544.4,  51.9,  77.7, 112.6,  88.6,  17.9,  16.0,  25.2,  15.9, 107.3,  60.3,  39.4, 326.6,  57.6, 151.4
2026071902011206,1,07190903,16,       4747, 111.4,  19.3,  12.8,  54.9,   6.1,  30.6,  59.3,  33.4, 193.6,  30.1,  61.3,  17.5,  37.5,  72.1,  49.7,  37.5,  47.7,   7.1,  21.7,  35.0,  27.8, 525.5,  38.3,  54.1,  50.3,  69.4,  16.7,  17.3,  22.8,  12.7, 122.6,  43.2,  36.7, 306.5,  32.5, 105.1
2026071902011206,1,07182057,16,        416,   0.0,  21.4,  12.4,  64.4,   5.2,  53.7,  80.6,  40.3, 107.4,  53.7,  80.6,  18.9,  29.3, 107.4,  46.0,  80.6,  64.4,   9.7,  24.8,  40.3,  46.0,   0.0,  26.8, 107.4,  26.8,  40.3,  35.8,  16.9,  16.1,   9.4, 322.4,  23.0,  23.0,   0.0,  32.2,  23.0
2026071902011206,4,07191246,16,     116077,  69.6,  14.4,  11.3,  77.2,   4.5,  19.2,  56.1,  30.4, 377.9,  25.9, 168.4,  14.7,  46.6,  83.9,  70.2,  42.9,  94.1,   5.0,  29.8,  51.9,  32.3,1124.4,  67.4, 144.6, 218.3, 156.1,  17.9,  16.0,  27.4,  17.1, 158.9,  72.9,  53.0, 671.3,  89.5, 213.1
2026071902011207,1,07191259,14,      25598,   0.0, 171.0,  88.9,  83.0, 134.9, 104.9,  96.3, 126.3,   0.0, 105.5, 106.0, 168.1, 119.5, 123.9,  30.3,  30.9,   5.7,  11.6,  10.7,  14.3,  10.7, 112.7,  12.8,  12.5,  15.9,  11.5, 135.8,  19.1,  26.5,  25.7,  60.8,  23.1,  25.8, 111.4,  25.8, 165.3
