ÉåÅ[ÉXID,ãÊï™,åéì˙éûï™,ì™êî,ògòAï[êî,òg1-1,òg1-2,òg1-3,òg1-4,òg1-5,òg1-6,òg1-7,òg1-8,òg2-2,òg2-3,òg2-4,òg2-5,òg2-6,òg2-7,òg2-8,òg3-3,òg3-4,òg3-5,òg3-6,òg3-7,òg3-8,òg4-4,òg4-5,òg4-6,òg4-7,òg4-8,òg5-5,òg5-6,òg5-7,òg5-8,òg6-6,òg6-7,òg6-8,òg7-7,òg7-8,òg8-8
2026071802011101,1,07180939,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011101,1,07180902,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011101,1,07172058,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011101,4,07180957,8,          0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
2026071802011102,1,07181009,12,      20074,   0.0, 106.5, 121.5, 185.2,  44.3,  34.1,  87.8,  32.6,   0.0,  71.6, 216.0,  27.3,  24.6,  64.2,  24.9,   0.0, 130.7,  26.2,  19.1,  56.9,  24.9,   0.0, 103.7,  71.0, 119.6,  89.9,  38.6,   5.7,  19.9,   6.1,  56.9,  16.3,   4.2, 250.9,  14.0,  39.2
2026071802011102,1,07180901,12,       6722,   0.0,  96.4,  81.3, 157.8,  45.6,  33.3,  62.7,  31.0,   0.0,  47.3, 173.6,  37.2,  32.9,  77.7,  31.5,   0.0,  60.5,  19.4,  21.0,  37.7,  23.7,   0.0, 108.5,  72.3,  84.0,  66.7,  47.7,   6.0,  18.6,   6.5,  93.0,  16.6,   4.5, 260.4,  12.2,  34.0
2026071802011102,1,07172053,12,        573,   0.0, 111.0,  55.5, 111.0,  74.0,  49.3, 148.0,  49.3,   0.0, 111.0,  88.8,  22.2,  18.5,  19.3,  23.3,   0.0, 111.0,  31.7,  44.4,  55.5,  63.4,   0.0,  74.0,  31.7,  55.5,  29.6,  88.8,   4.5,  29.6,   7.5,  88.8,  13.0,   5.6, 444.0,   8.7, 111.0
2026071802011102,4,07181026,12,      61880,   0.0, 106.0, 170.0, 309.4,  54.3,  41.3, 138.6,  44.4,   0.0,  99.7, 270.9,  15.8,  12.2,  72.6,  23.8,   0.0, 267.9,  34.6,  24.5,  70.1,  28.9,   0.0, 151.7, 113.9, 232.8, 137.4,  40.5,   5.2,  22.2,   6.0,  68.9,  17.4,   3.9, 296.0,  15.8,  55.1
2026071802011103,1,07181039,12,      17575,   0.0,  42.3, 103.1,  33.0,  84.0,  53.4,  83.0,  26.0,   0.0,  76.5,   8.8,  13.8,  15.6,  47.2,  10.1,   0.0,  56.7,  79.6,  58.4,  82.5,  41.2,   0.0,  19.8,   9.1,  33.3,   6.3, 174.6,  26.5,  41.7,  16.6, 143.3,  51.7,   9.5, 358.4,  15.7, 100.1
2026071802011103,1,07180857,12,       5211,   0.0,  45.3,  93.9,  38.4,  87.7,  50.4,  89.7,  27.1,   0.0,  72.1,   9.1,  33.9,  15.8,  60.2,  11.6,   0.0,  64.1,  67.3,  62.1,  79.1,  50.4,   0.0,  18.9,   9.0,  36.0,   6.4, 175.5,  20.9,  39.9,  17.6, 122.3,  51.1,   9.1, 403.8,   8.1,  87.7
2026071802011103,1,07172054,12,        488,   0.0,  42.0,  54.0,  47.2,  63.0,  75.6, 126.0,  22.2,   0.0,  75.6,  13.0,  54.0,  10.8,  47.2,  19.9,   0.0,  63.0,  75.6,  63.0,  54.0,  63.0,   0.0,  31.5,   8.0,  25.2,   6.7, 126.0,   7.0,  47.2,  27.0, 126.0,  42.0,   6.6, 378.2,  19.9, 189.1
2026071802011103,4,07181058,12,      55330,   0.0,  47.0,  91.6,  38.5,  81.9,  58.3, 113.4,  29.2,   0.0,  56.2,   9.7,  22.5,  11.7,  37.9,  11.0,   0.0,  36.2,  74.1,  43.4, 103.5,  32.2,   0.0,  19.9,   7.8,  26.9,   7.3, 190.5,  24.7,  58.9,  15.9, 146.3,  28.7,   8.6, 382.8,  23.3, 104.5
2026071802011104,1,07181109,16,      25901,  92.9,  10.9,  17.4,   4.1,  41.2,  80.2,  20.6,  11.8, 393.5,  52.0,   7.9,  79.6, 118.7,  42.5,  27.7, 170.1,  15.0,  76.0, 117.3,  80.6,  32.9,  48.8,  31.8,  57.6,  15.3,   9.4, 364.9, 126.2,  91.2,  48.1, 836.3, 184.1,  90.8, 557.5,  27.0,  69.2
2026071802011104,1,07180902,16,       6394,  75.0,  11.0,  22.0,   4.6,  30.0,  56.3,  17.0,  10.4, 247.7,  58.2,  11.7,  68.8,  85.4,  49.5,  29.8, 133.9,  18.6,  57.6, 101.1,  61.9,  30.7,  53.8,  28.3,  47.1,  16.3,   9.7, 330.3,  56.3,  63.5,  39.3, 619.4, 107.7,  66.0, 619.4,  21.1,  45.4
