0126110101,  7,1000,  1,  8,101,  3,  0,  0,  0,  7,1000,  1,  7,  0,  7,1300,  1,  7,  0,  7,1200,  1,  4,  0,  7,1200,  1,  3,  0,  7,1200,  1,  4,  0,  7,1200,  1,  9,  0, 15,1200,  0,  0,  0,
0126110102,  7,1000,  1,  8, 97,  2,  0,  0,  0,  7,1200,  0,  3,  0,  7,1200,  0,  8,  0,  3,1500,  1,  6,  0,  7,1400,  1,  4,  0,  7,1200,  0,  3,  0, 15,1600,  0,  0,  0,,,,,,
0126110103,  7,1000,  1,  8,115,  3,  0,  0,  0,  7,1000,  1,  2,  0,  7,1000,  1,  8,  0,  7,1150,  1, 10,  0,  7,1000,  1,  3,  0,  7,1000,  1, 10,  0,  7,1400,  0,  7,  0,  7,1400,  0,  7,  0,
0126110104,  7,1000,  1,  8, 97,  2,  0,  0,  0,  7,1000,  1,  6,  0,  7,1200,  1,  5,  0,  7,1400,  1,  4,  0,  7,1200,  1,  0,  0,,,,,,,,,,,,,,,,
0126110105,  7,1000,  1,  8, 98,  4,  0,  0,  0,  7,1000,  1,  4,  0,  7,1200,  1,  3,  0,  7,1200,  1, 10,  0,  7,1400,  1, 11,  0,  7,1800,  1,  3,  0, 15,1400,  1,  0,  0,,,,,,
0126110106,  7,1000,  1,  8, 98,  4,  0,  0,  0,  7,1000,  1, 11,  0,  7,1200,  1,  4,  0,  7,1400,  0,  3,  0, 15,1400,  1,  0,  0,,,,,,,,,,,,,,,,
0126110107,  7,1000,  1,  8,102,  4,  0,  0,  0,  7,1000,  1, 18,  0,  7,1000,  1,  3,  0,  7,1000,  1, 11,  0, 15,1200,  1,  0,  0,,,,,,,,,,,,,,,,
0126110108,  7,1000,  1,  8, 92,  6,  0,  0,  0,  7,1600,  0, 11,  0,  7,1200,  0,  8,  0, 15,1400,  1,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110201,  7,1200,  0,  8,105,  2,  0,  0,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110202,  7,1200,  0,  8,108,  6,  0,  0,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110203,  7,1200,  0,  8, 95,  3,  0,  0,  0,  7,1200,  0,  3,  0, 15,1000,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110204,  7,1200,  0,  8,111,  3,  0,  0,  0,  7,1200,  0,  2,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110205,  7,1200,  0,  8,113,  3,  0,  0,  0,  7,1200,  0,  1,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110206,  7,1200,  0,  8,117,  2,  0,  0,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110207,  7,1200,  0,  8, 96,  2,  0,  0,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110208,  7,1200,  0,  8,112,  3,  0,  0,  0,  7,1200,  0,  2,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110301,  7,1700,  1, 10, 89,  2,  0,  0,  0,  7,1700,  1,  2,  0,  7,1700,  1, 12,  0,  7,2000,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110302,  7,1700,  1, 10, 99,  9,  0,  0,  0,  7,1800,  1,  1,  0,  7,1800,  1, 18,  0, 15,1600,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110303,  7,1700,  1, 10,121,  2,  0,  0,  0,  7,1700,  1,  2,  0,  7,1700,  1, 24,  0,  7,1800,  1,  7,  0,  7,1600,  1,  4,  0, 15,1600,  1,  0,  0,,,,,,,,,,,
0126110304,  7,1700,  1, 10,101,  2,  0,  0,  0,  7,2000,  0,  2,  0,  7,1800,  0,  2,  0,  7,1700,  1,  3,  0,  7,1800,  0,  1,  0,  7,1600,  0,  5,  0,  7,2000,  0,  7,  0,  7,1200,  0, 12,  0,
0126110305,  7,1700,  1, 10,105, 39,  0,  0,  0,  7,1400,  1,  4,  0,  7,1800,  1,  2,  0, 15,1800,  1,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110306,  7,1700,  1, 10,113,  4,  0,  0,  0,  7,1700,  1,  3,  0,  7,1600,  1,  3,  0,  7,1600,  1,  4,  0,  7,1800,  1,  4,  0,  7,1800,  1,  4,  0,  7,1600,  1,  2,  0,  7,1600,  1,  8,  0,
0126110307,  7,1700,  1, 10,104,  3,  0,  0,  0,  3,1700,  1,  2,  0,  7,2000,  0,  4,  0,  7,1600,  0, 16,  0,  7,1600,  0,  2,  0,  7,1600,  0,  3,  0,  7,1800,  0,  3,  0, 15,1600,  0,  0,  0,
0126110308,  7,1700,  1, 10,114,  7,  0,  0,  0,  7,2100,  1,  3,  0,  7,2100,  1,  2,  0,  7,2100,  1,  3,  0,  7,1800,  1,  0,  0,,,,,,,,,,,,,,,,
0126110309,  7,1700,  1, 10,103,  6,  0,  0,  0,  7,1800,  1,  3,  0,  7,1900,  1,  2,  0,  7,1800,  1,  6,  0,  7,1800,  1,  2,  0,  7,1800,  1,  3,  0,  7,1800,  1,  2,  0, 15,1800,  1,  0,  0,
0126110310,  7,1700,  1, 10, 89,  6,  0,  0,  0,  7,1800,  1,  2,  0,  7,1400,  1,  3,  0,  7,1800,  1,  2,  0,  7,1600,  1,  2,  0,  7,1200,  1,  2,  0,  7,1200,  1,  6,  0,  7,1600,  0,  1,  0,
0126110401,  7,1500,  0, 14, 97,  4,  0,  0,  0,  7,1800,  0,  9,  0,  7,1400,  1,  9,  0,  7,1000,  1,  4,  0, 15,1200,  0,  0,  0,,,,,,,,,,,,,,,,
0126110402,  7,1500,  0, 14,103,  4,  0,  0,  0,  7,1700,  1,  2,  0,  7,1200,  0, 10,  0,  7,1400,  0,  3,  0,  7,1600,  0, 32,  0, 15,1500,  0,  0,  0,,,,,,,,,,,
0126110403,  7,1500,  0, 14,110,  4,  0,  0,  0,  7,1800,  0,  6,  0,  7,1600,  0, 31,  0, 15,1600,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110404,  7,1500,  0, 14,112,  2,  0,  0,  0,  7,2000,  0,  2,  0,  7,1800,  0,  4,  0,  7,1600,  0,  2,  0,  7,1600,  0,  9,  0,  7,1600,  0, 10,  0,  7,1600,  0, 13,  0, 15,2000,  0,  0,  0,
0126110405,  7,1500,  0, 14, 91,  4,  0,  0,  0,  3,1700,  0,  6,  0,  7,1800,  0,  5,  0,  7,1600,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110406,  7,1500,  0, 14,116, 10,  0,  0,  0,  7,1800,  0,  3,  0,  7,1800,  0,  4,  0, 23,1800,  0,  3,  0,  7,1800,  1,  8,  0,  7,1800,  1,  2,  0, 15,1600,  0,  0,  0,,,,,,
0126110407,  7,1500,  0, 14,102,  2,  0,  0,  0,  7,1200,  0,  2,  0,  7,2000,  0,  2,  0,  7,2000,  0,  5,  0,  7,2000,  0,  2,  0,  7,1800,  0,  8,  0,  7,1600,  0,  3,  0, 15,1600,  0,  0,  0,
0126110408,  7,1500,  0, 14,102, 11,  0,  0,  0,  7,1600,  0, 16,  0,  7,1600,  0, 12,  0,  7,1600,  0,  6,  0, 15,1600,  0,  0,  0,,,,,,,,,,,,,,,,
0126110409,  7,1500,  0, 14, 93, 15,  0,  0,  0,  7,2200,  0,  4,  0,  7,1800,  0, 13,  0,  7,1800,  0,  3,  0,  7,2000,  0,  6,  0,  7,1800,  0,  5,  0, 15,1500,  0,  0,  0,,,,,,
0126110410,  7,1500,  0, 14,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110411,  7,1500,  0, 14,112, 10,  0,  0,  0,  7,1600,  0,  9,  0,  7,1600,  0,  3,  0,  7,1600,  0,  5,  0,  7,1600,  0,  6,  0,  7,1600,  0,  4,  0, 15,1800,  0,  0,  0,,,,,,
0126110412,  7,1500,  0, 14, 97, 10,  0,  0,  0,  7,1000,  0, 12,  0, 15,1400,  1,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110413,  7,1500,  0, 14, 91,  7,  0,  0,  0,  7,1800,  0, 29,  0, 15,1600,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110414,  7,1500,  0, 14,106, 13,  0,  0,  0,  7,1700,  1,  8,  0,  7,1800,  1,  8,  0, 15,2000,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110501, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110502, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110503, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110504, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110505, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110506, 15,1700,  1,  6,  0,  0,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0126110601,  7,1800,  0, 14,110,  2,  0,  0,  0,  7,1800,  0,  2,  0,  7,1800,  0,  5,  0,  7,1800,  0, 12,  0,  7,1700,  1,  1,  0,  7,1800,  0,  3,  0,  7,1800,  0,  2,  0,  7,2000,  0,  8,  0,
0126110602,  7,1800,  0, 14, 96,  2,  0,  0,  0,  7,1200,  0,  3,  0,  7,1600,  0, 11,  0,  7,1800,  0,  3,  0,  7,1600,  0,  0,  0,,,,,,,,,,,,,,,,
0126110603,  7,1800,  0, 14,101, 24,  0,  0,  0,  7,1800,  1,  4,  0,  7,1800,  0, 11,  0,  7,1600,  0,  3,  0,  7,1600,  0,  3,  0, 15,1600,  0,  0,  0,,,,,,,,,,,
0126110604,  7,1800,  0, 14,106,  2,  0,  0,  0,  7,1800,  0,  2,  0,  7,1800,  0,  4,  0,  7,2000,  0,  3,  0,  7,1800,  0,  3,  0,  7,2000,  0,  4,  0,  7,2000,  0, 18,  0,  7,2000,  0,  3,  0,
0126110605,  7,1800,  0, 14, 88,  5,  0,  0,  0,  7,1800,  0,  5,  0,  7,1800,  0,  6,  0,  7,2000,  0,  3,  0,  7,1600,  0, 17,  0,  7,1600,  0,  3,  0, 15,1600,  0,  0,  0,,,,,,
0126110606,  7,1800,  0, 14,101,  2,  0,  0,  0,  7,1800,  0,  3,  0,  7,1800,  0,  6,  0,  7,1600,  0,  3,  0, 23,1600,  0,  5,  0,  7,1400,  0,  6,  0,  7,1200,  0, 28,  0,  7,1200,  0,  3,  0,
0126110607,  7,1800,  0, 14,107,  4,  0,  0,  0,  7,2000,  0,  2,  0,  7,1800,  0,  4,  0,  7,1800,  0,  3,  0,  7,1800,  0,  8,  0,  7,2000,  0,  0,  0,,,,,,,,,,,
0126110608,  7,1800,  0, 14, 85,  6,  0,  0,  0,  7,2000,  0, 20,  0,  7,2000,  0,  9,  0, 15,1800,  0,  0,  0,,,,,,,,,,,,,,,,,,,,,
0126110609,  7,1800,  0, 14,105,  3,  0,  0,  0,  7,2000,  0,  1,  0,  7,2000,  0,  9,  0,  7,2100,  1,  5,  0,  7,1800,  1,  6,  0,  7,1600,  1,  9,  0,  7,1800,  1,  3,  0,  7,1600,  1,  3,  0,
0126110610,  7,1800,  0, 14,122,  3,  0,  0,  0,  7,1800,  0,  2,  0,  7,1800,  0, 10,  0,  7,2000,  0,  4,  0,  7,2200,  0,  2,  0,  7,1800,  0,  0,  0,,,,,,,,,,,
0126110611,  7,1800,  0, 14,106,  3,  0,  0,  0,  7,2000,  0,  2,  0,  7,1800,  0,  4,  0,  7,1800,  0,  7,  0,  7,1400,  0, 10,  0, 15,1200,  0,  0,  0,,,,,,,,,,,
0126110612,  7,1800,  0, 14, 98,  5,  0,  0,  0,  7,1800,  0,  8,  0,  7,1800,  0,  9,  0,  7,1400,  1, 13,  0, 15,1600,  0,  0,  0,,,,,,,,,,,,,,,,
