年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
3,,3,,,,,アロハ,,牝,3,*,丹内祐次,55,,(栗),橋田宜長,転厩初戦,田畑利彦,チャンピオンズファーム,鹿毛,5月18日
3,,4,,,,,エアヴァイブス,,牝,3,,武豊,55,,(栗),福永祐一,,ラッキーフィールド,ノーザンファーム,鹿毛,2月 9日
4,,5,,,,,スパークルレイ,,牝,3,*,松本大輝,55,,(美),的場均,,木部厳生,木部ファーム,栗毛,3月10日
4,,6,,,,,ペカリーナ,,牝,3,*,小林美駒,52,▲,(美),竹内正洋,,由井健太郎,新冠橋本牧場,黒鹿,3月25日
5,,7,,,,,ビップジョワ,,牝,3,,遠藤汰月,52,▲,(美),高柳瑞樹,,鈴木邦英,カタオカステーブル,鹿毛,6月 2日
5,,8,,,,,サンセリテ,,牝,3,*,舟山瑠泉,54,☆,(美),鹿戸雄一,,シルクレーシング,ノーザンファーム,青鹿,3月19日
6,,9,,,,,イノリ,,牝,3,*,和田陽希,52,▲,(栗),高橋康之,,ローレルレーシング,武田牧場,鹿毛,3月13日
6,,10,,,,,フローズンクイーン,,牝,3,,鮫島克駿,55,,(栗),藤岡健一,,中村祐子,ケイアイファーム,青鹿,2月25日
7,,11,,,,,フレッチャアズーラ,,牝,3,*,横山和生,55,,(栗),四位洋文,,社台レースホース,社台ファーム,鹿毛,3月14日
7,,12,,,,,イヌボウノシオカゼ,,牝,3,*,横山琉人,55,,(美),大和田成,,岡田隆寛,岡田牧場,鹿毛,2月19日
8,,13,,,,,カスタニッチャ,,牝,3,*,小沢大仁,55,,(栗),高柳大輔,,栗山良子,橋本牧場,栗毛,4月25日
8,,14,,,,,ロジマギー,,牝,3,*,佐々木大,55,,(美),宮田敬介,,久米田正明,ノーザンファーム,鹿毛,3月 7日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,5,新馬,２歳・新馬(馬齢)(混)[指定],ダート,1700,6,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,レガメデルヴェント,,牡,2,,横山和生,55,,(美),伊坂重信,,街風隆雄,追分ファーム,鹿毛,2月18日
2,,2,,,,,アンバーバレット,,牡,2,,長浜鴻緒,54,☆,(美),矢嶋大樹,,下河辺隆行,下河辺牧場,鹿毛,2月 9日
3,,3,,,,,ホウオウシュウ,,牡,2,,舟山瑠泉,54,☆,(美),田中博康,,小笹芳央,ノーザンファーム,栗毛,3月 1日
4,,4,,,,,カナデ,,牝,2,,河原田菜,51,★,(栗),中村直也,,野崎宗信,絵笛牧場,鹿毛,4月10日
5,B,5,,,,,トロフィアス,,牡,2,,武豊,55,,(美),加藤征弘,,阿部友弘,アスラン,青鹿,3月13日
6,,6,,,,,ディアファザー,,牡,2,,横山琉人,55,,(美),中川公成,,山崎康,前田牧場,鹿毛,4月26日
年,月,日,場所,R,略レース名,条件表記,芝・ダート,距離,頭数,レース印１
2026,07,25,札幌,6,未勝利,３歳・未勝利(馬齢)(混)[指定],芝,1800,14,
枠番,B,番,印,M2,M3,M4,  馬名,Ｃ,性別,年齢,替,騎手,斤量,減M,所属,調教師,馬記号, 馬主, 生産者,毛色,誕生
1,,1,,,,,インフィオラータ,,牝,3,,浜中俊,55,,(栗),須貝尚介,,飯田正剛,千代田牧場,黒鹿,4月16日
2,,2,,,,,フォルストランキル,,牝,3,*,小林美駒,52,▲,(栗),池江泰寿,,キャロットファーム,ノーザンファーム,黒鹿,2月17日
3,B,3,,,,,トランスマリーン,,牡,3,*,和田陽希,54,▲,(栗),平田修,,G1レーシング,ノーザンファーム,芦毛,5月17日
3,,4,,,,,ケナゲ,,牝,3,,河原田菜,51,★,(美),和田雄二,,金岡信康,日本中央競馬会日高育成牧場,栗毛,4月12日
4,B,5,,,,,グランフルス,,牡,3,*,鮫島克駿,57,,(美),矢野英一,,森岡大河,岡田スタツド,鹿毛,3月 3日
4,,6,,,,,ヘクセンハウス,,牝,3,*,丹内祐次,55,,(栗),吉田直弘,,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,青鹿,4月 7日
5,,7,,,,,アート,,牡,3,*,横山武史,57,,(栗),杉山晴紀,,石川達絵,橋本牧場,青鹿,3月23日
5,,8,,,,,ウインアベリア,,牝,3,*,遠藤汰月,52,▲,(美),和田正一,,ウイン,コスモヴューファーム,鹿毛,5月20日
